Deployment,Date,Generation Date,Generation Time,Item Code,Item Name,Super Category Code,Super Category Name,Category Code,Category Name,Unit Name,Average Price,GK2 Main Store,Total Qty,Total Amt
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING001,Coffee Beans,SUP-RAW,Raw Material,CAT-COF,Coffee Inputs,kg,1005.92,6.8295,6.8295,6869.93
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING002,Milk,SUP-RAW,Raw Material,CAT-DAI,Dairy,litre,71.95,9.7979,9.7979,704.96
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING003,Oat Milk,SUP-RAW,Raw Material,CAT-DAI,Dairy Alternative,litre,185.0,17.3755,17.3755,3214.47
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING004,Cream,SUP-RAW,Raw Material,CAT-DAI,Dairy,litre,215.36,33.7053,33.7053,7258.77
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING005,Paneer,SUP-RAW,Raw Material,CAT-DAI,Dairy,kg,362.26,88.1753,88.1753,31942.38
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING006,Cheese,SUP-RAW,Raw Material,CAT-DAI,Dairy,kg,0.0,15.077,15.077,0.0
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING007,Chicken,SUP-RAW,Raw Material,CAT-PRO,Protein,kg,327.71,182.7602,182.7602,59892.35
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING008,Egg,SUP-RAW,Raw Material,CAT-PRO,Protein,pcs,7.1,658.012,658.012,4671.89
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING009,Bread,SUP-RAW,Raw Material,CAT-BAK,Bakery,pcs,11.84,1162.032,1162.032,13758.46
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING010,Bagel,SUP-RAW,Raw Material,CAT-BAK,Bakery,pcs,27.8,676.296,676.296,18801.03
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING011,Tortilla,SUP-RAW,Raw Material,CAT-BAK,Bakery,pcs,15.47,1491.865,1491.865,23079.15
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING012,Croissant Base,SUP-RAW,Raw Material,CAT-BAK,Bakery,pcs,42.5,586.98,586.98,24946.65
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING013,Brownie Base,SUP-RAW,Raw Material,CAT-DES,Dessert Inputs,pcs,34.0,163.259,163.259,5550.81
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING014,Cake Base,SUP-RAW,Raw Material,CAT-DES,Dessert Inputs,pcs,45.71,191.283,191.283,8743.55
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING015,Cheesecake Base,SUP-RAW,Raw Material,CAT-DES,Dessert Inputs,pcs,72.0,60.744,60.744,4373.57
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING016,Chocolate Sauce,SUP-RAW,Raw Material,CAT-SYR,Syrups & Sauces,litre,262.64,72.9135,72.9135,19150.0
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING017,Caramel Syrup,SUP-RAW,Raw Material,CAT-SYR,Syrups & Sauces,litre,250.0,19.4036,19.4036,4850.9
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING018,Vanilla Syrup,SUP-RAW,Raw Material,CAT-SYR,Syrups & Sauces,litre,241.71,73.526,73.526,17771.97
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING019,Sugar Syrup,SUP-RAW,Raw Material,CAT-SYR,Syrups & Sauces,litre,89.48,49.242,49.242,4406.17
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING020,Tea Leaves,SUP-RAW,Raw Material,CAT-TEA,Tea Inputs,kg,620.0,12.7727,12.7727,7919.07
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING021,Matcha Powder,SUP-RAW,Raw Material,CAT-TEA,Tea Inputs,kg,2085.57,22.63,22.63,47196.45
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING022,Ice,SUP-RAW,Raw Material,CAT-BEV,Beverage Inputs,kg,12.14,986.7735,986.7735,11979.43
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING023,Lemon,SUP-RAW,Raw Material,CAT-PRO,Produce,kg,105.67,49.4892,49.4892,5229.52
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING024,Hibiscus Concentrate,SUP-RAW,Raw Material,CAT-BEV,Beverage Inputs,litre,405.03,28.1395,28.1395,11397.34
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING025,Mixed Berry Pulp,SUP-RAW,Raw Material,CAT-FRU,Fruit Inputs,kg,417.53,108.5461,108.5461,45321.25
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING026,Banana,SUP-RAW,Raw Material,CAT-PRO,Produce,kg,71.94,181.8363,181.8363,13081.3
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING027,Butter,SUP-RAW,Raw Material,CAT-DAI,Dairy,kg,537.38,26.3041,26.3041,14135.3
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING028,Lettuce,SUP-RAW,Raw Material,CAT-PRO,Produce,kg,95.0,14.4297,14.4297,1370.82
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING029,Onion,SUP-RAW,Raw Material,CAT-PRO,Produce,kg,42.0,43.708,43.708,1835.74
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING030,Capsicum,SUP-RAW,Raw Material,CAT-PRO,Produce,kg,84.33,69.472,69.472,5858.57
ABNAH Cafe Hauz Khas,2026-01-31,2026-01-31,23:59:00,ING031,Tomato,SUP-RAW,Raw Material,CAT-PRO,Produce,kg,54.0,42.1035,42.1035,2273.59
