Deployment,Date,Generation Date,Generation Time,Item Code,Item Name,Super Category Code,Super Category Name,Category Code,Category Name,Unit Name,Average Price,GK2 Main Store,Total Qty,Total Amt
ABNAH Cafe Connaught Place,2026-01-31,2026-01-31,23:59:00,ING001,Coffee Beans,SUP-RAW,Raw Material,CAT-COF,Coffee Inputs,kg,956.95,0.6355,0.6355,608.14
ABNAH Cafe Connaught Place,2026-01-31,2026-01-31,23:59:00,ING002,Milk,SUP-RAW,Raw Material,CAT-DAI,Dairy,litre,73.97,289.1324,289.1324,21387.12
ABNAH Cafe Connaught Place,2026-01-31,2026-01-31,23:59:00,ING003,Oat Milk,SUP-RAW,Raw Material,CAT-DAI,Dairy Alternative,litre,182.7,96.8126,96.8126,17687.66
ABNAH Cafe Connaught Place,2026-01-31,2026-01-31,23:59:00,ING004,Cream,SUP-RAW,Raw Material,CAT-DAI,Dairy,litre,215.11,84.3683,84.3683,18148.47
ABNAH Cafe Connaught Place,2026-01-31,2026-01-31,23:59:00,ING005,Paneer,SUP-RAW,Raw Material,CAT-DAI,Dairy,kg,369.94,40.9195,40.9195,15137.76
ABNAH Cafe Connaught Place,2026-01-31,2026-01-31,23:59:00,ING006,Cheese,SUP-RAW,Raw Material,CAT-DAI,Dairy,kg,480.0,15.4408,15.4408,7411.58
ABNAH Cafe Connaught Place,2026-01-31,2026-01-31,23:59:00,ING007,Chicken,SUP-RAW,Raw Material,CAT-PRO,Protein,kg,329.06,161.3928,161.3928,53107.91
ABNAH Cafe Connaught Place,2026-01-31,2026-01-31,23:59:00,ING008,Egg,SUP-RAW,Raw Material,CAT-PRO,Protein,pcs,7.06,1002.692,1002.692,7079.01
ABNAH Cafe Connaught Place,2026-01-31,2026-01-31,23:59:00,ING009,Bread,SUP-RAW,Raw Material,CAT-BAK,Bakery,pcs,11.86,978.52,978.52,11605.25
ABNAH Cafe Connaught Place,2026-01-31,2026-01-31,23:59:00,ING010,Bagel,SUP-RAW,Raw Material,CAT-BAK,Bakery,pcs,28.46,666.87,666.87,18979.12
ABNAH Cafe Connaught Place,2026-01-31,2026-01-31,23:59:00,ING011,Tortilla,SUP-RAW,Raw Material,CAT-BAK,Bakery,pcs,15.24,667.296,667.296,10169.59
ABNAH Cafe Connaught Place,2026-01-31,2026-01-31,23:59:00,ING012,Croissant Base,SUP-RAW,Raw Material,CAT-BAK,Bakery,pcs,0.0,37.948,37.948,0.0
