Deployment,Store Name,Vendor Name,PO Number,PR Number,PR Deployment,PO Date,Expected Delivery,PO Close Date/Partial Recieve Date,PO Status,Item Code,Item Name,Item Brand,Category Name,Super Category Name,Comment,Total Processed Qty,Remaining Balance Qty,Quantity,Unit,Unit Price,Subtotal,Item Wise Discount Amount,Bill Wise Discount Amount,New Subtotal,Tax,Total Item Cost,
ABNAH Cafe Saket Premium,Main Store,Delhi Bakery Supply Co,PO-20260201-OUT003-0036,,,2026-02-01,2026-02-02,2026-02-03,Closed,ING009,Bread,,Bakery,Raw Material,,600.0,0.0,600.0,pcs,12.74,7644.0,0,0,7644.0,382.2,8026.2,
ABNAH Cafe Saket Premium,Main Store,TeaLeaf Traders NCR,PO-20260201-OUT003-0036,,,2026-02-01,2026-02-02,2026-02-02,Closed,ING020,Tea Leaves,,Tea Inputs,Raw Material,,19.95,0.0,19.95,kg,639.58,12759.62,0,0,12759.62,637.98,13397.6,
ABNAH Cafe Saket Premium,Main Store,SweetBase Foods,PO-20260201-OUT003-0036,,,2026-02-01,2026-02-03,2026-02-04,Closed,ING024,Hibiscus Concentrate,,Beverage Inputs,Raw Material,,12.97,0.0,12.97,litre,390.92,5070.23,0,0,5070.23,912.64,5982.87,
ABNAH Cafe Saket Premium,Main Store,SpiceRoot Foods,PO-20260201-OUT003-0036,,,2026-02-01,2026-02-03,2026-02-03,Closed,ING032,Pesto Sauce,,Syrups & Sauces,Raw Material,,30.43,0.0,30.43,kg,352.48,10725.97,0,0,10725.97,1930.67,12656.64,
ABNAH Cafe Saket Premium,Main Store,SpiceRoot Foods,PO-20260201-OUT003-0036,,,2026-02-01,2026-02-04,,Pending,ING033,Chipotle Sauce,,Syrups & Sauces,Raw Material,,0.0,21.02,21.02,kg,275.13,5783.23,0,0,5783.23,1040.98,6824.21,
ABNAH Cafe Saket Premium,Main Store,FreshDairy Foods NCR,PO-20260204-OUT003-0039,,,2026-02-04,2026-02-05,2026-02-05,Closed,ING004,Cream,,Dairy,Raw Material,,26.78,0.0,26.78,litre,215.59,5773.5,0,0,5773.5,288.68,6062.18,
ABNAH Cafe Saket Premium,Main Store,NorthStar Poultry,PO-20260204-OUT003-0039,,,2026-02-04,2026-02-05,2026-02-05,Closed,ING007,Chicken,,Protein,Raw Material,,58.31,0.0,58.31,kg,348.37,20313.45,0,0,20313.45,1015.67,21329.12,
ABNAH Cafe Saket Premium,Main Store,Delhi Bakery Supply Co,PO-20260204-OUT003-0039,,,2026-02-04,2026-02-07,2026-02-07,Closed,ING009,Bread,,Bakery,Raw Material,,265.0,0.0,265.0,pcs,12.22,3238.3,0,0,3238.3,161.91,3400.21,
ABNAH Cafe Saket Premium,Main Store,Delhi Bakery Supply Co,PO-20260204-OUT003-0039,,,2026-02-04,2026-02-05,2026-02-05,Closed,ING015,Cheesecake Base,,Dessert Inputs,Raw Material,,75.0,0.0,75.0,pcs,76.72,5754.0,0,0,5754.0,1035.72,6789.72,
ABNAH Cafe Saket Premium,Main Store,GreenLeaf Produce Delhi,PO-20260204-OUT003-0039,,,2026-02-04,2026-02-07,2026-02-08,Closed,ING026,Banana,,Produce,Raw Material,,43.74,0.0,43.74,kg,69.22,3027.68,0,0,3027.68,151.38,3179.06,
ABNAH Cafe Saket Premium,Main Store,PackPro Disposables,PO-20260204-OUT003-0039,,,2026-02-04,2026-02-06,2026-02-05,Closed,ING036,Cold Cup,,Packaging,Consumable,,1895.0,0.0,1895.0,pcs,3.4,6443.0,0,0,6443.0,1159.74,7602.74,
ABNAH Cafe Saket Premium,Main Store,PackPro Disposables,PO-20260204-OUT003-0039,,,2026-02-04,2026-02-06,2026-02-05,Closed,ING039,Straw,,Packaging,Consumable,,1280.0,0.0,1280.0,pcs,0.56,716.8,0,0,716.8,129.02,845.82,
ABNAH Cafe Saket Premium,Main Store,FreshDairy Foods NCR,PO-20260207-OUT003-0042,,,2026-02-07,2026-02-09,2026-02-11,Closed,ING006,Cheese,,Dairy,Raw Material,,21.66,0.0,21.66,kg,518.59,11232.66,0,0,11232.66,561.63,11794.29,
ABNAH Cafe Saket Premium,Main Store,Delhi Bakery Supply Co,PO-20260207-OUT003-0042,,,2026-02-07,2026-02-08,,Pending,ING012,Croissant Base,,Bakery,Raw Material,,0.0,230.0,230.0,pcs,42.32,9733.6,0,0,9733.6,486.68,10220.28,
ABNAH Cafe Saket Premium,Main Store,Delhi Bakery Supply Co,PO-20260207-OUT003-0042,,,2026-02-07,2026-02-08,2026-02-09,Partially Received,ING014,Cake Base,,Dessert Inputs,Raw Material,,80.98,59.02,140.0,pcs,48.98,6857.2,0,0,6857.2,1234.3,8091.5,
ABNAH Cafe Saket Premium,Main Store,PackPro Disposables,PO-20260207-OUT003-0042,,,2026-02-07,2026-02-09,2026-02-09,Closed,ING040,Napkin,,Packaging,Consumable,,2005.0,0.0,2005.0,pcs,0.33,661.65,0,0,661.65,119.1,780.75,
ABNAH Cafe Saket Premium,Main Store,PackPro Disposables,PO-20260207-OUT003-0042,,,2026-02-07,2026-02-08,2026-02-09,Closed,ING042,Sandwich Box,,Packaging,Consumable,,635.0,0.0,635.0,pcs,6.46,4102.1,0,0,4102.1,738.38,4840.48,
ABNAH Cafe Saket Premium,Main Store,FreshDairy Foods NCR,PO-20260210-OUT003-0045,,,2026-02-10,2026-02-13,2026-02-15,Closed,ING002,Milk,,Dairy,Raw Material,,119.86,0.0,119.86,litre,72.5,8689.85,0,0,8689.85,434.49,9124.34,
ABNAH Cafe Saket Premium,Main Store,NorthStar Poultry,PO-20260210-OUT003-0045,,,2026-02-10,2026-02-11,2026-02-13,Closed,ING008,Egg,,Protein,Raw Material,,540.0,0.0,540.0,pcs,6.97,3763.8,0,0,3763.8,188.19,3951.99,
ABNAH Cafe Saket Premium,Main Store,Delhi Bakery Supply Co,PO-20260210-OUT003-0045,,,2026-02-10,2026-02-13,2026-02-14,Closed,ING014,Cake Base,,Dessert Inputs,Raw Material,,210.0,0.0,210.0,pcs,47.49,9972.9,0,0,9972.9,1795.12,11768.02,
ABNAH Cafe Saket Premium,Main Store,FreshDairy Foods NCR,PO-20260210-OUT003-0045,,,2026-02-10,2026-02-12,2026-02-12,Closed,ING027,Butter,,Dairy,Raw Material,,32.07,0.0,32.07,kg,550.71,17661.27,0,0,17661.27,2119.35,19780.62,
ABNAH Cafe Saket Premium,Main Store,GreenLeaf Produce Delhi,PO-20260210-OUT003-0045,,,2026-02-10,2026-02-11,,Cancelled,ING030,Capsicum,,Produce,Raw Material,,0.0,0.0,23.43,kg,83.38,1953.59,0,0,1953.59,97.68,2051.27,
ABNAH Cafe Saket Premium,Main Store,BeanCraft Roasters Delhi,PO-20260213-OUT003-0048,,,2026-02-13,2026-02-15,2026-02-15,Closed,ING001,Coffee Beans,,Coffee Inputs,Raw Material,,15.77,0.0,15.77,kg,956.67,15086.69,0,0,15086.69,754.33,15841.02,
ABNAH Cafe Saket Premium,Main Store,FreshDairy Foods NCR,PO-20260213-OUT003-0048,,,2026-02-13,2026-02-16,2026-02-17,Closed,ING006,Cheese,,Dairy,Raw Material,,31.58,0.0,31.58,kg,518.95,16388.44,0,0,16388.44,819.42,17207.86,
ABNAH Cafe Saket Premium,Main Store,Delhi Bakery Supply Co,PO-20260213-OUT003-0048,,,2026-02-13,2026-02-16,2026-02-17,Closed,ING011,Tortilla,,Bakery,Raw Material,,220.0,0.0,220.0,pcs,14.71,3236.2,0,0,3236.2,161.81,3398.01,
ABNAH Cafe Saket Premium,Main Store,Delhi Bakery Supply Co,PO-20260213-OUT003-0048,,,2026-02-13,2026-02-16,2026-02-15,Closed,ING014,Cake Base,,Dessert Inputs,Raw Material,,125.0,0.0,125.0,pcs,47.73,5966.25,0,0,5966.25,1073.92,7040.17,
ABNAH Cafe Saket Premium,Main Store,ChocoCraft Ingredients,PO-20260213-OUT003-0048,,,2026-02-13,2026-02-14,2026-02-15,Closed,ING016,Chocolate Sauce,,Syrups & Sauces,Raw Material,,35.55,0.0,35.55,litre,269.07,9565.44,0,0,9565.44,1721.78,11287.22,
ABNAH Cafe Saket Premium,Main Store,SweetBase Foods,PO-20260213-OUT003-0048,,,2026-02-13,2026-02-15,2026-02-15,Closed,ING018,Vanilla Syrup,,Syrups & Sauces,Raw Material,,41.82,0.0,41.82,litre,249.32,10426.56,0,0,10426.56,1876.78,12303.34,
ABNAH Cafe Saket Premium,Main Store,GreenLeaf Produce Delhi,PO-20260213-OUT003-0048,,,2026-02-13,2026-02-15,2026-02-17,Closed,ING023,Lemon,,Produce,Raw Material,,28.69,0.0,28.69,kg,110.72,3176.56,0,0,3176.56,158.83,3335.39,
ABNAH Cafe Saket Premium,Main Store,PackPro Disposables,PO-20260213-OUT003-0048,,,2026-02-13,2026-02-16,2026-02-17,Closed,ING037,Hot Cup,,Packaging,Consumable,,1875.0,0.0,1875.0,pcs,2.87,5381.25,0,0,5381.25,968.63,6349.88,
ABNAH Cafe Saket Premium,Main Store,FreshDairy Foods NCR,PO-20260216-OUT003-0051,,,2026-02-16,2026-02-18,2026-02-20,Partially Received,ING004,Cream,,Dairy,Raw Material,,17.34,3.94,21.28,litre,209.13,4450.29,0,0,4450.29,222.51,4672.8,
ABNAH Cafe Saket Premium,Main Store,FreshDairy Foods NCR,PO-20260216-OUT003-0051,,,2026-02-16,2026-02-17,2026-02-19,Closed,ING006,Cheese,,Dairy,Raw Material,,28.82,0.0,28.82,kg,473.84,13656.07,0,0,13656.07,682.81,14338.88,
ABNAH Cafe Saket Premium,Main Store,Delhi Bakery Supply Co,PO-20260216-OUT003-0051,,,2026-02-16,2026-02-17,2026-02-17,Closed,ING009,Bread,,Bakery,Raw Material,,485.0,0.0,485.0,pcs,12.06,5849.1,0,0,5849.1,292.45,6141.55,
ABNAH Cafe Saket Premium,Main Store,SweetBase Foods,PO-20260216-OUT003-0051,,,2026-02-16,2026-02-17,2026-02-18,Closed,ING019,Sugar Syrup,,Syrups & Sauces,Raw Material,,47.3,0.0,47.3,litre,96.17,4548.84,0,0,4548.84,818.79,5367.63,
ABNAH Cafe Saket Premium,Main Store,SweetBase Foods,PO-20260216-OUT003-0051,,,2026-02-16,2026-02-18,2026-02-18,Closed,ING024,Hibiscus Concentrate,,Beverage Inputs,Raw Material,,15.96,0.0,15.96,litre,409.78,6540.09,0,0,6540.09,1177.22,7717.31,
ABNAH Cafe Saket Premium,Main Store,SpiceRoot Foods,PO-20260216-OUT003-0051,,,2026-02-16,2026-02-18,2026-02-20,Closed,ING035,Aioli,,Syrups & Sauces,Raw Material,,31.88,0.0,31.88,kg,327.24,10432.41,0,0,10432.41,1877.83,12310.24,
ABNAH Cafe Saket Premium,Main Store,PackPro Disposables,PO-20260216-OUT003-0051,,,2026-02-16,2026-02-18,2026-02-19,Closed,ING038,Lid,,Packaging,Consumable,,1720.0,0.0,1720.0,pcs,1.12,1926.4,0,0,1926.4,346.75,2273.15,
ABNAH Cafe Saket Premium,Main Store,FreshDairy Foods NCR,PO-20260219-OUT003-0054,,,2026-02-19,2026-02-21,2026-02-21,Closed,ING002,Milk,,Dairy,Raw Material,,113.57,0.0,113.57,litre,77.05,8750.57,0,0,8750.57,437.53,9188.1,
ABNAH Cafe Saket Premium,Main Store,FreshDairy Foods NCR,PO-20260219-OUT003-0054,,,2026-02-19,2026-02-22,2026-02-23,Partially Received,ING003,Oat Milk,,Dairy Alternative,Raw Material,,23.63,19.27,42.9,litre,184.38,7909.9,0,0,7909.9,395.5,8305.4,
ABNAH Cafe Saket Premium,Main Store,FreshDairy Foods NCR,PO-20260219-OUT003-0054,,,2026-02-19,2026-02-20,2026-02-20,Closed,ING005,Paneer,,Dairy,Raw Material,,43.78,0.0,43.78,kg,375.0,16417.5,0,0,16417.5,820.88,17238.38,
ABNAH Cafe Saket Premium,Main Store,Delhi Bakery Supply Co,PO-20260219-OUT003-0054,,,2026-02-19,2026-02-22,2026-02-23,Closed,ING012,Croissant Base,,Bakery,Raw Material,,190.0,0.0,190.0,pcs,44.92,8534.8,0,0,8534.8,426.74,8961.54,
ABNAH Cafe Saket Premium,Main Store,ChocoCraft Ingredients,PO-20260219-OUT003-0054,,,2026-02-19,2026-02-22,2026-02-21,Closed,ING013,Brownie Base,,Dessert Inputs,Raw Material,,165.0,0.0,165.0,pcs,35.48,5854.2,0,0,5854.2,1053.76,6907.96,
ABNAH Cafe Saket Premium,Main Store,ChocoCraft Ingredients,PO-20260219-OUT003-0054,,,2026-02-19,2026-02-22,2026-02-22,Partially Received,ING016,Chocolate Sauce,,Syrups & Sauces,Raw Material,,23.6,5.42,29.02,litre,263.82,7656.06,0,0,7656.06,1378.09,9034.15,
ABNAH Cafe Saket Premium,Main Store,TeaLeaf Traders NCR,PO-20260219-OUT003-0054,,,2026-02-19,2026-02-21,2026-02-21,Closed,ING020,Tea Leaves,,Tea Inputs,Raw Material,,24.07,0.0,24.07,kg,646.26,15555.48,0,0,15555.48,777.77,16333.25,
