Deployment,Store Name,Vendor Name,PO Number,PR Number,PR Deployment,PO Date,Expected Delivery,PO Close Date/Partial Recieve Date,PO Status,Item Code,Item Name,Item Brand,Category Name,Super Category Name,Comment,Total Processed Qty,Remaining Balance Qty,Quantity,Unit,Unit Price,Subtotal,Item Wise Discount Amount,Bill Wise Discount Amount,New Subtotal,Tax,Total Item Cost,
ABNAH Cafe Connaught Place,Main Store,FreshDairy Foods NCR,PO-20260201-OUT001-0034,,,2026-02-01,2026-02-02,,Pending,ING003,Oat Milk,,Dairy Alternative,Raw Material,,0.0,46.38,46.38,litre,195.24,9055.23,0,0,9055.23,452.76,9507.99,
ABNAH Cafe Connaught Place,Main Store,Delhi Bakery Supply Co,PO-20260201-OUT001-0034,,,2026-02-01,2026-02-02,2026-02-01,Closed,ING010,Bagel,,Bakery,Raw Material,,140.0,0.0,140.0,pcs,29.24,4093.6,0,0,4093.6,204.68,4298.28,
ABNAH Cafe Connaught Place,Main Store,ChocoCraft Ingredients,PO-20260201-OUT001-0034,,,2026-02-01,2026-02-02,2026-02-03,Closed,ING013,Brownie Base,,Dessert Inputs,Raw Material,,150.0,0.0,150.0,pcs,35.43,5314.5,0,0,5314.5,956.61,6271.11,
ABNAH Cafe Connaught Place,Main Store,SweetBase Foods,PO-20260201-OUT001-0034,,,2026-02-01,2026-02-04,2026-02-04,Closed,ING018,Vanilla Syrup,,Syrups & Sauces,Raw Material,,35.74,0.0,35.74,litre,233.63,8349.94,0,0,8349.94,1502.99,9852.93,
ABNAH Cafe Connaught Place,Main Store,SweetBase Foods,PO-20260201-OUT001-0034,,,2026-02-01,2026-02-03,2026-02-04,Closed,ING024,Hibiscus Concentrate,,Beverage Inputs,Raw Material,,9.94,0.0,9.94,litre,397.19,3948.07,0,0,3948.07,710.65,4658.72,
ABNAH Cafe Connaught Place,Main Store,GreenLeaf Produce Delhi,PO-20260201-OUT001-0034,,,2026-02-01,2026-02-02,2026-02-03,Closed,ING030,Capsicum,,Produce,Raw Material,,47.56,0.0,47.56,kg,85.12,4048.31,0,0,4048.31,202.42,4250.73,
ABNAH Cafe Connaught Place,Main Store,GreenLeaf Produce Delhi,PO-20260201-OUT001-0034,,,2026-02-01,2026-02-04,2026-02-07,Closed,ING031,Tomato,,Produce,Raw Material,,40.19,0.0,40.19,kg,51.15,2055.72,0,0,2055.72,102.79,2158.51,
ABNAH Cafe Connaught Place,Main Store,PackPro Disposables,PO-20260201-OUT001-0034,,,2026-02-01,2026-02-04,2026-02-05,Closed,ING039,Straw,,Packaging,Consumable,,1140.0,0.0,1140.0,pcs,0.57,649.8,0,0,649.8,116.96,766.76,
ABNAH Cafe Connaught Place,Main Store,Delhi Bakery Supply Co,PO-20260204-OUT001-0037,,,2026-02-04,2026-02-07,2026-02-06,Closed,ING012,Croissant Base,,Bakery,Raw Material,,255.0,0.0,255.0,pcs,41.37,10549.35,0,0,10549.35,527.47,11076.82,
ABNAH Cafe Connaught Place,Main Store,ChocoCraft Ingredients,PO-20260204-OUT001-0037,,,2026-02-04,2026-02-05,2026-02-06,Closed,ING013,Brownie Base,,Dessert Inputs,Raw Material,,155.0,0.0,155.0,pcs,33.04,5121.2,0,0,5121.2,921.82,6043.02,
