Deployment,Date,Generation Date,Generation Time,Item Code,Item Name,Super Category Code,Super Category Name,Category Code,Category Name,Unit Name,Average Price,GK2 Main Store,Total Qty,Total Amt
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING001,Coffee Beans,SUP-RAW,Raw Material,CAT-COF,Coffee Inputs,kg,1035.02,26.7298,26.7298,27665.88
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING002,Milk,SUP-RAW,Raw Material,CAT-DAI,Dairy,litre,72.74,0.0,0.0,0.0
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING003,Oat Milk,SUP-RAW,Raw Material,CAT-DAI,Dairy Alternative,litre,188.7,33.6401,33.6401,6347.89
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING004,Cream,SUP-RAW,Raw Material,CAT-DAI,Dairy,litre,216.65,191.924,191.924,41580.33
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING005,Paneer,SUP-RAW,Raw Material,CAT-DAI,Dairy,kg,380.57,308.9591,308.9591,117580.56
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING006,Cheese,SUP-RAW,Raw Material,CAT-DAI,Dairy,kg,497.73,81.5611,81.5611,40595.41
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING007,Chicken,SUP-RAW,Raw Material,CAT-PRO,Protein,kg,348.94,245.9981,245.9981,85838.58
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING008,Egg,SUP-RAW,Raw Material,CAT-PRO,Protein,pcs,7.29,2235.026,2235.026,16293.34
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING009,Bread,SUP-RAW,Raw Material,CAT-BAK,Bakery,pcs,11.94,2228.9567,2228.9567,26613.74
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING010,Bagel,SUP-RAW,Raw Material,CAT-BAK,Bakery,pcs,29.05,957.912,957.912,27827.34
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING011,Tortilla,SUP-RAW,Raw Material,CAT-BAK,Bakery,pcs,15.37,1795.034,1795.034,27589.67
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING012,Croissant Base,SUP-RAW,Raw Material,CAT-BAK,Bakery,pcs,45.16,701.2197,701.2197,31667.08
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING013,Brownie Base,SUP-RAW,Raw Material,CAT-DES,Dessert Inputs,pcs,33.96,633.863,633.863,21525.99
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING014,Cake Base,SUP-RAW,Raw Material,CAT-DES,Dessert Inputs,pcs,46.92,22.1799,22.1799,1040.68
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING015,Cheesecake Base,SUP-RAW,Raw Material,CAT-DES,Dessert Inputs,pcs,76.45,568.619,568.619,43470.92
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING016,Chocolate Sauce,SUP-RAW,Raw Material,CAT-SYR,Syrups & Sauces,litre,262.52,143.5887,143.5887,37694.91
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING017,Caramel Syrup,SUP-RAW,Raw Material,CAT-SYR,Syrups & Sauces,litre,259.5,104.6498,104.6498,27156.62
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING018,Vanilla Syrup,SUP-RAW,Raw Material,CAT-SYR,Syrups & Sauces,litre,240.69,189.5327,189.5327,45618.63
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING019,Sugar Syrup,SUP-RAW,Raw Material,CAT-SYR,Syrups & Sauces,litre,91.3,206.684,206.684,18870.25
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING020,Tea Leaves,SUP-RAW,Raw Material,CAT-TEA,Tea Inputs,kg,641.05,57.9244,57.9244,37132.44
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING021,Matcha Powder,SUP-RAW,Raw Material,CAT-TEA,Tea Inputs,kg,2193.0,33.17,33.17,72741.81
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING022,Ice,SUP-RAW,Raw Material,CAT-BEV,Beverage Inputs,kg,11.78,1285.1561,1285.1561,15139.14
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING023,Lemon,SUP-RAW,Raw Material,CAT-PRO,Produce,kg,116.6,62.4585,62.4585,7282.66
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING024,Hibiscus Concentrate,SUP-RAW,Raw Material,CAT-BEV,Beverage Inputs,litre,397.8,85.3096,85.3096,33936.16
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING025,Mixed Berry Pulp,SUP-RAW,Raw Material,CAT-FRU,Fruit Inputs,kg,431.36,258.9617,258.9617,111705.72
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING026,Banana,SUP-RAW,Raw Material,CAT-PRO,Produce,kg,76.87,313.4895,313.4895,24097.94
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING027,Butter,SUP-RAW,Raw Material,CAT-DAI,Dairy,kg,543.4,42.3287,42.3287,23001.42
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING028,Lettuce,SUP-RAW,Raw Material,CAT-PRO,Produce,kg,100.7,38.3178,38.3178,3858.6
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING029,Onion,SUP-RAW,Raw Material,CAT-PRO,Produce,kg,0.0,41.1584,41.1584,0.0
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING030,Capsicum,SUP-RAW,Raw Material,CAT-PRO,Produce,kg,0.0,239.4156,239.4156,0.0
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING031,Tomato,SUP-RAW,Raw Material,CAT-PRO,Produce,kg,0.0,36.8572,36.8572,0.0
ABNAH Cafe Hauz Khas,2026-03-31,2026-03-31,23:59:00,ING032,Pesto Sauce,SUP-RAW,Raw Material,CAT-SYR,Syrups & Sauces,kg,347.18,44.4767,44.4767,15441.42
