Deployment Name,Store/Kitchen Name,User Name,Vendor Name,Date,Transaction Number,Invoice Number,Batch Number,PR Number,PO Number,Invoice Date,Item Code,Item Name,Item Brand,Category Name,Super Category Name,Comment,Quantity,Unit,MRP,Unit Price,Charges Name,Amount,Discount,GST/IGST Rate,GST/IGST Value,CESS Rate,CESS Value,Other Taxes Rate,Other Taxes Value,Total Tax,Item Charges Amount,Total,Source
ABNAH Cafe Saket Premium,Main Store,ops.saket,NorthStar Poultry,2026-02-01,GRN-OUT003-260201-00176,INV-2602-00176,,,PO-20260128-OUT003-0030,2026-02-01,ING007,Chicken,,Protein,Raw Material,,45.92,kg,0,342.28,,15717.5,0.0,5.0,785.88,,,,,785.88,0,16503.38,
ABNAH Cafe Saket Premium,Main Store,ops.hk,NorthStar Poultry,2026-02-05,GRN-OUT003-260205-00195,INV-2602-00195,,,PO-20260131-OUT003-0033,2026-02-05,ING007,Chicken,,Protein,Raw Material,,50.66,kg,0,330.19,,16727.43,0.0,5.0,836.37,,,,,836.37,0,17563.8,
ABNAH Cafe Saket Premium,Main Store,ops.cp,NorthStar Poultry,2026-02-03,GRN-OUT003-260203-00196,INV-2602-00196,,,PO-20260131-OUT003-0033,2026-02-03,ING008,Egg,,Protein,Raw Material,,290.0,pcs,0,7.09,,2056.1,0.0,5.0,102.81,,,,,102.81,0,2158.91,
ABNAH Cafe Saket Premium,Main Store,ops.hk,SweetBase Foods,2026-02-05,GRN-OUT003-260205-00197,INV-2602-00197,,,PO-20260131-OUT003-0033,2026-02-05,ING018,Vanilla Syrup,,Syrups & Sauces,Raw Material,,22.82,litre,0,248.23,,5664.61,0.0,18.0,1019.63,,,,,1019.63,0,6684.24,
ABNAH Cafe Saket Premium,Main Store,ops.saket,SpiceRoot Foods,2026-02-04,GRN-OUT003-260204-00198,INV-2602-00198,,,PO-20260131-OUT003-0033,2026-02-04,ING034,Salsa,,Syrups & Sauces,Raw Material,,29.6,kg,0,187.35,,5545.56,0.0,18.0,998.2,,,,,998.2,0,6543.76,
ABNAH Cafe Saket Premium,Main Store,ops.saket,PackPro Disposables,2026-02-01,GRN-OUT003-260201-00199,INV-2602-00199,,,PO-20260131-OUT003-0033,2026-02-01,ING039,Straw,,Packaging,Consumable,,441.15,pcs,0,0.54,,238.22,0.0,18.0,42.88,,,,,42.88,0,281.1,
ABNAH Cafe Saket Premium,Main Store,ops.cp,PackPro Disposables,2026-02-01,GRN-OUT003-260201-00200,INV-2602-00200,,,PO-20260131-OUT003-0033,2026-02-01,ING041,Dessert Box,,Packaging,Consumable,,290.0,pcs,0,5.29,,1534.1,0.0,18.0,276.14,,,,,276.14,0,1810.24,
ABNAH Cafe Saket Premium,Main Store,ops.saket,PackPro Disposables,2026-02-03,GRN-OUT003-260203-00201,INV-2602-00201,,,PO-20260131-OUT003-0033,2026-02-03,ING042,Sandwich Box,,Packaging,Consumable,,426.11,pcs,0,6.56,,2795.28,0.0,18.0,503.15,,,,,503.15,0,3298.43,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,Delhi Bakery Supply Co,2026-02-03,GRN-OUT003-260203-00217,INV-2602-00217,,,PO-20260201-OUT003-0036,2026-02-03,ING009,Bread,,Bakery,Raw Material,,600.0,pcs,0,12.74,,7644.0,0.0,5.0,382.2,,,,,382.2,0,8026.2,
ABNAH Cafe Saket Premium,Main Store,ops.cp,TeaLeaf Traders NCR,2026-02-02,GRN-OUT003-260202-00218,INV-2602-00218,,,PO-20260201-OUT003-0036,2026-02-02,ING020,Tea Leaves,,Tea Inputs,Raw Material,,19.95,kg,0,639.58,,12759.62,0.0,5.0,637.98,,,,,637.98,0,13397.6,
