Deployment Name,Store/Kitchen Name,User Name,Vendor Name,Date,Transaction Number,Invoice Number,Batch Number,PR Number,PO Number,Invoice Date,Item Code,Item Name,Item Brand,Category Name,Super Category Name,Comment,Quantity,Unit,MRP,Unit Price,Charges Name,Amount,Discount,GST/IGST Rate,GST/IGST Value,CESS Rate,CESS Value,Other Taxes Rate,Other Taxes Value,Total Tax,Item Charges Amount,Total,Source
ABNAH Cafe Connaught Place,Main Store,ops.saket,Delhi Bakery Supply Co,2026-03-01,GRN-OUT001-260301-00351,INV-2603-00351,,,PO-20260225-OUT001-0058,2026-03-01,ING011,Tortilla,,Bakery,Raw Material,,230.0,pcs,0,14.72,,3385.6,0.0,5.0,169.28,,,,,169.28,0,3554.88,
ABNAH Cafe Connaught Place,Main Store,ops.saket,FreshDairy Foods NCR,2026-03-05,GRN-OUT001-260305-00370,INV-2603-00370,,,PO-20260228-OUT001-0061,2026-03-05,ING002,Milk,,Dairy,Raw Material,,76.71,litre,0,70.56,,5412.66,0.0,5.0,270.63,,,,,270.63,0,5683.29,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,Delhi Bakery Supply Co,2026-03-01,GRN-OUT001-260301-00371,INV-2603-00371,,,PO-20260228-OUT001-0061,2026-03-01,ING014,Cake Base,,Dessert Inputs,Raw Material,,210.0,pcs,0,45.13,,9477.3,0.0,18.0,1705.91,,,,,1705.91,0,11183.21,
ABNAH Cafe Connaught Place,Main Store,ops.hk,FreshDairy Foods NCR,2026-03-03,GRN-OUT001-260303-00372,INV-2603-00372,,,PO-20260228-OUT001-0061,2026-03-03,ING027,Butter,,Dairy,Raw Material,,31.09,kg,0,515.91,,16039.64,0.0,12.0,1924.76,,,,,1924.76,0,17964.4,
ABNAH Cafe Connaught Place,Main Store,ops.cp,PackPro Disposables,2026-03-02,GRN-OUT001-260302-00373,INV-2603-00373,,,PO-20260228-OUT001-0061,2026-03-02,ING036,Cold Cup,,Packaging,Consumable,,1435.0,pcs,0,3.28,,4706.8,0.0,18.0,847.22,,,,,847.22,0,5554.02,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,PackPro Disposables,2026-03-01,GRN-OUT001-260301-00374,INV-2603-00374,,,PO-20260228-OUT001-0061,2026-03-01,ING041,Dessert Box,,Packaging,Consumable,,296.82,pcs,0,5.09,,1510.81,0.0,18.0,271.95,,,,,271.95,0,1782.76,
ABNAH Cafe Connaught Place,Main Store,ops.cp,PackPro Disposables,2026-03-03,GRN-OUT001-260303-00375,INV-2603-00375,,,PO-20260228-OUT001-0061,2026-03-03,ING043,Wrap Packaging,,Packaging,Consumable,,465.0,pcs,0,6.04,,2808.6,0.0,18.0,505.55,,,,,505.55,0,3314.15,
ABNAH Cafe Connaught Place,Main Store,store.manager,FreshDairy Foods NCR,2026-03-05,GRN-OUT001-260305-00388,INV-2603-00388,,,PO-20260301-OUT001-0064,2026-03-05,ING004,Cream,,Dairy,Raw Material,,38.79,litre,0,213.85,,8295.24,0.0,5.0,414.76,,,,,414.76,0,8710.0,
ABNAH Cafe Connaught Place,Main Store,ops.cp,FreshDairy Foods NCR,2026-03-04,GRN-OUT001-260304-00389,INV-2603-00389,,,PO-20260301-OUT001-0064,2026-03-04,ING005,Paneer,,Dairy,Raw Material,,29.79,kg,0,388.19,Freight,11564.18,0.0,5.0,578.21,,,,,578.21,0,12142.39,
ABNAH Cafe Connaught Place,Main Store,ops.hk,SpiceRoot Foods,2026-03-05,GRN-OUT001-260305-00390,INV-2603-00390,,,PO-20260301-OUT001-0064,2026-03-05,ING035,Aioli,,Syrups & Sauces,Raw Material,,29.11,kg,0,330.72,,9627.26,96.27,18.0,1715.58,,,,,1715.58,0,11246.57,
ABNAH Cafe Connaught Place,Main Store,ops.saket,PackPro Disposables,2026-03-01,GRN-OUT001-260301-00391,INV-2603-00391,,,PO-20260301-OUT001-0064,2026-03-01,ING037,Hot Cup,,Packaging,Consumable,,1970.0,pcs,0,2.89,,5693.3,56.93,18.0,1014.55,,,,,1014.55,0,6650.92,
ABNAH Cafe Connaught Place,Main Store,ops.cp,PackPro Disposables,2026-03-01,GRN-OUT001-260301-00392,INV-2603-00392,,,PO-20260301-OUT001-0064,2026-03-01,ING038,Lid,,Packaging,Consumable,,1430.0,pcs,0,1.08,,1544.4,0.0,18.0,277.99,,,,,277.99,0,1822.39,
