Deployment Name,Store/Kitchen Name,User Name,Vendor Name,Date,Transaction Number,Invoice Number,Batch Number,PR Number,PO Number,Invoice Date,Item Code,Item Name,Item Brand,Category Name,Super Category Name,Comment,Quantity,Unit,MRP,Unit Price,Charges Name,Amount,Discount,GST/IGST Rate,GST/IGST Value,CESS Rate,CESS Value,Other Taxes Rate,Other Taxes Value,Total Tax,Item Charges Amount,Total,Source
ABNAH Cafe Hauz Khas,Main Store,store.manager,FreshDairy Foods NCR,2026-03-02,GRN-OUT002-260302-00356,INV-2603-00356,,,PO-20260225-OUT002-0059,2026-03-02,ING003,Oat Milk,,Dairy Alternative,Raw Material,,39.54,litre,0,191.98,,7590.89,0.0,5.0,379.54,,,,,379.54,0,7970.43,
ABNAH Cafe Hauz Khas,Main Store,store.manager,FrozenBerry Traders,2026-03-01,GRN-OUT002-260301-00360,INV-2603-00360,,,PO-20260225-OUT002-0059,2026-03-01,ING025,Mixed Berry Pulp,,Fruit Inputs,Raw Material,,34.64,kg,0,434.5,,15051.08,0.0,18.0,2709.19,,,,,2709.19,0,17760.27,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,BeanCraft Roasters Delhi,2026-03-02,GRN-OUT002-260302-00376,INV-2603-00376,,,PO-20260228-OUT002-0062,2026-03-02,ING001,Coffee Beans,,Coffee Inputs,Raw Material,,15.17,kg,0,975.06,,14791.66,0.0,5.0,739.58,,,,,739.58,0,15531.24,
ABNAH Cafe Hauz Khas,Main Store,ops.saket,ChocoCraft Ingredients,2026-03-01,GRN-OUT002-260301-00378,INV-2603-00378,,,PO-20260228-OUT002-0062,2026-03-01,ING016,Chocolate Sauce,,Syrups & Sauces,Raw Material,,40.36,litre,0,274.87,,11093.75,0.0,18.0,1996.88,,,,,1996.88,0,13090.63,
ABNAH Cafe Hauz Khas,Main Store,ops.saket,SweetBase Foods,2026-03-04,GRN-OUT002-260304-00379,INV-2603-00379,,,PO-20260228-OUT002-0062,2026-03-04,ING024,Hibiscus Concentrate,,Beverage Inputs,Raw Material,,17.71,litre,0,397.55,,7040.61,0.0,18.0,1267.31,,,,,1267.31,0,8307.92,
ABNAH Cafe Hauz Khas,Main Store,ops.saket,GreenLeaf Produce Delhi,2026-03-05,GRN-OUT002-260305-00380,INV-2603-00380,,,PO-20260228-OUT002-0062,2026-03-05,ING030,Capsicum,,Produce,Raw Material,,33.39,kg,0,81.45,,2719.62,0.0,5.0,135.98,,,,,135.98,0,2855.6,
ABNAH Cafe Hauz Khas,Main Store,ops.hk,FreshDairy Foods NCR,2026-03-05,GRN-OUT002-260305-00393,INV-2603-00393,,,PO-20260301-OUT002-0065,2026-03-05,ING004,Cream,,Dairy,Raw Material,,31.35,litre,0,212.74,,6669.4,0.0,5.0,333.47,,,,,333.47,0,7002.87,
ABNAH Cafe Hauz Khas,Main Store,ops.hk,NorthStar Poultry,2026-03-04,GRN-OUT002-260304-00394,INV-2603-00394,,,PO-20260301-OUT002-0065,2026-03-04,ING007,Chicken,,Protein,Raw Material,,51.7,kg,0,357.5,,18482.75,0.0,5.0,924.14,,,,,924.14,0,19406.89,
ABNAH Cafe Hauz Khas,Main Store,ops.hk,Delhi Bakery Supply Co,2026-03-03,GRN-OUT002-260303-00395,INV-2603-00395,,,PO-20260301-OUT002-0065,2026-03-03,ING009,Bread,,Bakery,Raw Material,,300.0,pcs,0,12.19,,3657.0,0.0,5.0,182.85,,,,,182.85,0,3839.85,
ABNAH Cafe Hauz Khas,Main Store,ops.cp,Delhi Bakery Supply Co,2026-03-02,GRN-OUT002-260302-00396,INV-2603-00396,,,PO-20260301-OUT002-0065,2026-03-02,ING015,Cheesecake Base,,Dessert Inputs,Raw Material,,125.0,pcs,0,76.45,,9556.25,0.0,18.0,1720.12,,,,,1720.12,0,11276.37,
ABNAH Cafe Hauz Khas,Main Store,store.manager,GreenLeaf Produce Delhi,2026-03-04,GRN-OUT002-260304-00397,INV-2603-00397,,,PO-20260301-OUT002-0065,2026-03-04,ING026,Banana,,Produce,Raw Material,,50.1,kg,0,79.64,,3989.96,0.0,5.0,199.5,,,,,199.5,0,4189.46,
ABNAH Cafe Hauz Khas,Main Store,ops.hk,PackPro Disposables,2026-03-03,GRN-OUT002-260303-00398,INV-2603-00398,,,PO-20260301-OUT002-0065,2026-03-03,ING039,Straw,,Packaging,Consumable,,1510.0,pcs,0,0.58,,875.8,0.0,18.0,157.64,,,,,157.64,0,1033.44,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,FreshDairy Foods NCR,2026-03-06,GRN-OUT002-260306-00408,INV-2603-00408,,,PO-20260304-OUT002-0068,2026-03-06,ING004,Cream,,Dairy,Raw Material,,20.1,litre,0,222.76,,4477.48,0.0,5.0,223.87,,,,,223.87,0,4701.35,
ABNAH Cafe Hauz Khas,Main Store,ops.hk,FreshDairy Foods NCR,2026-03-05,GRN-OUT002-260305-00409,INV-2603-00409,,,PO-20260304-OUT002-0068,2026-03-05,ING005,Paneer,,Dairy,Raw Material,,52.83,kg,0,379.41,,20044.23,0.0,5.0,1002.21,,,,,1002.21,0,21046.44,
ABNAH Cafe Hauz Khas,Main Store,store.manager,ChocoCraft Ingredients,2026-03-06,GRN-OUT002-260306-00410,INV-2603-00410,,,PO-20260304-OUT002-0068,2026-03-06,ING013,Brownie Base,,Dessert Inputs,Raw Material,,165.0,pcs,0,33.57,,5539.05,55.39,18.0,987.06,,,,,987.06,0,6470.72,
ABNAH Cafe Hauz Khas,Main Store,ops.hk,PackPro Disposables,2026-03-08,GRN-OUT002-260308-00411,INV-2603-00411,,,PO-20260304-OUT002-0068,2026-03-08,ING039,Straw,,Packaging,Consumable,,1560.0,pcs,0,0.58,Freight,904.8,0.0,18.0,162.86,,,,,162.86,0,1067.66,
ABNAH Cafe Hauz Khas,Main Store,ops.cp,PackPro Disposables,2026-03-08,GRN-OUT002-260308-00412,INV-2603-00412,,,PO-20260304-OUT002-0068,2026-03-08,ING041,Dessert Box,,Packaging,Consumable,,535.0,pcs,0,5.26,,2814.1,0.0,18.0,506.54,,,,,506.54,0,3320.64,
ABNAH Cafe Hauz Khas,Main Store,store.manager,FreshDairy Foods NCR,2026-03-11,GRN-OUT002-260311-00426,INV-2603-00426,,,PO-20260307-OUT002-0071,2026-03-11,ING006,Cheese,,Dairy,Raw Material,,18.53,kg,0,507.92,,9411.76,0.0,5.0,470.59,,,,,470.59,0,9882.35,
ABNAH Cafe Hauz Khas,Main Store,ops.cp,NorthStar Poultry,2026-03-12,GRN-OUT002-260312-00427,INV-2603-00427,,,PO-20260307-OUT002-0071,2026-03-12,ING007,Chicken,,Protein,Raw Material,,32.03,kg,0,335.13,,10734.21,0.0,5.0,536.71,,,,,536.71,0,11270.92,
ABNAH Cafe Hauz Khas,Main Store,ops.hk,NorthStar Poultry,2026-03-09,GRN-OUT002-260309-00428,INV-2603-00428,,,PO-20260307-OUT002-0071,2026-03-09,ING008,Egg,,Protein,Raw Material,,485.0,pcs,0,7.32,,3550.2,0.0,5.0,177.51,,,,,177.51,0,3727.71,
