Deployment Name,Store/Kitchen Name,User Name,Vendor Name,Date,Transaction Number,Invoice Number,Batch Number,PR Number,PO Number,Invoice Date,Item Code,Item Name,Item Brand,Category Name,Super Category Name,Comment,Quantity,Unit,MRP,Unit Price,Charges Name,Amount,Discount,GST/IGST Rate,GST/IGST Value,CESS Rate,CESS Value,Other Taxes Rate,Other Taxes Value,Total Tax,Item Charges Amount,Total,Source
ABNAH Cafe Saket Premium,Main Store,ops.cp,FreshDairy Foods NCR,2026-01-03,GRN-OUT003-260103-00014,INV-2601-00014,,,PO-20260101-OUT003-0003,2026-01-03,ING006,Cheese,,Dairy,Raw Material,,10.04,kg,0,502.45,,5044.6,0.0,5.0,252.23,,,,,252.23,0,5296.83,
ABNAH Cafe Saket Premium,Main Store,store.manager,Delhi Bakery Supply Co,2026-01-02,GRN-OUT003-260102-00015,INV-2601-00015,,,PO-20260101-OUT003-0003,2026-01-02,ING012,Croissant Base,,Bakery,Raw Material,,250.0,pcs,0,41.35,,10337.5,0.0,5.0,516.88,,,,,516.88,0,10854.38,
ABNAH Cafe Saket Premium,Main Store,ops.hk,Delhi Bakery Supply Co,2026-01-03,GRN-OUT003-260103-00016,INV-2601-00016,,,PO-20260101-OUT003-0003,2026-01-03,ING015,Cheesecake Base,,Dessert Inputs,Raw Material,,120.0,pcs,0,74.41,,8929.2,0.0,18.0,1607.26,,,,,1607.26,0,10536.46,
ABNAH Cafe Saket Premium,Main Store,ops.hk,GreenLeaf Produce Delhi,2026-01-05,GRN-OUT003-260105-00017,INV-2601-00017,,,PO-20260101-OUT003-0003,2026-01-05,ING026,Banana,,Produce,Raw Material,,59.52,kg,0,75.23,,4477.69,0.0,5.0,223.88,,,,,223.88,0,4701.57,
ABNAH Cafe Saket Premium,Main Store,ops.cp,PackPro Disposables,2026-01-02,GRN-OUT003-260102-00018,INV-2601-00018,,,PO-20260101-OUT003-0003,2026-01-02,ING037,Hot Cup,,Packaging,Consumable,,738.75,pcs,0,2.94,,2171.93,0.0,18.0,390.95,,,,,390.95,0,2562.88,
ABNAH Cafe Saket Premium,Main Store,ops.cp,PackPro Disposables,2026-01-03,GRN-OUT003-260103-00019,INV-2601-00019,,,PO-20260101-OUT003-0003,2026-01-03,ING040,Napkin,,Packaging,Consumable,,2220.0,pcs,0,0.31,,688.2,0.0,18.0,123.88,,,,,123.88,0,812.08,
ABNAH Cafe Saket Premium,Main Store,ops.hk,PackPro Disposables,2026-01-02,GRN-OUT003-260102-00020,INV-2601-00020,,,PO-20260101-OUT003-0003,2026-01-02,ING042,Sandwich Box,,Packaging,Consumable,,330.0,pcs,0,6.66,,2197.8,0.0,18.0,395.6,,,,,395.6,0,2593.4,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,PackPro Disposables,2026-01-01,GRN-OUT003-260101-00021,INV-2601-00021,,,PO-20260101-OUT003-0003,2026-01-01,ING043,Wrap Packaging,,Packaging,Consumable,,280.0,pcs,0,5.76,,1612.8,16.13,18.0,287.4,,,,,287.4,0,1884.07,
ABNAH Cafe Saket Premium,Main Store,ops.hk,FreshDairy Foods NCR,2026-01-07,GRN-OUT003-260107-00034,INV-2601-00034,,,PO-20260104-OUT003-0006,2026-01-07,ING005,Paneer,,Dairy,Raw Material,,10.75,kg,0,377.98,,4063.29,0.0,5.0,203.16,,,,,203.16,0,4266.45,
ABNAH Cafe Saket Premium,Main Store,store.manager,SpiceRoot Foods,2026-01-07,GRN-OUT003-260107-00035,INV-2601-00035,,,PO-20260104-OUT003-0006,2026-01-07,ING033,Chipotle Sauce,,Syrups & Sauces,Raw Material,,21.02,kg,0,290.76,Freight,6111.78,0.0,18.0,1100.12,,,,,1100.12,0,7211.9,
ABNAH Cafe Saket Premium,Main Store,store.manager,PackPro Disposables,2026-01-07,GRN-OUT003-260107-00036,INV-2601-00036,,,PO-20260104-OUT003-0006,2026-01-07,ING038,Lid,,Packaging,Consumable,,926.46,pcs,0,1.16,,1074.69,0.0,18.0,193.44,,,,,193.44,0,1268.13,
ABNAH Cafe Saket Premium,Main Store,ops.saket,FreshDairy Foods NCR,2026-01-08,GRN-OUT003-260108-00047,INV-2601-00047,,,PO-20260107-OUT003-0009,2026-01-08,ING002,Milk,,Dairy,Raw Material,,102.59,litre,0,72.86,,7474.71,0.0,5.0,373.74,,,,,373.74,0,7848.45,
ABNAH Cafe Saket Premium,Main Store,ops.saket,FreshDairy Foods NCR,2026-01-12,GRN-OUT003-260112-00048,INV-2601-00048,,,PO-20260107-OUT003-0009,2026-01-12,ING006,Cheese,,Dairy,Raw Material,,17.12,kg,0,483.83,,8283.17,0.0,5.0,414.16,,,,,414.16,0,8697.33,
ABNAH Cafe Saket Premium,Main Store,ops.cp,GreenLeaf Produce Delhi,2026-01-12,GRN-OUT003-260112-00049,INV-2601-00049,,,PO-20260107-OUT003-0009,2026-01-12,ING026,Banana,,Produce,Raw Material,,61.24,kg,0,71.81,,4397.64,0.0,5.0,219.88,,,,,219.88,0,4617.52,
ABNAH Cafe Saket Premium,Main Store,ops.cp,FreshDairy Foods NCR,2026-01-10,GRN-OUT003-260110-00050,INV-2601-00050,,,PO-20260107-OUT003-0009,2026-01-10,ING027,Butter,,Dairy,Raw Material,,28.36,kg,0,531.94,,15085.82,0.0,12.0,1810.3,,,,,1810.3,0,16896.12,
ABNAH Cafe Saket Premium,Main Store,ops.hk,SpiceRoot Foods,2026-01-10,GRN-OUT003-260110-00051,INV-2601-00051,,,PO-20260107-OUT003-0009,2026-01-10,ING032,Pesto Sauce,,Syrups & Sauces,Raw Material,,19.86,kg,0,338.5,,6722.61,0.0,18.0,1210.07,,,,,1210.07,0,7932.68,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,PackPro Disposables,2026-01-07,GRN-OUT003-260107-00052,INV-2601-00052,,,PO-20260107-OUT003-0009,2026-01-07,ING042,Sandwich Box,,Packaging,Consumable,,350.0,pcs,0,6.84,,2394.0,0.0,18.0,430.92,,,,,430.92,0,2824.92,
ABNAH Cafe Saket Premium,Main Store,store.manager,FreshDairy Foods NCR,2026-01-13,GRN-OUT003-260113-00065,INV-2601-00065,,,PO-20260110-OUT003-0012,2026-01-13,ING006,Cheese,,Dairy,Raw Material,,18.57,kg,0,469.42,,8717.13,87.17,5.0,431.5,,,,,431.5,0,9061.46,
ABNAH Cafe Saket Premium,Main Store,ops.hk,SweetBase Foods,2026-01-12,GRN-OUT003-260112-00066,INV-2601-00066,,,PO-20260110-OUT003-0012,2026-01-12,ING018,Vanilla Syrup,,Syrups & Sauces,Raw Material,,40.1,litre,0,231.76,,9293.58,0.0,18.0,1672.84,,,,,1672.84,0,10966.42,
ABNAH Cafe Saket Premium,Main Store,ops.saket,Metro Wholesale Delhi,2026-01-11,GRN-OUT003-260111-00067,INV-2601-00067,,,PO-20260110-OUT003-0012,2026-01-11,ING022,Ice,,Beverage Inputs,Raw Material,,349.44,kg,0,12.48,,4361.01,0.0,5.0,218.05,,,,,218.05,0,4579.06,
ABNAH Cafe Saket Premium,Main Store,ops.hk,GreenLeaf Produce Delhi,2026-01-14,GRN-OUT003-260114-00068,INV-2601-00068,,,PO-20260110-OUT003-0012,2026-01-14,ING028,Lettuce,,Produce,Raw Material,,17.17,kg,0,91.77,,1575.69,0.0,5.0,78.78,,,,,78.78,0,1654.47,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,PackPro Disposables,2026-01-11,GRN-OUT003-260111-00069,INV-2601-00069,,,PO-20260110-OUT003-0012,2026-01-11,ING039,Straw,,Packaging,Consumable,,955.0,pcs,0,0.56,,534.8,0.0,18.0,96.26,,,,,96.26,0,631.06,
ABNAH Cafe Saket Premium,Main Store,ops.hk,PackPro Disposables,2026-01-11,GRN-OUT003-260111-00070,INV-2601-00070,,,PO-20260110-OUT003-0012,2026-01-11,ING043,Wrap Packaging,,Packaging,Consumable,,675.0,pcs,0,5.62,,3793.5,0.0,18.0,682.83,,,,,682.83,0,4476.33,
ABNAH Cafe Saket Premium,Main Store,ops.saket,ChocoCraft Ingredients,2026-01-13,GRN-OUT003-260113-00083,INV-2601-00083,,,PO-20260113-OUT003-0015,2026-01-13,ING013,Brownie Base,,Dessert Inputs,Raw Material,,108.7,pcs,0,33.38,,3628.41,36.28,18.0,646.58,,,,,646.58,0,4238.71,
ABNAH Cafe Saket Premium,Main Store,ops.cp,SweetBase Foods,2026-01-16,GRN-OUT003-260116-00084,INV-2601-00084,,,PO-20260113-OUT003-0015,2026-01-16,ING019,Sugar Syrup,,Syrups & Sauces,Raw Material,,36.62,litre,0,91.16,,3338.28,0.0,18.0,600.89,,,,,600.89,0,3939.17,
ABNAH Cafe Saket Premium,Main Store,store.manager,GreenLeaf Produce Delhi,2026-01-16,GRN-OUT003-260116-00085,INV-2601-00085,,,PO-20260113-OUT003-0015,2026-01-16,ING026,Banana,,Produce,Raw Material,,48.6,kg,0,73.22,,3558.49,0.0,5.0,177.92,,,,,177.92,0,3736.41,
ABNAH Cafe Saket Premium,Main Store,ops.cp,GreenLeaf Produce Delhi,2026-01-16,GRN-OUT003-260116-00086,INV-2601-00086,,,PO-20260113-OUT003-0015,2026-01-16,ING029,Onion,,Produce,Raw Material,,79.47,kg,0,42.33,Freight,3363.97,0.0,5.0,168.2,,,,,168.2,0,3532.17,
ABNAH Cafe Saket Premium,Main Store,ops.saket,GreenLeaf Produce Delhi,2026-01-16,GRN-OUT003-260116-00087,INV-2601-00087,,,PO-20260113-OUT003-0015,2026-01-16,ING031,Tomato,,Produce,Raw Material,,34.26,kg,0,52.13,,1785.97,0.0,5.0,89.3,,,,,89.3,0,1875.27,
ABNAH Cafe Saket Premium,Main Store,ops.hk,SpiceRoot Foods,2026-01-15,GRN-OUT003-260115-00088,INV-2601-00088,,,PO-20260113-OUT003-0015,2026-01-15,ING032,Pesto Sauce,,Syrups & Sauces,Raw Material,,14.65,kg,0,344.09,,5040.92,0.0,18.0,907.37,,,,,907.37,0,5948.29,
ABNAH Cafe Saket Premium,Main Store,store.manager,FreshDairy Foods NCR,2026-01-18,GRN-OUT003-260118-00100,INV-2601-00100,,,PO-20260116-OUT003-0018,2026-01-18,ING004,Cream,,Dairy,Raw Material,,32.84,litre,0,221.03,,7258.63,0.0,5.0,362.93,,,,,362.93,0,7621.56,
ABNAH Cafe Saket Premium,Main Store,ops.cp,Delhi Bakery Supply Co,2026-01-19,GRN-OUT003-260119-00101,INV-2601-00101,,,PO-20260116-OUT003-0018,2026-01-19,ING011,Tortilla,,Bakery,Raw Material,,360.0,pcs,0,14.44,,5198.4,0.0,5.0,259.92,,,,,259.92,0,5458.32,
