Deployment Name,Store/Kitchen Name,User Name,Vendor Name,Date,Transaction Number,Invoice Number,Batch Number,PR Number,PO Number,Invoice Date,Item Code,Item Name,Item Brand,Category Name,Super Category Name,Comment,Quantity,Unit,MRP,Unit Price,Charges Name,Amount,Discount,GST/IGST Rate,GST/IGST Value,CESS Rate,CESS Value,Other Taxes Rate,Other Taxes Value,Total Tax,Item Charges Amount,Total,Source
ABNAH Cafe Connaught Place,Main Store,ops.saket,FreshDairy Foods NCR,2026-01-02,GRN-OUT001-260102-00001,INV-2601-00001,,,PO-20260101-OUT001-0001,2026-01-02,ING002,Milk,,Dairy,Raw Material,,161.22,litre,0,73.78,,11894.81,0.0,5.0,594.74,,,,,594.74,0,12489.55,
ABNAH Cafe Connaught Place,Main Store,ops.saket,FreshDairy Foods NCR,2026-01-04,GRN-OUT001-260104-00002,INV-2601-00002,,,PO-20260101-OUT001-0001,2026-01-04,ING003,Oat Milk,,Dairy Alternative,Raw Material,,37.73,litre,0,180.58,,6813.28,0.0,5.0,340.66,,,,,340.66,0,7153.94,
ABNAH Cafe Connaught Place,Main Store,store.manager,FreshDairy Foods NCR,2026-01-02,GRN-OUT001-260102-00003,INV-2601-00003,,,PO-20260101-OUT001-0001,2026-01-02,ING004,Cream,,Dairy,Raw Material,,21.24,litre,0,211.0,,4481.64,0.0,5.0,224.08,,,,,224.08,0,4705.72,
ABNAH Cafe Connaught Place,Main Store,store.manager,NorthStar Poultry,2026-01-03,GRN-OUT001-260103-00004,INV-2601-00004,,,PO-20260101-OUT001-0001,2026-01-03,ING008,Egg,,Protein,Raw Material,,390.0,pcs,0,6.84,,2667.6,0.0,5.0,133.38,,,,,133.38,0,2800.98,
ABNAH Cafe Connaught Place,Main Store,ops.saket,Delhi Bakery Supply Co,2026-01-05,GRN-OUT001-260105-00005,INV-2601-00005,,,PO-20260101-OUT001-0001,2026-01-05,ING009,Bread,,Bakery,Raw Material,,435.0,pcs,0,11.66,,5072.1,50.72,5.0,251.07,,,,,251.07,0,5272.45,
ABNAH Cafe Connaught Place,Main Store,ops.saket,SweetBase Foods,2026-01-04,GRN-OUT001-260104-00006,INV-2601-00006,,,PO-20260101-OUT001-0001,2026-01-04,ING017,Caramel Syrup,,Syrups & Sauces,Raw Material,,42.61,litre,0,242.26,,10322.7,0.0,18.0,1858.09,,,,,1858.09,0,12180.79,
ABNAH Cafe Connaught Place,Main Store,ops.saket,PackPro Disposables,2026-01-04,GRN-OUT001-260104-00007,INV-2601-00007,,,PO-20260101-OUT001-0001,2026-01-04,ING041,Dessert Box,,Packaging,Consumable,,435.0,pcs,0,5.03,,2188.05,0.0,18.0,393.85,,,,,393.85,0,2581.9,
ABNAH Cafe Connaught Place,Main Store,ops.hk,BeanCraft Roasters Delhi,2026-01-05,GRN-OUT001-260105-00022,INV-2601-00022,,,PO-20260104-OUT001-0004,2026-01-05,ING001,Coffee Beans,,Coffee Inputs,Raw Material,,8.03,kg,0,956.95,,7684.31,76.84,5.0,380.37,,,,,380.37,0,7987.84,
ABNAH Cafe Connaught Place,Main Store,store.manager,FreshDairy Foods NCR,2026-01-06,GRN-OUT001-260106-00023,INV-2601-00023,,,PO-20260104-OUT001-0004,2026-01-06,ING002,Milk,,Dairy,Raw Material,,117.44,litre,0,75.17,,8827.96,0.0,5.0,441.4,,,,,441.4,0,9269.36,
ABNAH Cafe Connaught Place,Main Store,store.manager,NorthStar Poultry,2026-01-08,GRN-OUT001-260108-00024,INV-2601-00024,,,PO-20260104-OUT001-0004,2026-01-08,ING008,Egg,,Protein,Raw Material,,335.0,pcs,0,7.32,,2452.2,0.0,5.0,122.61,,,,,122.61,0,2574.81,
ABNAH Cafe Connaught Place,Main Store,store.manager,SweetBase Foods,2026-01-06,GRN-OUT001-260106-00025,INV-2601-00025,,,PO-20260104-OUT001-0004,2026-01-06,ING024,Hibiscus Concentrate,,Beverage Inputs,Raw Material,,17.71,litre,0,381.18,,6750.7,0.0,18.0,1215.13,,,,,1215.13,0,7965.83,
ABNAH Cafe Connaught Place,Main Store,store.manager,PackPro Disposables,2026-01-06,GRN-OUT001-260106-00026,INV-2601-00026,,,PO-20260104-OUT001-0004,2026-01-06,ING036,Cold Cup,,Packaging,Consumable,,1555.0,pcs,0,3.2,,4976.0,0.0,18.0,895.68,,,,,895.68,0,5871.68,
ABNAH Cafe Connaught Place,Main Store,ops.hk,FreshDairy Foods NCR,2026-01-11,GRN-OUT001-260111-00037,INV-2601-00037,,,PO-20260107-OUT001-0007,2026-01-11,ING004,Cream,,Dairy,Raw Material,,21.44,litre,0,219.86,,4713.8,0.0,5.0,235.69,,,,,235.69,0,4949.49,
ABNAH Cafe Connaught Place,Main Store,store.manager,Delhi Bakery Supply Co,2026-01-08,GRN-OUT001-260108-00038,INV-2601-00038,,,PO-20260107-OUT001-0007,2026-01-08,ING010,Bagel,,Bakery,Raw Material,,100.0,pcs,0,29.55,,2955.0,0.0,5.0,147.75,,,,,147.75,0,3102.75,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,SweetBase Foods,2026-01-10,GRN-OUT001-260110-00039,INV-2601-00039,,,PO-20260107-OUT001-0007,2026-01-10,ING019,Sugar Syrup,,Syrups & Sauces,Raw Material,,35.63,litre,0,89.51,,3189.24,0.0,18.0,574.06,,,,,574.06,0,3763.3,
