Deployment Name,Store/Kitchen Name,User Name,Date,Transaction Number,Item Code,Item Name,Category Name,Super Category Name,Comment,Quantity,Unit,Unit Price,Sub Total,Source
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING001,ING001,Coffee Beans,Coffee Inputs,Raw Material,,1.3151,kg,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING002,ING002,Milk,Dairy,Raw Material,,11.6812,litre,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING003,ING003,Oat Milk,Dairy Alternative,Raw Material,,13.0396,litre,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING004,ING004,Cream,Dairy,Raw Material,,113.0626,litre,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING005,ING005,Paneer,Dairy,Raw Material,,141.0207,kg,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING006,ING006,Cheese,Dairy,Raw Material,,163.0699,kg,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING007,ING007,Chicken,Protein,Raw Material,,166.856,kg,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING008,ING008,Egg,Protein,Raw Material,,1294.176,pcs,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING009,ING009,Bread,Bakery,Raw Material,,1200.9345,pcs,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING010,ING010,Bagel,Bakery,Raw Material,,299.937,pcs,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING011,ING011,Tortilla,Bakery,Raw Material,,694.896,pcs,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING012,ING012,Croissant Base,Bakery,Raw Material,,479.5623,pcs,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING013,ING013,Brownie Base,Dessert Inputs,Raw Material,,342.058,pcs,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING014,ING014,Cake Base,Dessert Inputs,Raw Material,,302.3668,pcs,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING015,ING015,Cheesecake Base,Dessert Inputs,Raw Material,,393.758,pcs,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING016,ING016,Chocolate Sauce,Syrups & Sauces,Raw Material,,133.4469,litre,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING017,ING017,Caramel Syrup,Syrups & Sauces,Raw Material,,54.5311,litre,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING018,ING018,Vanilla Syrup,Syrups & Sauces,Raw Material,,123.2433,litre,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING019,ING019,Sugar Syrup,Syrups & Sauces,Raw Material,,57.0967,litre,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING020,ING020,Tea Leaves,Tea Inputs,Raw Material,,95.8115,kg,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING021,ING021,Matcha Powder,Tea Inputs,Raw Material,,6.016,kg,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING022,ING022,Ice,Beverage Inputs,Raw Material,,946.8534,kg,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING023,ING023,Lemon,Produce,Raw Material,,47.4697,kg,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING024,ING024,Hibiscus Concentrate,Beverage Inputs,Raw Material,,37.6837,litre,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING025,ING025,Mixed Berry Pulp,Fruit Inputs,Raw Material,,12.908,kg,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING026,ING026,Banana,Produce,Raw Material,,246.0379,kg,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING027,ING027,Butter,Dairy,Raw Material,,152.5439,kg,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING028,ING028,Lettuce,Produce,Raw Material,,28.8009,kg,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING029,ING029,Onion,Produce,Raw Material,,122.4831,kg,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING030,ING030,Capsicum,Produce,Raw Material,,24.2123,kg,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-03-01,OPEN-OUT003-03-ING031,ING031,Tomato,Produce,Raw Material,,150.9243,kg,0,0,
