Deployment Name,Store/Kitchen Name,User Name,Date,Transaction Number,Item Code,Item Name,Category Name,Super Category Name,Comment,Quantity,Unit,Unit Price,Sub Total,Source
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-03-01,OPEN-OUT002-03-ING001,ING001,Coffee Beans,Coffee Inputs,Raw Material,,24.3104,kg,0,0,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-03-01,OPEN-OUT002-03-ING002,ING002,Milk,Dairy,Raw Material,,53.3042,litre,0,0,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-03-01,OPEN-OUT002-03-ING003,ING003,Oat Milk,Dairy Alternative,Raw Material,,5.4896,litre,0,0,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-03-01,OPEN-OUT002-03-ING004,ING004,Cream,Dairy,Raw Material,,149.1045,litre,0,0,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-03-01,OPEN-OUT002-03-ING005,ING005,Paneer,Dairy,Raw Material,,179.9115,kg,0,0,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-03-01,OPEN-OUT002-03-ING006,ING006,Cheese,Dairy,Raw Material,,34.5512,kg,0,0,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-03-01,OPEN-OUT002-03-ING007,ING007,Chicken,Protein,Raw Material,,173.7972,kg,0,0,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-03-01,OPEN-OUT002-03-ING008,ING008,Egg,Protein,Raw Material,,1264.086,pcs,0,0,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-03-01,OPEN-OUT002-03-ING009,ING009,Bread,Bakery,Raw Material,,1227.2318,pcs,0,0,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-03-01,OPEN-OUT002-03-ING010,ING010,Bagel,Bakery,Raw Material,,796.096,pcs,0,0,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-03-01,OPEN-OUT002-03-ING011,ING011,Tortilla,Bakery,Raw Material,,1863.476,pcs,0,0,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-03-01,OPEN-OUT002-03-ING012,ING012,Croissant Base,Bakery,Raw Material,,563.8019,pcs,0,0,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-03-01,OPEN-OUT002-03-ING013,ING013,Brownie Base,Dessert Inputs,Raw Material,,158.723,pcs,0,0,
