Item Code,Item Name,Company,Deployment,Date,Invoice Date,PO Date,Po Number,Transaction Number,Vendor Code,Vendor Name,Invoice Number,Batch Number,Category Code,Category Name,Super Category Code,Super Category Name,PO Qty,PO Unit,PO Unit Price,PO Amount,PO Comment,Purchase Quantity,Purchase Unit,Purchase Unit Price,Purchase Amount,Discount,CGST Tax,SGST Tax,IGST Tax,Other Taxes,Total
ING011,Tortilla,,ABNAH Cafe Connaught Place,2026-03-01,2026-03-01,2026-02-25,PO-20260225-OUT001-0058,GRN-OUT001-260301-00351,VEND003,Delhi Bakery Supply Co,INV-2603-00351,,CAT-BAK,Bakery,SUP-RAW,Raw Material,230.0,pcs,14.72,3385.6,,230.0,pcs,14.72,3385.6,0.0,84.64,84.64,0,0,3554.88
ING002,Milk,,ABNAH Cafe Connaught Place,2026-03-05,2026-03-05,2026-02-28,PO-20260228-OUT001-0061,GRN-OUT001-260305-00370,VEND002,FreshDairy Foods NCR,INV-2603-00370,,CAT-DAI,Dairy,SUP-RAW,Raw Material,76.71,litre,70.56,5412.66,,76.71,litre,70.56,5412.66,0.0,135.31,135.32,0,0,5683.29
ING014,Cake Base,,ABNAH Cafe Connaught Place,2026-03-01,2026-03-01,2026-02-28,PO-20260228-OUT001-0061,GRN-OUT001-260301-00371,VEND003,Delhi Bakery Supply Co,INV-2603-00371,,CAT-DES,Dessert Inputs,SUP-RAW,Raw Material,210.0,pcs,45.13,9477.3,,210.0,pcs,45.13,9477.3,0.0,852.96,852.95,0,0,11183.21
ING027,Butter,,ABNAH Cafe Connaught Place,2026-03-03,2026-03-03,2026-02-28,PO-20260228-OUT001-0061,GRN-OUT001-260303-00372,VEND002,FreshDairy Foods NCR,INV-2603-00372,,CAT-DAI,Dairy,SUP-RAW,Raw Material,31.09,kg,515.91,16039.64,,31.09,kg,515.91,16039.64,0.0,962.38,962.38,0,0,17964.4
ING036,Cold Cup,,ABNAH Cafe Connaught Place,2026-03-02,2026-03-02,2026-02-28,PO-20260228-OUT001-0061,GRN-OUT001-260302-00373,VEND004,PackPro Disposables,INV-2603-00373,,CAT-PAC,Packaging,SUP-CON,Consumable,1435.0,pcs,3.28,4706.8,,1435.0,pcs,3.28,4706.8,0.0,423.61,423.61,0,0,5554.02
ING041,Dessert Box,,ABNAH Cafe Connaught Place,2026-03-01,2026-03-01,2026-02-28,PO-20260228-OUT001-0061,GRN-OUT001-260301-00374,VEND004,PackPro Disposables,INV-2603-00374,,CAT-PAC,Packaging,SUP-CON,Consumable,550.0,pcs,5.09,2799.5,,296.82,pcs,5.09,1510.81,0.0,135.97,135.98,0,0,1782.76
ING043,Wrap Packaging,,ABNAH Cafe Connaught Place,2026-03-03,2026-03-03,2026-02-28,PO-20260228-OUT001-0061,GRN-OUT001-260303-00375,VEND004,PackPro Disposables,INV-2603-00375,,CAT-PAC,Packaging,SUP-CON,Consumable,465.0,pcs,6.04,2808.6,,465.0,pcs,6.04,2808.6,0.0,252.78,252.77,0,0,3314.15
ING004,Cream,,ABNAH Cafe Connaught Place,2026-03-05,2026-03-05,2026-03-01,PO-20260301-OUT001-0064,GRN-OUT001-260305-00388,VEND002,FreshDairy Foods NCR,INV-2603-00388,,CAT-DAI,Dairy,SUP-RAW,Raw Material,38.79,litre,213.85,8295.24,,38.79,litre,213.85,8295.24,0.0,207.38,207.38,0,0,8710.0
ING005,Paneer,,ABNAH Cafe Connaught Place,2026-03-04,2026-03-04,2026-03-01,PO-20260301-OUT001-0064,GRN-OUT001-260304-00389,VEND002,FreshDairy Foods NCR,INV-2603-00389,,CAT-DAI,Dairy,SUP-RAW,Raw Material,37.86,kg,388.19,14696.87,,29.79,kg,388.19,11564.18,0.0,289.11,289.1,0,0,12142.39
ING035,Aioli,,ABNAH Cafe Connaught Place,2026-03-05,2026-03-05,2026-03-01,PO-20260301-OUT001-0064,GRN-OUT001-260305-00390,VEND006,SpiceRoot Foods,INV-2603-00390,,CAT-SYR,Syrups & Sauces,SUP-RAW,Raw Material,29.11,kg,330.72,9627.26,,29.11,kg,330.72,9627.26,96.27,857.79,857.79,0,0,11246.57
