Item Code,Item Name,Company,Deployment,Date,Invoice Date,PO Date,Po Number,Transaction Number,Vendor Code,Vendor Name,Invoice Number,Batch Number,Category Code,Category Name,Super Category Code,Super Category Name,PO Qty,PO Unit,PO Unit Price,PO Amount,PO Comment,Purchase Quantity,Purchase Unit,Purchase Unit Price,Purchase Amount,Discount,CGST Tax,SGST Tax,IGST Tax,Other Taxes,Total
ING003,Oat Milk,,ABNAH Cafe Hauz Khas,2026-03-02,2026-03-02,2026-02-25,PO-20260225-OUT002-0059,GRN-OUT002-260302-00356,VEND002,FreshDairy Foods NCR,INV-2603-00356,,CAT-DAI,Dairy Alternative,SUP-RAW,Raw Material,39.54,litre,191.98,7590.89,,39.54,litre,191.98,7590.89,0.0,189.77,189.77,0,0,7970.43
ING025,Mixed Berry Pulp,,ABNAH Cafe Hauz Khas,2026-03-01,2026-03-01,2026-02-25,PO-20260225-OUT002-0059,GRN-OUT002-260301-00360,VEND009,FrozenBerry Traders,INV-2603-00360,,CAT-FRU,Fruit Inputs,SUP-RAW,Raw Material,34.64,kg,434.5,14900.57,,34.64,kg,434.5,15051.08,0.0,1354.6,1354.59,0,0,17760.27
ING001,Coffee Beans,,ABNAH Cafe Hauz Khas,2026-03-02,2026-03-02,2026-02-28,PO-20260228-OUT002-0062,GRN-OUT002-260302-00376,VEND001,BeanCraft Roasters Delhi,INV-2603-00376,,CAT-COF,Coffee Inputs,SUP-RAW,Raw Material,15.17,kg,975.06,14791.66,,15.17,kg,975.06,14791.66,0.0,369.79,369.79,0,0,15531.24
ING016,Chocolate Sauce,,ABNAH Cafe Hauz Khas,2026-03-01,2026-03-01,2026-02-28,PO-20260228-OUT002-0062,GRN-OUT002-260301-00378,VEND008,ChocoCraft Ingredients,INV-2603-00378,,CAT-SYR,Syrups & Sauces,SUP-RAW,Raw Material,40.36,litre,274.87,11093.75,,40.36,litre,274.87,11093.75,0.0,998.44,998.44,0,0,13090.63
ING024,Hibiscus Concentrate,,ABNAH Cafe Hauz Khas,2026-03-04,2026-03-04,2026-02-28,PO-20260228-OUT002-0062,GRN-OUT002-260304-00379,VEND012,SweetBase Foods,INV-2603-00379,,CAT-BEV,Beverage Inputs,SUP-RAW,Raw Material,17.71,litre,397.55,7040.61,,17.71,litre,397.55,7040.61,0.0,633.65,633.66,0,0,8307.92
ING030,Capsicum,,ABNAH Cafe Hauz Khas,2026-03-05,2026-03-05,2026-02-28,PO-20260228-OUT002-0062,GRN-OUT002-260305-00380,VEND005,GreenLeaf Produce Delhi,INV-2603-00380,,CAT-PRO,Produce,SUP-RAW,Raw Material,33.39,kg,81.45,2719.62,,33.39,kg,81.45,2719.62,0.0,67.99,67.99,0,0,2855.6
ING004,Cream,,ABNAH Cafe Hauz Khas,2026-03-05,2026-03-05,2026-03-01,PO-20260301-OUT002-0065,GRN-OUT002-260305-00393,VEND002,FreshDairy Foods NCR,INV-2603-00393,,CAT-DAI,Dairy,SUP-RAW,Raw Material,31.35,litre,212.74,6669.4,,31.35,litre,212.74,6669.4,0.0,166.74,166.73,0,0,7002.87
ING007,Chicken,,ABNAH Cafe Hauz Khas,2026-03-04,2026-03-04,2026-03-01,PO-20260301-OUT002-0065,GRN-OUT002-260304-00394,VEND007,NorthStar Poultry,INV-2603-00394,,CAT-PRO,Protein,SUP-RAW,Raw Material,51.7,kg,357.5,18482.75,,51.7,kg,357.5,18482.75,0.0,462.07,462.07,0,0,19406.89
ING009,Bread,,ABNAH Cafe Hauz Khas,2026-03-03,2026-03-03,2026-03-01,PO-20260301-OUT002-0065,GRN-OUT002-260303-00395,VEND003,Delhi Bakery Supply Co,INV-2603-00395,,CAT-BAK,Bakery,SUP-RAW,Raw Material,300.0,pcs,12.19,3638.71,,300.0,pcs,12.19,3657.0,0.0,91.42,91.43,0,0,3839.85
ING015,Cheesecake Base,,ABNAH Cafe Hauz Khas,2026-03-02,2026-03-02,2026-03-01,PO-20260301-OUT002-0065,GRN-OUT002-260302-00396,VEND003,Delhi Bakery Supply Co,INV-2603-00396,,CAT-DES,Dessert Inputs,SUP-RAW,Raw Material,125.0,pcs,76.45,9556.25,,125.0,pcs,76.45,9556.25,0.0,860.06,860.06,0,0,11276.37
ING026,Banana,,ABNAH Cafe Hauz Khas,2026-03-04,2026-03-04,2026-03-01,PO-20260301-OUT002-0065,GRN-OUT002-260304-00397,VEND005,GreenLeaf Produce Delhi,INV-2603-00397,,CAT-PRO,Produce,SUP-RAW,Raw Material,50.1,kg,79.64,3989.96,,50.1,kg,79.64,3989.96,0.0,99.75,99.75,0,0,4189.46
ING039,Straw,,ABNAH Cafe Hauz Khas,2026-03-03,2026-03-03,2026-03-01,PO-20260301-OUT002-0065,GRN-OUT002-260303-00398,VEND004,PackPro Disposables,INV-2603-00398,,CAT-PAC,Packaging,SUP-CON,Consumable,1510.0,pcs,0.58,875.8,,1510.0,pcs,0.58,875.8,0.0,78.82,78.82,0,0,1033.44
ING004,Cream,,ABNAH Cafe Hauz Khas,2026-03-06,2026-03-06,2026-03-04,PO-20260304-OUT002-0068,GRN-OUT002-260306-00408,VEND002,FreshDairy Foods NCR,INV-2603-00408,,CAT-DAI,Dairy,SUP-RAW,Raw Material,30.49,litre,222.76,6791.95,,20.1,litre,222.76,4477.48,0.0,111.94,111.93,0,0,4701.35
ING005,Paneer,,ABNAH Cafe Hauz Khas,2026-03-05,2026-03-05,2026-03-04,PO-20260304-OUT002-0068,GRN-OUT002-260305-00409,VEND002,FreshDairy Foods NCR,INV-2603-00409,,CAT-DAI,Dairy,SUP-RAW,Raw Material,52.83,kg,379.41,20044.23,,52.83,kg,379.41,20044.23,0.0,501.11,501.1,0,0,21046.44
