Item Code,Item Name,Company,Deployment,Date,Invoice Date,PO Date,Po Number,Transaction Number,Vendor Code,Vendor Name,Invoice Number,Batch Number,Category Code,Category Name,Super Category Code,Super Category Name,PO Qty,PO Unit,PO Unit Price,PO Amount,PO Comment,Purchase Quantity,Purchase Unit,Purchase Unit Price,Purchase Amount,Discount,CGST Tax,SGST Tax,IGST Tax,Other Taxes,Total
ING014,Cake Base,,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,2026-02-25,PO-20260225-OUT003-0060,GRN-OUT003-260301-00364,VEND003,Delhi Bakery Supply Co,INV-2603-00364,,CAT-DES,Dessert Inputs,SUP-RAW,Raw Material,165.0,pcs,48.31,7971.15,,165.0,pcs,48.31,7971.15,0.0,717.4,717.41,0,0,9405.96
ING031,Tomato,,ABNAH Cafe Saket Premium,2026-03-02,2026-03-02,2026-02-25,PO-20260225-OUT003-0060,GRN-OUT003-260302-00366,VEND005,GreenLeaf Produce Delhi,INV-2603-00366,,CAT-PRO,Produce,SUP-RAW,Raw Material,38.85,kg,53.79,2089.74,,38.85,kg,53.79,2089.74,0.0,52.24,52.25,0,0,2194.23
ING006,Cheese,,ABNAH Cafe Saket Premium,2026-03-03,2026-03-03,2026-02-28,PO-20260228-OUT003-0063,GRN-OUT003-260303-00381,VEND002,FreshDairy Foods NCR,INV-2603-00381,,CAT-DAI,Dairy,SUP-RAW,Raw Material,15.98,kg,483.37,7724.25,,15.98,kg,483.37,7724.25,0.0,193.1,193.11,0,0,8110.46
ING010,Bagel,,ABNAH Cafe Saket Premium,2026-03-04,2026-03-04,2026-02-28,PO-20260228-OUT003-0063,GRN-OUT003-260304-00382,VEND003,Delhi Bakery Supply Co,INV-2603-00382,,CAT-BAK,Bakery,SUP-RAW,Raw Material,125.0,pcs,28.98,3622.5,,125.0,pcs,28.98,3622.5,36.23,89.66,89.65,0,0,3765.58
ING012,Croissant Base,,ABNAH Cafe Saket Premium,2026-03-02,2026-03-02,2026-02-28,PO-20260228-OUT003-0063,GRN-OUT003-260302-00383,VEND003,Delhi Bakery Supply Co,INV-2603-00383,,CAT-BAK,Bakery,SUP-RAW,Raw Material,255.0,pcs,43.94,11204.7,,255.0,pcs,43.94,11204.7,112.05,277.31,277.32,0,0,11647.28
ING014,Cake Base,,ABNAH Cafe Saket Premium,2026-03-03,2026-03-03,2026-02-28,PO-20260228-OUT003-0063,GRN-OUT003-260303-00384,VEND003,Delhi Bakery Supply Co,INV-2603-00384,,CAT-DES,Dessert Inputs,SUP-RAW,Raw Material,180.0,pcs,48.45,8721.0,,180.0,pcs,48.45,8721.0,0.0,784.89,784.89,0,0,10290.78
ING018,Vanilla Syrup,,ABNAH Cafe Saket Premium,2026-03-04,2026-03-04,2026-02-28,PO-20260228-OUT003-0063,GRN-OUT003-260304-00385,VEND012,SweetBase Foods,INV-2603-00385,,CAT-SYR,Syrups & Sauces,SUP-RAW,Raw Material,25.1,litre,251.83,6289.33,,25.1,litre,251.83,6320.93,63.21,563.2,563.19,0,0,7384.11
ING028,Lettuce,,ABNAH Cafe Saket Premium,2026-03-05,2026-03-05,2026-02-28,PO-20260228-OUT003-0063,GRN-OUT003-260305-00386,VEND005,GreenLeaf Produce Delhi,INV-2603-00386,,CAT-PRO,Produce,SUP-RAW,Raw Material,28.69,kg,94.01,2697.15,,28.69,kg,94.01,2697.15,0.0,67.43,67.43,0,0,2832.01
ING031,Tomato,,ABNAH Cafe Saket Premium,2026-03-04,2026-03-04,2026-02-28,PO-20260228-OUT003-0063,GRN-OUT003-260304-00387,VEND005,GreenLeaf Produce Delhi,INV-2603-00387,,CAT-PRO,Produce,SUP-RAW,Raw Material,72.21,kg,54.44,3891.8,,72.21,kg,54.44,3931.11,39.31,97.3,97.29,0,0,4086.39
ING002,Milk,,ABNAH Cafe Saket Premium,2026-03-05,2026-03-05,2026-03-01,PO-20260301-OUT003-0066,GRN-OUT003-260305-00399,VEND002,FreshDairy Foods NCR,INV-2603-00399,,CAT-DAI,Dairy,SUP-RAW,Raw Material,68.52,litre,73.08,5007.44,,68.52,litre,73.08,5007.44,0.0,125.19,125.18,0,0,5257.81
