Deployment,Store/Kitchen,Category,Item Type,Is Asset,Item Name,Unit,Price,Opening Qty,Opening Amt,Purchase Qty,Purchase Amt,Production Qty,Production Amt,Consumption Qty,Consumption Amt,Stock In Qty,Stock In Amt,Stock Out Qty,Stock Out Amt,Wastage Qty,Wastage Amt,Resue Qty,Reuse Amt,Return Qty,Return Amt,Closing Qty,Closing Amt,Physical Qty,Physical Amt,Variance Qty,Variance Amt,Physical Gain/Loss Qty,Physical Gain/Loss Amt,Actual Consumption Qty,Actual Consumption Amt,Physical Adjusted Closing Qty,Physical Adjusted Closing Amt
ABNAH Cafe Hauz Khas,Main Store,Coffee Inputs,Raw Material,No,Coffee Beans,kg,1035.02,24.3104,25161.75,0,0,0,0,35.4206,36661.03,0.0,0.0,0,0,0.0,0.0,0,0,0,0,26.7298,27665.88,26.7778,27715.56,1.1978,1239.75,0.048,49.68,35.4206,36661.03,26.7778,27715.56
ABNAH Cafe Hauz Khas,Main Store,Dairy,Raw Material,No,Milk,litre,72.74,53.3042,3877.35,0,0,0,0,199.7493,14529.76,13.92,1012.54,0,0,6.7849,493.53,0,0,0,0,0.0,0.0,0.0,0.0,-85.9168,-6249.59,0.0,0.0,206.5342,15023.3,0.0,0.0
ABNAH Cafe Hauz Khas,Main Store,Dairy Alternative,Raw Material,No,Oat Milk,litre,188.7,5.4896,1035.89,0,0,0,0,11.3895,2149.2,0.0,0.0,0,0,0.0,0.0,0,0,0,0,33.6401,6347.89,33.6681,6353.17,0.4275,80.67,0.028,5.28,11.3895,2149.2,33.6681,6353.17
ABNAH Cafe Hauz Khas,Main Store,Dairy,Raw Material,No,Cream,litre,216.65,149.1045,32303.49,0,0,0,0,8.6305,1869.8,0.0,0.0,0,0,0.0,0.0,0,0,0,0,191.924,41580.33,191.964,41589.0,0.4885,105.83,0.04,8.67,8.6305,1869.8,191.964,41589.0
ABNAH Cafe Hauz Khas,Main Store,Dairy,Raw Material,No,Paneer,kg,380.57,179.9115,68468.92,0,0,0,0,8.2624,3144.42,0.0,0.0,0,0,0.0,0.0,0,0,0,0,308.9591,117580.56,308.9831,117589.7,0.4824,183.59,0.024,9.13,8.2624,3144.42,308.9831,117589.7
ABNAH Cafe Hauz Khas,Main Store,Dairy,Raw Material,No,Cheese,kg,497.73,34.5512,17197.17,0,0,0,0,6.7901,3379.64,0.0,0.0,0,0,0.0,0.0,0,0,0,0,81.5611,40595.41,81.5811,40605.36,0.3601,179.23,0.02,9.95,6.7901,3379.64,81.5811,40605.36
ABNAH Cafe Hauz Khas,Main Store,Protein,Raw Material,No,Chicken,kg,348.94,173.7972,60644.79,0,0,0,0,11.5291,4022.96,0.0,0.0,0,0,0.0,0.0,0,0,0,0,245.9981,85838.58,245.9141,85809.27,0.3791,132.28,-0.084,-29.31,11.5291,4022.96,245.9141,85809.27
ABNAH Cafe Hauz Khas,Main Store,Protein,Raw Material,No,Egg,pcs,7.29,1264.086,9215.19,0,0,0,0,31.05,226.35,0.0,0.0,0,0,0.0,0.0,0,0,0,0,2235.026,16293.34,2234.306,16288.09,1.05,7.65,-0.72,-5.25,31.05,226.35,2234.306,16288.09
ABNAH Cafe Hauz Khas,Main Store,Bakery,Raw Material,No,Bread,pcs,11.94,1227.2318,14653.15,0,0,0,0,219.816,2624.6,0.0,0.0,0,0,3.4591,41.3,0,0,0,0,2228.9567,26613.74,2229.8567,26624.49,10.2751,122.68,0.9,10.75,223.2751,2665.9,2229.8567,26624.49
ABNAH Cafe Hauz Khas,Main Store,Bakery,Raw Material,No,Bagel,pcs,29.05,796.096,23126.59,0,0,0,0,38.184,1109.25,0.0,0.0,0,0,0.0,0.0,0,0,0,0,957.912,27827.34,957.912,27827.34,1.184,34.4,0.0,0.0,38.184,1109.25,957.912,27827.34
