Deployment,Store/Kitchen,Category,Item Type,Is Asset,Item Name,Unit,Price,Opening Qty,Opening Amt,Purchase Qty,Purchase Amt,Production Qty,Production Amt,Consumption Qty,Consumption Amt,Stock In Qty,Stock In Amt,Stock Out Qty,Stock Out Amt,Wastage Qty,Wastage Amt,Resue Qty,Reuse Amt,Return Qty,Return Amt,Closing Qty,Closing Amt,Physical Qty,Physical Amt,Variance Qty,Variance Amt,Physical Gain/Loss Qty,Physical Gain/Loss Amt,Actual Consumption Qty,Actual Consumption Amt,Physical Adjusted Closing Qty,Physical Adjusted Closing Amt
ABNAH Cafe Saket Premium,Main Store,Coffee Inputs,Raw Material,No,Coffee Beans,kg,1004.16,1.3151,1320.57,0,0,0,0,16.4017,16469.93,3.48,3494.48,0,0,0.0,0.0,0,0,0,0,0.6834,686.24,0.6994,702.31,-24.3095,-24410.63,0.016,16.07,16.4017,16469.93,0.6994,702.31
ABNAH Cafe Saket Premium,Main Store,Dairy,Raw Material,No,Milk,litre,77.44,11.6812,904.59,0,0,0,0,305.87,23686.57,0.0,0.0,0,0,6.928,536.5,0,0,0,0,13.0332,1009.29,13.2732,1027.88,-38.519,-2982.91,0.24,18.59,312.798,24223.08,13.2732,1027.88
ABNAH Cafe Saket Premium,Main Store,Dairy Alternative,Raw Material,No,Oat Milk,litre,185.54,13.0396,2419.37,0,0,0,0,25.5389,4738.49,0.0,0.0,0,0,0.0,0.0,0,0,0,0,98.3807,18253.56,98.4647,18269.14,0.7439,138.02,0.084,15.59,25.5389,4738.49,98.4647,18269.14
ABNAH Cafe Saket Premium,Main Store,Dairy,Raw Material,No,Cream,litre,212.58,113.0626,24034.85,0,0,0,0,148.4526,31558.05,0.0,0.0,0,0,0.0,0.0,0,0,0,0,-2.0,-425.16,-2.0,-425.16,135.7572,28859.27,0.0,0.0,148.4526,31558.05,-2.0,-425.16
ABNAH Cafe Saket Premium,Main Store,Dairy,Raw Material,No,Paneer,kg,387.46,141.0207,54639.88,0,0,0,0,8.1297,3149.93,0.0,0.0,0,0,0.0,0.0,0,0,0,0,285.001,110426.49,285.001,110426.49,0.3797,147.12,0.0,0.0,8.1297,3149.93,285.001,110426.49
ABNAH Cafe Saket Premium,Main Store,Dairy,Raw Material,No,Cheese,kg,501.64,163.0699,81802.38,0,0,0,0,7.7561,3890.77,0.0,0.0,0,0,0.0,0.0,0,0,0,0,232.168,116464.76,232.208,116484.82,0.3411,171.11,0.04,20.07,7.7561,3890.77,232.208,116484.82
ABNAH Cafe Saket Premium,Main Store,Protein,Raw Material,No,Chicken,kg,352.76,166.856,58860.12,0,0,0,0,12.2965,4337.71,0.0,0.0,0,0,0.0,0.0,0,0,0,0,176.7095,62336.04,176.6535,62316.29,0.2765,97.54,-0.056,-19.75,12.2965,4337.71,176.6535,62316.29
ABNAH Cafe Saket Premium,Main Store,Protein,Raw Material,No,Egg,pcs,7.24,1294.176,9369.83,0,0,0,0,43.176,312.59,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1251.0,9057.24,1251.48,9060.72,1.176,8.51,0.48,3.48,43.176,312.59,1251.48,9060.72
ABNAH Cafe Saket Premium,Main Store,Bakery,Raw Material,No,Bread,pcs,12.55,1200.9345,15071.73,0,0,0,0,302.294,3793.79,0.0,0.0,0,0,3.6876,46.28,0,0,0,0,1828.4229,22946.71,1829.0229,22954.24,16.9816,213.12,0.6,7.53,305.9816,3840.07,1829.0229,22954.24
ABNAH Cafe Saket Premium,Main Store,Bakery,Raw Material,No,Bagel,pcs,28.7,299.937,8608.19,0,0,0,0,24.058,690.46,0.0,0.0,0,0,0.0,0.0,0,0,0,0,400.879,11505.23,401.239,11515.56,1.058,30.36,0.36,10.33,24.058,690.46,401.239,11515.56
ABNAH Cafe Saket Premium,Main Store,Bakery,Raw Material,No,Tortilla,pcs,14.9,694.896,10353.95,0,0,0,0,40.911,609.57,0.0,0.0,0,0,0.0,0.0,0,0,0,0,998.985,14884.88,998.785,14881.9,1.911,28.47,-0.2,-2.98,40.911,609.57,998.785,14881.9
ABNAH Cafe Saket Premium,Main Store,Bakery,Raw Material,No,Croissant Base,pcs,41.92,479.5623,20103.25,0,0,0,0,216.315,9067.92,0.0,0.0,0,0,2.6413,110.72,0,0,0,0,680.606,28531.0,680.476,28525.55,11.9563,501.21,-0.13,-5.45,218.9563,9178.65,680.476,28525.55
ABNAH Cafe Saket Premium,Main Store,Dessert Inputs,Raw Material,No,Brownie Base,pcs,35.6,342.058,12177.26,0,0,0,0,32.519,1157.68,0.0,0.0,0,0,0.0,0.0,0,0,0,0,503.659,17930.26,503.239,17915.31,1.519,54.08,-0.42,-14.95,32.519,1157.68,503.239,17915.31
ABNAH Cafe Saket Premium,Main Store,Dessert Inputs,Raw Material,No,Cake Base,pcs,48.67,302.3668,14716.19,0,0,0,0,275.9919,13432.53,0.0,0.0,0,0,3.3572,163.39,0,0,0,0,503.0177,24481.87,503.1177,24486.74,16.2491,790.84,0.1,4.87,279.3491,13595.92,503.1177,24486.74
ABNAH Cafe Saket Premium,Main Store,Dessert Inputs,Raw Material,No,Cheesecake Base,pcs,76.03,393.758,29937.42,0,0,0,0,38.628,2936.89,0.0,0.0,0,0,0.0,0.0,0,0,0,0,475.13,36124.13,475.06,36118.81,1.628,123.78,-0.07,-5.32,38.628,2936.89,475.06,36118.81
ABNAH Cafe Saket Premium,Main Store,Syrups & Sauces,Raw Material,No,Chocolate Sauce,litre,0.0,133.4469,0.0,0,0,0,0,19.531,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,113.9159,0.0,113.9399,0.0,0.4391,0.0,0.024,0.0,19.531,0.0,113.9399,0.0
ABNAH Cafe Saket Premium,Main Store,Syrups & Sauces,Raw Material,No,Caramel Syrup,litre,255.07,54.5311,13909.25,0,0,0,0,6.5828,1679.07,0.0,0.0,0,0,0.0,0.0,0,0,0,0,67.7383,17278.01,67.7383,17278.01,0.1543,39.36,0.0,0.0,6.5828,1679.07,67.7383,17278.01
ABNAH Cafe Saket Premium,Main Store,Syrups & Sauces,Raw Material,No,Vanilla Syrup,litre,0.0,123.2433,0.0,0,0,0,0,3.6345,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,144.7088,0.0,144.6488,0.0,0.0817,0.0,-0.06,-0.0,3.6345,0.0,144.6488,0.0
ABNAH Cafe Saket Premium,Main Store,Syrups & Sauces,Raw Material,No,Sugar Syrup,litre,96.21,57.0967,5493.27,0,0,0,0,40.998,3944.42,0.0,0.0,0,0,0.0,0.0,0,0,0,0,39.8887,3837.69,39.7807,3827.3,1.1554,111.16,-0.108,-10.39,40.998,3944.42,39.7807,3827.3
ABNAH Cafe Saket Premium,Main Store,Tea Inputs,Raw Material,No,Tea Leaves,kg,655.94,95.8115,62846.6,0,0,0,0,0.5861,384.45,0.0,0.0,0,0,0.0,0.0,0,0,0,0,109.2554,71664.99,109.2454,71658.43,0.0149,9.77,-0.01,-6.56,0.5861,384.45,109.2454,71658.43
ABNAH Cafe Saket Premium,Main Store,Tea Inputs,Raw Material,No,Matcha Powder,kg,2193.0,6.016,13193.09,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,6.016,13193.09,6.016,13193.09,0.0,0.0,0.0,0.0,0.0,0.0,6.016,13193.09
ABNAH Cafe Saket Premium,Main Store,Beverage Inputs,Raw Material,No,Ice,kg,12.85,946.8534,12167.07,0,0,0,0,127.4573,1637.83,0.0,0.0,0,0,1.5882,20.41,0,0,0,0,1165.9379,14982.3,1166.4179,14988.47,4.5755,58.8,0.48,6.17,129.0455,1658.23,1166.4179,14988.47
ABNAH Cafe Saket Premium,Main Store,Produce,Raw Material,No,Lemon,kg,116.6,47.4697,5534.97,0,0,0,0,5.2318,610.03,0.0,0.0,0,0,0.0,0.0,0,0,0,0,42.2379,4924.94,42.1979,4920.28,0.1474,17.19,-0.04,-4.66,5.2318,610.03,42.1979,4920.28
ABNAH Cafe Saket Premium,Main Store,Beverage Inputs,Raw Material,No,Hibiscus Concentrate,litre,404.52,37.6837,15243.81,0,0,0,0,1.6938,685.18,0.0,0.0,0,0,0.0,0.0,0,0,0,0,52.1499,21095.68,52.1259,21085.97,0.0445,18.0,-0.024,-9.71,1.6938,685.18,52.1259,21085.97
ABNAH Cafe Saket Premium,Main Store,Fruit Inputs,Raw Material,No,Mixed Berry Pulp,kg,447.05,12.908,5770.52,0,0,0,0,7.6797,3433.21,0.0,0.0,0,0,0.0,0.0,0,0,0,0,28.3783,12686.52,28.3783,12686.52,0.2237,100.01,0.0,0.0,7.6797,3433.21,28.3783,12686.52
ABNAH Cafe Saket Premium,Main Store,Produce,Raw Material,No,Banana,kg,76.37,246.0379,18789.91,0,0,0,0,6.6389,507.01,0.0,0.0,0,0,0.0,0.0,0,0,0,0,441.389,33708.88,441.317,33703.38,0.1429,10.91,-0.072,-5.5,6.6389,507.01,441.317,33703.38
ABNAH Cafe Saket Premium,Main Store,Dairy,Raw Material,No,Butter,kg,558.01,152.5439,85121.02,0,0,0,0,5.8173,3246.11,0.0,0.0,0,0,0.0,0.0,0,0,0,0,181.2966,101165.32,181.2966,101165.32,0.2823,157.53,0.0,0.0,5.8173,3246.11,181.2966,101165.32
