Deployment Name,StoreKitchen Name,Item Code,Item Name,Category Name,Super Category Name,Average Price,Opening Date,Opening Qty,Unit,Amt,Purchase Qty,Amt,Indent Receive Qty,Amt,Indent Dispatch Qty,Amt,InternalIndent Receive Qty,Amt,InternalIndent Dispatch Qty,Amt,Stock In Qty,Amt,Consumption Qty,Amt,Yield Wastage,Amt,Stock Out Qty,Amt,Total (Stock Out + Consumption Qty),Amt,Wastage Qty,Amt,Reuse Qty,Amt,Return Qty,Amt,Closing Date,Closing Qty,Amt,PhysicalGain/Loss Qty,Amt,Ideal Closing Qty,Amt,Physical Adjusted Closing Qty,Amt
ABNAH Cafe Hauz Khas,Main Store,ING001,Coffee Beans,Coffee Inputs,Raw Material,1005.92,2026-01-01,27.797,kg,27961.56,11.03,11095.3,0,0,0,0,0,0,0,0,0.0,0.0,31.9975,32186.93,0,0,0.0,0.0,31.9975,32186.93,0.0,0.0,0,0,0.0,0.0,2026-01-31,6.8295,6869.93,-0.016,-16.09,7.9414,7988.41,6.8135,6853.84
ABNAH Cafe Hauz Khas,Main Store,ING002,Milk,Dairy,Raw Material,71.95,2026-01-01,232.9479,litre,16760.6,0.0,0.0,0,0,0,0,0,0,0,0,12.0,863.4,229.9734,16546.59,0,0,0.0,0.0,229.9734,16546.59,5.1766,372.46,0,0,0.0,0.0,2026-01-31,9.7979,704.96,0.24,17.27,-19.0597,-1371.35,10.0379,722.23
ABNAH Cafe Hauz Khas,Main Store,ING003,Oat Milk,Dairy Alternative,Raw Material,185.0,2026-01-01,30.8,litre,5698.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,13.4245,2483.53,0,0,0.0,0.0,13.4245,2483.53,0.0,0.0,0,0,0.0,0.0,2026-01-31,17.3755,3214.47,-0.056,-10.36,17.867,3305.39,17.3195,3204.11
ABNAH Cafe Hauz Khas,Main Store,ING004,Cream,Dairy,Raw Material,215.36,2026-01-01,22.5,litre,4845.6,19.05,4102.61,0,0,0,0,0,0,0,0,0.0,0.0,7.8447,1689.43,0,0,0.0,0.0,7.8447,1689.43,0.0,0.0,0,0,0.0,0.0,2026-01-31,33.7053,7258.77,0.04,8.61,34.1213,7348.36,33.7453,7267.39
ABNAH Cafe Hauz Khas,Main Store,ING005,Paneer,Dairy,Raw Material,362.26,2026-01-01,26.4,kg,9563.66,71.33,25840.01,0,0,0,0,0,0,0,0,0.0,0.0,9.5547,3461.29,0,0,0.0,0.0,9.5547,3461.29,0.0,0.0,0,0,0.0,0.0,2026-01-31,88.1753,31942.38,-0.024,-8.69,88.75,32150.58,88.1513,31933.69
ABNAH Cafe Hauz Khas,Main Store,ING006,Cheese,Dairy,Raw Material,0.0,2026-01-01,22.0,kg,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,6.923,0.0,0,0,0.0,0.0,6.923,0.0,0.0,0.0,0,0,0.0,0.0,2026-01-31,15.077,0.0,-0.04,-0.0,15.475,0.0,15.037,0.0
ABNAH Cafe Hauz Khas,Main Store,ING007,Chicken,Protein,Raw Material,327.71,2026-01-01,33.75,kg,11060.21,160.31,52535.19,0,0,0,0,0,0,0,0,0.0,0.0,11.2998,3703.06,0,0,0.0,0.0,11.2998,3703.06,0.0,0.0,0,0,0.0,0.0,2026-01-31,182.7602,59892.35,-0.056,-18.35,183.1,60003.7,182.7042,59873.99
ABNAH Cafe Hauz Khas,Main Store,ING008,Egg,Protein,Raw Material,7.1,2026-01-01,300.0,pcs,2130.0,385.0,2733.5,0,0,0,0,0,0,0,0,0.0,0.0,26.988,191.61,0,0,0.0,0.0,26.988,191.61,0.0,0.0,0,0,0.0,0.0,2026-01-31,658.012,4671.89,-0.72,-5.11,659.0,4678.9,657.292,4666.77
ABNAH Cafe Hauz Khas,Main Store,ING009,Bread,Bakery,Raw Material,11.84,2026-01-01,337.5,pcs,3996.0,1080.0,12787.2,0,0,0,0,0,0,0,0,0.0,0.0,252.052,2984.3,0,0,0.0,0.0,252.052,2984.3,3.416,40.45,0,0,0.0,0.0,2026-01-31,1162.032,13758.46,0.0,0.0,1170.084,13853.79,1162.032,13758.46
ABNAH Cafe Hauz Khas,Main Store,ING010,Bagel,Bakery,Raw Material,27.8,2026-01-01,135.0,pcs,3753.0,570.0,15846.0,0,0,0,0,0,0,0,0,0.0,0.0,22.704,631.17,0,0,0.0,0.0,22.704,631.17,0.0,0.0,0,0,6.0,166.8,2026-01-31,676.296,18801.03,-0.24,-6.67,677.0,18820.6,676.056,18794.36
ABNAH Cafe Hauz Khas,Main Store,ING011,Tortilla,Bakery,Raw Material,15.47,2026-01-01,225.0,pcs,3480.75,1330.0,20575.1,0,0,0,0,0,0,0,0,0.0,0.0,63.135,976.7,0,0,0.0,0.0,63.135,976.7,0.0,0.0,0,0,0.0,0.0,2026-01-31,1491.865,23079.15,0.2,3.09,1494.0,23112.18,1492.065,23082.25
ABNAH Cafe Hauz Khas,Main Store,ING012,Croissant Base,Bakery,Raw Material,42.5,2026-01-01,150.0,pcs,6375.0,600.0,25500.0,0,0,0,0,0,0,0,0,0.0,0.0,160.836,6835.53,0,0,0.0,0.0,160.836,6835.53,2.184,92.82,0,0,0.0,0.0,2026-01-31,586.98,24946.65,0.13,5.53,591.816,25152.18,587.11,24952.17
