Deployment,Date,Generation Date,Generation Time,Item Code,Item Name,Super Category Code,Super Category Name,Category Code,Category Name,Unit Name,Average Price,GK2 Main Store,Total Qty,Total Amt
ABNAH Cafe Saket Premium,2026-02-28,2026-02-28,23:59:00,ING001,Coffee Beans,SUP-RAW,Raw Material,CAT-COF,Coffee Inputs,kg,978.23,1.2671,1.2671,1239.52
ABNAH Cafe Saket Premium,2026-02-28,2026-02-28,23:59:00,ING002,Milk,SUP-RAW,Raw Material,CAT-DAI,Dairy,litre,74.71,11.4412,11.4412,854.77
ABNAH Cafe Saket Premium,2026-02-28,2026-02-28,23:59:00,ING003,Oat Milk,SUP-RAW,Raw Material,CAT-DAI,Dairy Alternative,litre,184.38,13.0396,13.0396,2404.24
ABNAH Cafe Saket Premium,2026-02-28,2026-02-28,23:59:00,ING004,Cream,SUP-RAW,Raw Material,CAT-DAI,Dairy,litre,213.05,113.1226,113.1226,24100.77
ABNAH Cafe Saket Premium,2026-02-28,2026-02-28,23:59:00,ING005,Paneer,SUP-RAW,Raw Material,CAT-DAI,Dairy,kg,364.23,141.0207,141.0207,51363.97
ABNAH Cafe Saket Premium,2026-02-28,2026-02-28,23:59:00,ING006,Cheese,SUP-RAW,Raw Material,CAT-DAI,Dairy,kg,499.81,163.0699,163.0699,81503.97
ABNAH Cafe Saket Premium,2026-02-28,2026-02-28,23:59:00,ING007,Chicken,SUP-RAW,Raw Material,CAT-PRO,Protein,kg,348.37,166.856,166.856,58127.62
ABNAH Cafe Saket Premium,2026-02-28,2026-02-28,23:59:00,ING008,Egg,SUP-RAW,Raw Material,CAT-PRO,Protein,pcs,7.08,1294.896,1294.896,9167.86
ABNAH Cafe Saket Premium,2026-02-28,2026-02-28,23:59:00,ING009,Bread,SUP-RAW,Raw Material,CAT-BAK,Bakery,pcs,12.39,1201.2345,1201.2345,14883.3
ABNAH Cafe Saket Premium,2026-02-28,2026-02-28,23:59:00,ING010,Bagel,SUP-RAW,Raw Material,CAT-BAK,Bakery,pcs,29.11,299.697,299.697,8724.18
