Deployment,Date,Generation Date,Generation Time,Item Code,Item Name,Super Category Code,Super Category Name,Category Code,Category Name,Unit Name,Average Price,GK2 Main Store,Total Qty,Total Amt
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING001,Coffee Beans,SUP-RAW,Raw Material,CAT-COF,Coffee Inputs,kg,991.65,24.2624,24.2624,24059.81
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING002,Milk,SUP-RAW,Raw Material,CAT-DAI,Dairy,litre,72.65,53.5442,53.5442,3889.99
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING003,Oat Milk,SUP-RAW,Raw Material,CAT-DAI,Dairy Alternative,litre,191.98,5.4056,5.4056,1037.77
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING004,Cream,SUP-RAW,Raw Material,CAT-DAI,Dairy,litre,211.15,149.1045,149.1045,31483.42
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING005,Paneer,SUP-RAW,Raw Material,CAT-DAI,Dairy,kg,359.23,179.9835,179.9835,64655.47
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING006,Cheese,SUP-RAW,Raw Material,CAT-DAI,Dairy,kg,473.08,34.5912,34.5912,16364.4
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING007,Chicken,SUP-RAW,Raw Material,CAT-PRO,Protein,kg,333.3,173.8532,173.8532,57945.27
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING008,Egg,SUP-RAW,Raw Material,CAT-PRO,Protein,pcs,7.05,1264.566,1264.566,8915.19
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING009,Bread,SUP-RAW,Raw Material,CAT-BAK,Bakery,pcs,11.83,1227.8318,1227.8318,14525.25
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING010,Bagel,SUP-RAW,Raw Material,CAT-BAK,Bakery,pcs,27.75,796.216,796.216,22094.99
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING011,Tortilla,SUP-RAW,Raw Material,CAT-BAK,Bakery,pcs,15.71,1864.076,1864.076,29284.63
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING012,Croissant Base,SUP-RAW,Raw Material,CAT-BAK,Bakery,pcs,42.46,563.5419,563.5419,23927.99
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING013,Brownie Base,SUP-RAW,Raw Material,CAT-DES,Dessert Inputs,pcs,34.34,158.303,158.303,5436.13
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING014,Cake Base,SUP-RAW,Raw Material,CAT-DES,Dessert Inputs,pcs,44.98,205.6014,205.6014,9247.95
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING015,Cheesecake Base,SUP-RAW,Raw Material,CAT-DES,Dessert Inputs,pcs,71.9,464.609,464.609,33405.39
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING016,Chocolate Sauce,SUP-RAW,Raw Material,CAT-SYR,Syrups & Sauces,litre,272.21,81.047,81.047,22061.8
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING017,Caramel Syrup,SUP-RAW,Raw Material,CAT-SYR,Syrups & Sauces,litre,249.14,51.3195,51.3195,12785.74
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING018,Vanilla Syrup,SUP-RAW,Raw Material,CAT-SYR,Syrups & Sauces,litre,248.65,166.5205,166.5205,41405.32
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING019,Sugar Syrup,SUP-RAW,Raw Material,CAT-SYR,Syrups & Sauces,litre,88.82,182.2051,182.2051,16183.46
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING020,Tea Leaves,SUP-RAW,Raw Material,CAT-TEA,Tea Inputs,kg,626.2,12.0615,12.0615,7552.91
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING021,Matcha Powder,SUP-RAW,Raw Material,CAT-TEA,Tea Inputs,kg,2134.18,33.178,33.178,70807.82
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING022,Ice,SUP-RAW,Raw Material,CAT-BEV,Beverage Inputs,kg,12.03,1130.2915,1130.2915,13597.41
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING023,Lemon,SUP-RAW,Raw Material,CAT-PRO,Produce,kg,106.18,67.6924,67.6924,7187.58
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING024,Hibiscus Concentrate,SUP-RAW,Raw Material,CAT-BEV,Beverage Inputs,litre,400.82,71.0418,71.0418,28474.97
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING025,Mixed Berry Pulp,SUP-RAW,Raw Material,CAT-FRU,Fruit Inputs,kg,433.1,163.0437,163.0437,70614.23
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING026,Banana,SUP-RAW,Raw Material,CAT-PRO,Produce,kg,70.56,178.7575,178.7575,12613.13
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING027,Butter,SUP-RAW,Raw Material,CAT-DAI,Dairy,kg,530.4,45.7045,45.7045,24241.67
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING028,Lettuce,SUP-RAW,Raw Material,CAT-PRO,Produce,kg,94.09,41.6242,41.6242,3916.42
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING029,Onion,SUP-RAW,Raw Material,CAT-PRO,Produce,kg,41.16,42.5949,42.5949,1753.21
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING030,Capsicum,SUP-RAW,Raw Material,CAT-PRO,Produce,kg,83.47,207.788,207.788,17344.06
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING031,Tomato,SUP-RAW,Raw Material,CAT-PRO,Produce,kg,52.92,39.3019,39.3019,2079.86
ABNAH Cafe Hauz Khas,2026-02-28,2026-02-28,23:59:00,ING032,Pesto Sauce,SUP-RAW,Raw Material,CAT-SYR,Syrups & Sauces,kg,343.4,16.1109,16.1109,5532.48
