row_id,deployment,date,generation_date,generation_time,item_code,item_name,super_category_code,super_category_name,category_code,category_name,unit_name,average_price,store_stock_qty,total_qty,total_amt
INV_20260301_OUT003_ING001,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING001,Coffee Beans,SUP001,Raw Material,CAT001,Coffee Inputs,kg,1004.21,8.8485,8.8485,8885.75
INV_20260301_OUT003_ING002,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING002,Milk,SUP001,Raw Material,CAT002,Dairy,litre,73.86,51.6656,51.6656,3816.02
INV_20260301_OUT003_ING003,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING003,Oat Milk,SUP001,Raw Material,CAT003,Dairy Alternative,litre,181.28,35.5594,35.5594,6446.21
INV_20260301_OUT003_ING004,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING004,Cream,SUP001,Raw Material,CAT002,Dairy,litre,210.06,141.0811,141.0811,29635.5
INV_20260301_OUT003_ING005,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING005,Paneer,SUP001,Raw Material,CAT002,Dairy,kg,351.4,168.8185,168.8185,59322.82
INV_20260301_OUT003_ING006,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING006,Cheese,SUP001,Raw Material,CAT002,Dairy,kg,497.28,175.7897,175.7897,87416.7
INV_20260301_OUT003_ING007,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING007,Chicken,SUP001,Raw Material,CAT004,Protein,kg,323.66,175.4366,175.4366,56781.81
INV_20260301_OUT003_ING008,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING008,Egg,SUP001,Raw Material,CAT004,Protein,pcs,7.12,1592.5093,1592.5093,11338.67
INV_20260301_OUT003_ING009,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING009,Bread,,Raw Material,CAT005,Bakery,pcs,11.76,1814.558,1814.558,21339.2
INV_20260301_OUT003_ING010,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING010,Bagel,SUP001,Raw Material,CAT005,Bakery,pcs,27.54,560.2962,560.2962,15430.56
INV_20260301_OUT003_ING011,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING011,Tortilla,,Raw Material,CAT005,Bakery,pcs,14.6,865.5146,865.5146,12636.51
INV_20260301_OUT003_ING012,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING012,Croissant Base,SUP001,Raw Material,CAT005,Bakery,pcs,42.43,775.8127,775.8127,32917.73
INV_20260301_OUT003_ING013,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING013,Brownie Base,SUP001,Raw Material,CAT006,Dessert Inputs,pcs,34.09,718.0052,718.0052,24476.8
INV_20260301_OUT003_ING014,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING014,Cake Base,SUP001,Raw Material,CAT006,Dessert Inputs,pcs,47.1,615.3356,615.3356,28982.31
INV_20260301_OUT003_ING015,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING015,Cheesecake Base,SUP001,Raw Material,CAT006,Dessert Inputs,pcs,70.61,450.1957,450.1957,31788.32
INV_20260301_OUT003_ING016,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING016,Chocolate Sauce,SUP001,Raw Material,CAT007,Syrups & Sauces,litre,258.6,156.8431,156.8431,40559.63
INV_20260301_OUT003_ING017,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING017,Caramel Syrup,SUP001,Raw Material,CAT007,Syrups & Sauces,litre,244.71,61.3607,61.3607,15015.58
INV_20260301_OUT003_ING018,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING018,Vanilla Syrup,SUP001,Raw Material,CAT007,Syrups & Sauces,litre,247.63,126.5489,126.5489,31337.3
INV_20260301_OUT003_ING019,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING019,Sugar Syrup,SUP001,Raw Material,,Syrups & Sauces,litre,91.82,64.3775,64.3775,5911.14
INV_20260301_OUT003_ING020,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING020,Tea Leaves,SUP001,Raw Material,CAT008,Tea Inputs,kg,631.33,103.4294,103.4294,65298.08
INV_20260301_OUT003_ING021,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING021,Matcha Powder,SUP001,Raw Material,CAT008,Tea Inputs,kg,2193.95,13.2043,13.2043,28969.57
INV_20260301_OUT003_ING022,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING022,Ice,SUP001,Raw Material,CAT009,Beverage Inputs,kg,12.17,1291.9383,1291.9383,15722.89
INV_20260301_OUT003_ING023,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING023,Lemon,SUP001,Raw Material,CAT010,Produce,kg,113.63,62.2408,62.2408,7072.42
INV_20260301_OUT003_ING024,ABNAH Cafe Saket Premium,2026-03-01,2026-03-01,23:55:00,ING024,Hibiscus Concentrate,SUP001,Raw Material,CAT009,Beverage Inputs,litre,398.3,48.5416,48.5416,19334.12
