row_id,deployment,date,generation_date,generation_time,item_code,item_name,super_category_code,super_category_name,category_code,category_name,unit_name,average_price,store_stock_qty,total_qty,total_amt
INV_20260301_OUT001_ING001,ABNAH Cafe Connaught Place,2026-03-01,2026-03-01,23:55:00,ING001,Coffee Beans,SUP001,Raw Material,CAT001,Coffee Inputs,kg,962.95,8.0338,8.0338,7736.15
INV_20260301_OUT001_ING002,ABNAH Cafe Connaught Place,2026-03-01,2026-03-01,23:55:00,ING002,Milk,,Raw Material,CAT002,Dairy,litre,73.23,285.1502,285.1502,20881.55
INV_20260301_OUT001_ING003,ABNAH Cafe Connaught Place,2026-03-01,2026-03-01,23:55:00,ING003,Oat Milk,SUP001,Raw Material,CAT003,Dairy Alternative,litre,186.84,96.7944,96.7944,18085.07
INV_20260301_OUT001_ING004,ABNAH Cafe Connaught Place,2026-03-01,2026-03-01,23:55:00,ING004,Cream,SUP001,Raw Material,CAT002,Dairy,litre,212.55,174.2565,174.2565,37038.22
INV_20260301_OUT001_ING005,ABNAH Cafe Connaught Place,2026-03-01,2026-03-01,23:55:00,ING005,Paneer,SUP001,Raw Material,CAT002,Dairy,kg,357.87,101.3431,101.3431,36267.66
INV_20260301_OUT001_ING006,ABNAH Cafe Connaught Place,2026-03-01,2026-03-01,23:55:00,ING006,Cheese,SUP001,Raw Material,CAT002,Dairy,kg,498.88,54.2103,54.2103,27044.43
INV_20260301_OUT001_ING007,ABNAH Cafe Connaught Place,2026-03-01,2026-03-01,23:55:00,ING007,Chicken,,Raw Material,CAT004,Protein,kg,321.65,213.0765,213.0765,68536.06
INV_20260301_OUT001_ING008,ABNAH Cafe Connaught Place,2026-03-01,2026-03-01,23:55:00,ING008,Egg,SUP001,Raw Material,CAT004,Protein,pcs,6.81,1379.378,1379.378,9393.56
INV_20260301_OUT001_ING009,ABNAH Cafe Connaught Place,2026-03-01,2026-03-01,23:55:00,ING009,Bread,SUP001,Raw Material,CAT005,Bakery,pcs,12.15,1326.583,1326.583,16117.98
INV_20260301_OUT001_ING010,ABNAH Cafe Connaught Place,2026-03-01,2026-03-01,23:55:00,ING010,Bagel,SUP001,Raw Material,CAT005,Bakery,pcs,28.03,1366.5052,1366.5052,38303.14
INV_20260301_OUT001_ING011,ABNAH Cafe Connaught Place,2026-03-01,2026-03-01,23:55:00,ING011,Tortilla,SUP001,Raw Material,CAT005,Bakery,pcs,15.14,2015.0081,2015.0081,30507.22
INV_20260301_OUT001_ING012,ABNAH Cafe Connaught Place,2026-03-01,2026-03-01,23:55:00,ING012,Croissant Base,SUP001,Raw Material,CAT005,Bakery,pcs,43.04,569.3154,569.3154,24503.33
INV_20260301_OUT001_ING013,ABNAH Cafe Connaught Place,2026-03-01,2026-03-01,23:55:00,ING013,Brownie Base,,Raw Material,CAT006,Dessert Inputs,pcs,35.25,1616.5809,1616.5809,56984.48
