Type,Item Code,Item Name,Parent Item Quantity,Parent Price Per Unit,Parent Subtotal,Consumed Quantity,Unit,Price Per Unit,Subtotal,Consumption Source
Menu Item,MENU0001,Espresso Shot - Solo,,,,0.048,kg,980.0,47.04,Recipe:ING001
Menu Item,MENU0001,Espresso Shot - Solo,,,,5.0,pcs,2.8,14.0,Recipe:ING037
Menu Item,MENU0001,Espresso Shot - Solo,,,,5.0,pcs,1.1,5.5,Recipe:ING038
Menu Item,MENU0001,Espresso Shot - Solo,,,,5.0,pcs,0.32,1.6,Recipe:ING040
Menu Item,MENU0002,Espresso Shot - Doppio,,,,0.0522,kg,980.0,51.16,Recipe:ING001
Menu Item,MENU0002,Espresso Shot - Doppio,,,,3.0,pcs,2.8,8.4,Recipe:ING037
Menu Item,MENU0002,Espresso Shot - Doppio,,,,3.0,pcs,1.1,3.3,Recipe:ING038
Menu Item,MENU0002,Espresso Shot - Doppio,,,,3.0,pcs,0.32,0.96,Recipe:ING040
Menu Item,MENU0003,Americano - Regular,,,,1.062,kg,980.0,1040.76,Recipe:ING001
Menu Item,MENU0003,Americano - Regular,,,,59.0,pcs,2.8,165.2,Recipe:ING037
Menu Item,MENU0003,Americano - Regular,,,,59.0,pcs,1.1,64.9,Recipe:ING038
Menu Item,MENU0003,Americano - Regular,,,,59.0,pcs,0.32,18.88,Recipe:ING040
Menu Item,MENU0003,Americano - Regular,,,,0.885,litre,90.0,79.65,Recipe:ING019
Menu Item,MENU0004,Americano - Medium,,,,0.9522,kg,980.0,933.16,Recipe:ING001
Menu Item,MENU0004,Americano - Medium,,,,46.0,pcs,2.8,128.8,Recipe:ING037
Menu Item,MENU0004,Americano - Medium,,,,46.0,pcs,1.1,50.6,Recipe:ING038
Menu Item,MENU0004,Americano - Medium,,,,46.0,pcs,0.32,14.72,Recipe:ING040
Menu Item,MENU0004,Americano - Medium,,,,0.7912,litre,90.0,71.21,Recipe:ING019
Menu Item,MENU0005,Americano - Large,,,,0.6318,kg,980.0,619.16,Recipe:ING001
Menu Item,MENU0005,Americano - Large,,,,27.0,pcs,2.8,75.6,Recipe:ING037
Menu Item,MENU0005,Americano - Large,,,,27.0,pcs,1.1,29.7,Recipe:ING038
Menu Item,MENU0005,Americano - Large,,,,27.0,pcs,0.32,8.64,Recipe:ING040
Menu Item,MENU0005,Americano - Large,,,,0.5265,litre,90.0,47.38,Recipe:ING019
Menu Item,MENU0006,Latte - Regular,,,,1.134,kg,980.0,1111.32,Recipe:ING001
Menu Item,MENU0006,Latte - Regular,,,,63.0,pcs,2.8,176.4,Recipe:ING037
Menu Item,MENU0006,Latte - Regular,,,,63.0,pcs,1.1,69.3,Recipe:ING038
Menu Item,MENU0006,Latte - Regular,,,,11.34,litre,72.0,816.48,Recipe:ING002
Menu Item,MENU0006,Latte - Regular,,,,63.0,pcs,0.32,20.16,Recipe:ING040
Menu Item,MENU0006,Latte - Regular,,,,0.945,litre,90.0,85.05,Recipe:ING019
Menu Item,MENU0007,Latte - Medium,,,,1.2006,kg,980.0,1176.59,Recipe:ING001
Menu Item,MENU0007,Latte - Medium,,,,58.0,pcs,2.8,162.4,Recipe:ING037
Menu Item,MENU0007,Latte - Medium,,,,58.0,pcs,1.1,63.8,Recipe:ING038
Menu Item,MENU0007,Latte - Medium,,,,12.006,litre,72.0,864.43,Recipe:ING002
Menu Item,MENU0007,Latte - Medium,,,,58.0,pcs,0.32,18.56,Recipe:ING040
Menu Item,MENU0007,Latte - Medium,,,,0.9976,litre,90.0,89.78,Recipe:ING019
Menu Item,MENU0008,Latte - Large,,,,0.8892,kg,980.0,871.42,Recipe:ING001
Menu Item,MENU0008,Latte - Large,,,,38.0,pcs,2.8,106.4,Recipe:ING037
Menu Item,MENU0008,Latte - Large,,,,38.0,pcs,1.1,41.8,Recipe:ING038
