Type,Item Code,Item Name,Parent Item Quantity,Parent Price Per Unit,Parent Subtotal,Consumed Quantity,Unit,Price Per Unit,Subtotal,Consumption Source
Menu Item,MENU0001,Espresso Shot - Solo,,,,0.048,kg,980.0,47.04,Recipe:ING001
Menu Item,MENU0001,Espresso Shot - Solo,,,,5.0,pcs,2.8,14.0,Recipe:ING037
Menu Item,MENU0001,Espresso Shot - Solo,,,,5.0,pcs,1.1,5.5,Recipe:ING038
Menu Item,MENU0001,Espresso Shot - Solo,,,,5.0,pcs,0.32,1.6,Recipe:ING040
Menu Item,MENU0002,Espresso Shot - Doppio,,,,0.0696,kg,980.0,68.21,Recipe:ING001
Menu Item,MENU0002,Espresso Shot - Doppio,,,,4.0,pcs,2.8,11.2,Recipe:ING037
Menu Item,MENU0002,Espresso Shot - Doppio,,,,4.0,pcs,1.1,4.4,Recipe:ING038
Menu Item,MENU0002,Espresso Shot - Doppio,,,,4.0,pcs,0.32,1.28,Recipe:ING040
Menu Item,MENU0003,Americano - Regular,,,,1.242,kg,980.0,1217.16,Recipe:ING001
Menu Item,MENU0003,Americano - Regular,,,,69.0,pcs,2.8,193.2,Recipe:ING037
Menu Item,MENU0003,Americano - Regular,,,,69.0,pcs,1.1,75.9,Recipe:ING038
Menu Item,MENU0003,Americano - Regular,,,,69.0,pcs,0.32,22.08,Recipe:ING040
Menu Item,MENU0003,Americano - Regular,,,,1.035,litre,90.0,93.15,Recipe:ING019
Menu Item,MENU0004,Americano - Medium,,,,1.4283,kg,980.0,1399.73,Recipe:ING001
Menu Item,MENU0004,Americano - Medium,,,,69.0,pcs,2.8,193.2,Recipe:ING037
Menu Item,MENU0004,Americano - Medium,,,,69.0,pcs,1.1,75.9,Recipe:ING038
Menu Item,MENU0004,Americano - Medium,,,,69.0,pcs,0.32,22.08,Recipe:ING040
Menu Item,MENU0004,Americano - Medium,,,,1.1868,litre,90.0,106.81,Recipe:ING019
Menu Item,MENU0005,Americano - Large,,,,1.2402,kg,980.0,1215.4,Recipe:ING001
Menu Item,MENU0005,Americano - Large,,,,53.0,pcs,2.8,148.4,Recipe:ING037
Menu Item,MENU0005,Americano - Large,,,,53.0,pcs,1.1,58.3,Recipe:ING038
Menu Item,MENU0005,Americano - Large,,,,53.0,pcs,0.32,16.96,Recipe:ING040
Menu Item,MENU0005,Americano - Large,,,,1.0335,litre,90.0,93.02,Recipe:ING019
Menu Item,MENU0006,Latte - Regular,,,,1.062,kg,980.0,1040.76,Recipe:ING001
Menu Item,MENU0006,Latte - Regular,,,,59.0,pcs,2.8,165.2,Recipe:ING037
Menu Item,MENU0006,Latte - Regular,,,,59.0,pcs,1.1,64.9,Recipe:ING038
Menu Item,MENU0006,Latte - Regular,,,,10.62,litre,72.0,764.64,Recipe:ING002
Menu Item,MENU0006,Latte - Regular,,,,59.0,pcs,0.32,18.88,Recipe:ING040
Menu Item,MENU0006,Latte - Regular,,,,0.885,litre,90.0,79.65,Recipe:ING019
Menu Item,MENU0007,Latte - Medium,,,,1.4904,kg,980.0,1460.59,Recipe:ING001
Menu Item,MENU0007,Latte - Medium,,,,72.0,pcs,2.8,201.6,Recipe:ING037
Menu Item,MENU0007,Latte - Medium,,,,72.0,pcs,1.1,79.2,Recipe:ING038
Menu Item,MENU0007,Latte - Medium,,,,14.904,litre,72.0,1073.09,Recipe:ING002
Menu Item,MENU0007,Latte - Medium,,,,72.0,pcs,0.32,23.04,Recipe:ING040
Menu Item,MENU0007,Latte - Medium,,,,1.2384,litre,90.0,111.46,Recipe:ING019
Menu Item,MENU0008,Latte - Large,,,,1.0764,kg,980.0,1054.87,Recipe:ING001
Menu Item,MENU0008,Latte - Large,,,,46.0,pcs,2.8,128.8,Recipe:ING037
Menu Item,MENU0008,Latte - Large,,,,46.0,pcs,1.1,50.6,Recipe:ING038
