outlet_code,outlet_name,market_area,item_number,item_name,super_category,category,total_qty,total_net_sale,avg_realized_unit_price,selling_days,sales_rank_in_outlet
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0010,Cappuccino - Medium,Beverage,Coffee Classics,73,17849.06,245.04835897435896,26,1.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0013,Flat White - Medium,Beverage,Coffee Classics,64,16380.29,255.42354022988508,29,2.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0007,Latte - Medium,Beverage,Coffee Classics,64,15752.06,245.56303571428572,28,3.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0015,Mocha - Regular,Beverage,Coffee Classics,65,15631.91,241.07690873015872,30,4.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0016,Mocha - Medium,Beverage,Coffee Classics,59,15483.27,263.28403209109734,23,5.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0003,Americano - Regular,Beverage,Coffee Classics,85,15475.94,182.13695977011494,29,6.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0006,Latte - Regular,Beverage,Coffee Classics,65,14417.57,221.76160897435895,26,7.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0009,Cappuccino - Regular,Beverage,Coffee Classics,65,14314.77,221.59648214285716,28,8.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0004,Americano - Medium,Beverage,Coffee Classics,69,14117.43,204.95005952380953,28,9.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0012,Flat White - Regular,Beverage,Coffee Classics,59,13679.63,231.11051785714287,28,10.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0005,Americano - Large,Beverage,Coffee Classics,55,12683.01,230.18703333333332,25,11.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0008,Latte - Large,Beverage,Coffee Classics,45,12136.029999999999,269.18998611111107,24,12.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0011,Cappuccino - Large,Beverage,Coffee Classics,41,11031.85,268.7212878787879,22,13.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0014,Flat White - Large,Beverage,Coffee Classics,38,10529.14,277.5432575757576,22,14.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0030,Vegan Iced Latte - Regular,Beverage,Signature Coffee,35,9782.45,278.98412280701757,19,15.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0018,Sea Salt Mocha - Regular,Beverage,Signature Coffee,35,9522.92,271.2289215686274,17,16.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0028,French Vanilla Latte - Medium,Beverage,Signature Coffee,33,9485.210000000001,287.592,20,17.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0082,Tandoori Chicken Sandwich,Food,Sandwiches,28,8751.4,312.63564814814816,18,18.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0027,French Vanilla Latte - Regular,Beverage,Signature Coffee,32,8306.85,259.8253431372549,17,19.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0029,French Vanilla Latte - Large,Beverage,Signature Coffee,26,8249.7,317.1117857142857,14,20.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0024,Caramel Macchiato - Regular,Beverage,Signature Coffee,31,8170.57,263.1622619047619,21,21.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0017,Mocha - Large,Beverage,Coffee Classics,28,8007.67,286.87018518518516,18,22.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0044,Classic Cold Coffee - Large,Beverage,Cold Coffee,25,7978.91,319.67583333333334,15,23.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0081,Pepper Chicken Sandwich,Food,Sandwiches,25,7765.09,309.91588235294114,17,24.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0048,Caramel Cold Coffee - Regular,Beverage,Cold Coffee,27,7627.66,283.1715625,16,25.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0032,Vegan Iced Latte - Large,Beverage,Signature Coffee,23,7595.37,327.4095,15,26.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0025,Caramel Macchiato - Medium,Beverage,Signature Coffee,26,7459.96,287.342625,20,27.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0079,Smoked Chipotle Paneer Sandwich,Food,Sandwiches,26,7456.87,286.90343137254905,17,28.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0072,Mixed Berry Shake - Medium,Beverage,Shake,21,7168.24,342.94755555555554,15,29.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0045,Mocha Cold Coffee - Regular,Beverage,Cold Coffee,25,6958.79,277.5863725490196,17,30.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0042,Classic Cold Coffee - Regular,Beverage,Cold Coffee,28,6937.07,247.88539473684213,19,31.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0040,Vietnamese Shakerato - Medium,Beverage,Cold Brew,24,6689.96,278.7392857142857,21,32.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0080,Pesto Veg Sandwich,Food,Sandwiches,24,6535.45,272.065,18,33.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0022,Orange Zest Mocha - Medium,Beverage,Signature Coffee,22,6492.73,293.86508771929823,19,34.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0031,Vegan Iced Latte - Medium,Beverage,Signature Coffee,21,6429.9,306.79894736842107,19,35.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0051,Masala Chai Latte - Regular,Beverage,Tea,33,6285.12,190.41214912280702,19,36.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0043,Classic Cold Coffee - Medium,Beverage,Cold Coffee,22,6229.56,283.4754444444444,15,37.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0049,Caramel Cold Coffee - Medium,Beverage,Cold Coffee,20,6229.12,311.6822222222222,12,38.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0019,Sea Salt Mocha - Medium,Beverage,Signature Coffee,20,5961.57,297.88757575757575,11,39.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0103,Banoffee Pie,Dessert,Desserts,21,5851.43,279.5111111111111,15,40.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0046,Mocha Cold Coffee - Medium,Beverage,Cold Coffee,18,5682.29,314.52653846153845,13,41.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0086,Breakfast Pancakes,Food,Breakfast,20,5613.98,280.66583333333335,16,42.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0023,Orange Zest Mocha - Large,Beverage,Signature Coffee,17,5514.85,323.36535714285714,14,43.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0102,Double Chocolate Truffle Cake,Dessert,Desserts,19,5494.87,289.7786666666667,15,44.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0056,Japanese Matcha Latte - Medium,Beverage,Tea,19,5460.43,287.4865972222222,12,45.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0055,Japanese Matcha Latte - Regular,Beverage,Tea,21,5399.360000000001,258.14464285714286,14,46.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0057,Japanese Matcha Latte - Large,Beverage,Tea,17,5367.75,316.7142,10,47.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0021,Orange Zest Mocha - Regular,Beverage,Signature Coffee,20,5254.54,263.5798717948718,13,48.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0053,Masala Chai Latte - Large,Beverage,Tea,22,5236.45,237.84083333333334,16,49.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0047,Mocha Cold Coffee - Large,Beverage,Cold Coffee,15,5197.79,346.38045454545454,11,50.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0069,Choco Chip Shake - Medium,Beverage,Shake,16,5146.48,321.8911538461538,13,51.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0036,Coffee Lemonade - Regular,Beverage,Cold Brew,22,5041.42,228.68566666666666,15,52.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0050,Caramel Cold Coffee - Large,Beverage,Cold Coffee,14,4838.38,347.3818181818182,11,53.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0110,Multigrain Walnut Tea Cake,Dessert,Baked Goods,22,4835.36,220.36888888888888,18,54.0
OUT001,ABNAH Cafe Connaught Place,Connaught Place,MENU0039,Vietnamese Shakerato - Regular,Beverage,Cold Brew,19,4758.04,249.383125,16,55.0
