outlet_code,outlet_name,market_area,vendor_name,po_raised_value,receipt_booked_value,po_line_count,receipt_line_count,open_or_partial_status_count,pending_or_partial_flag_count,remaining_value_est,po_vs_receipt_gap,receipt_coverage_pct
OUT001,ABNAH Cafe Connaught Place,Connaught Place,FreshDairy Foods NCR,120109.31,81631.87,14,11,6,6,22025.147593444897,38477.44,67.9646482025415
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Delhi Bakery Supply Co,101440.44,75249.15,16,13,5,5,26290.633865400458,26191.290000000008,74.1806226392551
OUT001,ABNAH Cafe Connaught Place,Connaught Place,PackPro Disposables,65115.88,44291.31,16,12,2,2,6104.051842,20824.57,68.01921436061372
OUT001,ABNAH Cafe Connaught Place,Connaught Place,NorthStar Poultry,63969.22,52439.86,6,5,2,2,11130.11094705574,11529.36,81.97670692248553
OUT001,ABNAH Cafe Connaught Place,Connaught Place,SweetBase Foods,45993.55,41892.95,5,5,1,1,2217.0029477216535,4100.600000000006,91.08440205202685
OUT001,ABNAH Cafe Connaught Place,Connaught Place,ChocoCraft Ingredients,34596.82,26228.329999999998,4,3,0,0,0.0,8368.490000000002,75.81138960170327
OUT001,ABNAH Cafe Connaught Place,Connaught Place,GreenLeaf Produce Delhi,33525.59,23973.18,11,8,5,5,7766.998740540355,9552.409999999996,71.50710845058954
OUT001,ABNAH Cafe Connaught Place,Connaught Place,TeaLeaf Traders NCR,26527.27,24206.03,2,2,0,0,0.0,2321.2400000000016,91.24960842182402
OUT001,ABNAH Cafe Connaught Place,Connaught Place,SpiceRoot Foods,21347.64,10059.439999999999,3,2,1,1,4930.202169197397,11288.2,47.122023792793954
OUT001,ABNAH Cafe Connaught Place,Connaught Place,BeanCraft Roasters Delhi,8068.53,7971.05,1,1,0,0,0.0,97.47999999999956,98.79184932075607
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,FreshDairy Foods NCR,138248.95,52512.69,11,5,6,6,46718.02272614164,85736.26000000001,37.984151055035134
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Delhi Bakery Supply Co,90045.64,88822.57,13,13,0,0,0.0,1223.0699999999924,98.64172213113262
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,NorthStar Poultry,70996.53,57614.2,5,4,1,1,12965.1,13382.330000000002,81.15072666227489
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,PackPro Disposables,62548.01,53858.07,17,14,4,4,8825.04826,8689.940000000002,86.10676822492034
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,FrozenBerry Traders,44588.34,44492.78,3,3,0,0,0.0,95.55999999999767,99.78568388058403
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,SweetBase Foods,44072.67,27163.02,6,4,1,1,7108.25,16909.649999999998,61.632344943022524
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,TeaLeaf Traders NCR,40925.97,36258.79,2,2,0,0,0.0,4667.18,88.59604305041518
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,SpiceRoot Foods,33215.94,22341.120000000003,4,3,2,2,10855.911570614313,10874.82,67.26023710302945
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,ChocoCraft Ingredients,24078.28,18845.550000000003,2,2,1,1,5452.659395037636,5232.729999999996,78.26784139066413
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,BeanCraft Roasters Delhi,23944.489999999998,11709.24,2,1,0,0,0.0,12235.249999999998,48.90160533801305
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,GreenLeaf Produce Delhi,21992.5,17665.09,5,4,1,1,1237.8587594300084,4327.41,80.32324656132772
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Metro Wholesale Delhi,10133.04,10200.55,2,2,0,0,0.0,-67.5099999999984,100.66623639105342
OUT003,ABNAH Cafe Saket Premium,Saket,FreshDairy Foods NCR,158822.25,141313.12,13,13,3,3,15439.391039773462,17509.130000000005,88.97564415565199
OUT003,ABNAH Cafe Saket Premium,Saket,Delhi Bakery Supply Co,75127.93,60470.35,9,7,0,0,0.0,14657.579999999994,80.48983913173171
OUT003,ABNAH Cafe Saket Premium,Saket,PackPro Disposables,71516.83,55731.31,25,22,8,8,9938.219541358007,15785.520000000004,77.92754516664118
OUT003,ABNAH Cafe Saket Premium,Saket,NorthStar Poultry,47899.94,16433.44,4,1,1,1,11673.85,31466.500000000004,34.30785090753767
OUT003,ABNAH Cafe Saket Premium,Saket,SweetBase Foods,41604.25,27392.56,5,3,0,0,0.0,14211.689999999999,65.84077347867105
OUT003,ABNAH Cafe Saket Premium,Saket,SpiceRoot Foods,38938.85,27836.39,5,4,1,1,4739.898486562941,11102.46,71.48744762621394
OUT003,ABNAH Cafe Saket Premium,Saket,GreenLeaf Produce Delhi,31605.84,24707.38,9,7,2,2,3847.4150772626936,6898.459999999999,78.17346414460113
OUT003,ABNAH Cafe Saket Premium,Saket,ChocoCraft Ingredients,16500.61,14908.95,2,2,1,1,1626.74092,1591.6599999999999,90.35393236977299
OUT003,ABNAH Cafe Saket Premium,Saket,TeaLeaf Traders NCR,15250.87,15251.02,1,1,0,0,0.0,-0.1499999999996362,100.00098355044662
OUT003,ABNAH Cafe Saket Premium,Saket,Metro Wholesale Delhi,4579.06,4564.59,1,1,0,0,0.0,14.470000000000255,99.68399627871221
