Type,Item Code,Item Name,Parent Item Quantity,Parent Price Per Unit,Parent Subtotal,Consumed Quantity,Unit,Price Per Unit,Subtotal,Consumption Source
Menu Item,MENU0001,Espresso Shot - Solo,,,,0.0576,kg,980.0,56.45,Recipe:ING001
Menu Item,MENU0001,Espresso Shot - Solo,,,,6.0,pcs,2.8,16.8,Recipe:ING037
Menu Item,MENU0001,Espresso Shot - Solo,,,,6.0,pcs,1.1,6.6,Recipe:ING038
Menu Item,MENU0001,Espresso Shot - Solo,,,,6.0,pcs,0.32,1.92,Recipe:ING040
Menu Item,MENU0002,Espresso Shot - Doppio,,,,0.087,kg,980.0,85.26,Recipe:ING001
Menu Item,MENU0002,Espresso Shot - Doppio,,,,5.0,pcs,2.8,14.0,Recipe:ING037
Menu Item,MENU0002,Espresso Shot - Doppio,,,,5.0,pcs,1.1,5.5,Recipe:ING038
Menu Item,MENU0002,Espresso Shot - Doppio,,,,5.0,pcs,0.32,1.6,Recipe:ING040
Menu Item,MENU0003,Americano - Regular,,,,1.296,kg,980.0,1270.08,Recipe:ING001
Menu Item,MENU0003,Americano - Regular,,,,72.0,pcs,2.8,201.6,Recipe:ING037
Menu Item,MENU0003,Americano - Regular,,,,72.0,pcs,1.1,79.2,Recipe:ING038
Menu Item,MENU0003,Americano - Regular,,,,72.0,pcs,0.32,23.04,Recipe:ING040
Menu Item,MENU0003,Americano - Regular,,,,1.08,litre,90.0,97.2,Recipe:ING019
Menu Item,MENU0004,Americano - Medium,,,,1.3041,kg,980.0,1278.02,Recipe:ING001
Menu Item,MENU0004,Americano - Medium,,,,63.0,pcs,2.8,176.4,Recipe:ING037
Menu Item,MENU0004,Americano - Medium,,,,63.0,pcs,1.1,69.3,Recipe:ING038
Menu Item,MENU0004,Americano - Medium,,,,63.0,pcs,0.32,20.16,Recipe:ING040
Menu Item,MENU0004,Americano - Medium,,,,1.0836,litre,90.0,97.52,Recipe:ING019
Menu Item,MENU0005,Americano - Large,,,,1.2168,kg,980.0,1192.46,Recipe:ING001
Menu Item,MENU0005,Americano - Large,,,,52.0,pcs,2.8,145.6,Recipe:ING037
