Type,Item Code,Item Name,Parent Item Quantity,Parent Price Per Unit,Parent Subtotal,Consumed Quantity,Unit,Price Per Unit,Subtotal,Consumption Source
Menu Item,MENU0001,Espresso Shot - Solo,,,,0.0192,kg,980.0,18.82,Recipe:ING001
Menu Item,MENU0001,Espresso Shot - Solo,,,,2.0,pcs,2.8,5.6,Recipe:ING037
Menu Item,MENU0001,Espresso Shot - Solo,,,,2.0,pcs,1.1,2.2,Recipe:ING038
Menu Item,MENU0001,Espresso Shot - Solo,,,,2.0,pcs,0.32,0.64,Recipe:ING040
Menu Item,MENU0002,Espresso Shot - Doppio,,,,0.1044,kg,980.0,102.31,Recipe:ING001
Menu Item,MENU0002,Espresso Shot - Doppio,,,,6.0,pcs,2.8,16.8,Recipe:ING037
Menu Item,MENU0002,Espresso Shot - Doppio,,,,6.0,pcs,1.1,6.6,Recipe:ING038
Menu Item,MENU0002,Espresso Shot - Doppio,,,,6.0,pcs,0.32,1.92,Recipe:ING040
Menu Item,MENU0003,Americano - Regular,,,,1.008,kg,980.0,987.84,Recipe:ING001
Menu Item,MENU0003,Americano - Regular,,,,56.0,pcs,2.8,156.8,Recipe:ING037
Menu Item,MENU0003,Americano - Regular,,,,56.0,pcs,1.1,61.6,Recipe:ING038
Menu Item,MENU0003,Americano - Regular,,,,56.0,pcs,0.32,17.92,Recipe:ING040
Menu Item,MENU0003,Americano - Regular,,,,0.84,litre,90.0,75.6,Recipe:ING019
Menu Item,MENU0004,Americano - Medium,,,,1.035,kg,980.0,1014.3,Recipe:ING001
Menu Item,MENU0004,Americano - Medium,,,,50.0,pcs,2.8,140.0,Recipe:ING037
Menu Item,MENU0004,Americano - Medium,,,,50.0,pcs,1.1,55.0,Recipe:ING038
Menu Item,MENU0004,Americano - Medium,,,,50.0,pcs,0.32,16.0,Recipe:ING040
Menu Item,MENU0004,Americano - Medium,,,,0.86,litre,90.0,77.4,Recipe:ING019
Menu Item,MENU0005,Americano - Large,,,,1.053,kg,980.0,1031.94,Recipe:ING001
Menu Item,MENU0005,Americano - Large,,,,45.0,pcs,2.8,126.0,Recipe:ING037
Menu Item,MENU0005,Americano - Large,,,,45.0,pcs,1.1,49.5,Recipe:ING038
Menu Item,MENU0005,Americano - Large,,,,45.0,pcs,0.32,14.4,Recipe:ING040
Menu Item,MENU0005,Americano - Large,,,,0.8775,litre,90.0,78.97,Recipe:ING019
Menu Item,MENU0006,Latte - Regular,,,,1.098,kg,980.0,1076.04,Recipe:ING001
Menu Item,MENU0006,Latte - Regular,,,,61.0,pcs,2.8,170.8,Recipe:ING037
Menu Item,MENU0006,Latte - Regular,,,,61.0,pcs,1.1,67.1,Recipe:ING038
Menu Item,MENU0006,Latte - Regular,,,,10.98,litre,72.0,790.56,Recipe:ING002
Menu Item,MENU0006,Latte - Regular,,,,61.0,pcs,0.32,19.52,Recipe:ING040
Menu Item,MENU0006,Latte - Regular,,,,0.915,litre,90.0,82.35,Recipe:ING019
Menu Item,MENU0007,Latte - Medium,,,,1.035,kg,980.0,1014.3,Recipe:ING001
Menu Item,MENU0007,Latte - Medium,,,,50.0,pcs,2.8,140.0,Recipe:ING037
Menu Item,MENU0007,Latte - Medium,,,,50.0,pcs,1.1,55.0,Recipe:ING038
Menu Item,MENU0007,Latte - Medium,,,,10.35,litre,72.0,745.2,Recipe:ING002
Menu Item,MENU0007,Latte - Medium,,,,50.0,pcs,0.32,16.0,Recipe:ING040
Menu Item,MENU0007,Latte - Medium,,,,0.86,litre,90.0,77.4,Recipe:ING019
Menu Item,MENU0008,Latte - Large,,,,1.0062,kg,980.0,986.08,Recipe:ING001
Menu Item,MENU0008,Latte - Large,,,,43.0,pcs,2.8,120.4,Recipe:ING037
Menu Item,MENU0008,Latte - Large,,,,43.0,pcs,1.1,47.3,Recipe:ING038
Menu Item,MENU0008,Latte - Large,,,,10.062,litre,72.0,724.46,Recipe:ING002
Menu Item,MENU0008,Latte - Large,,,,43.0,pcs,0.32,13.76,Recipe:ING040
Menu Item,MENU0008,Latte - Large,,,,0.8385,litre,90.0,75.47,Recipe:ING019
Menu Item,MENU0009,Cappuccino - Regular,,,,1.152,kg,980.0,1128.96,Recipe:ING001
Menu Item,MENU0009,Cappuccino - Regular,,,,64.0,pcs,2.8,179.2,Recipe:ING037
Menu Item,MENU0009,Cappuccino - Regular,,,,64.0,pcs,1.1,70.4,Recipe:ING038
Menu Item,MENU0009,Cappuccino - Regular,,,,11.52,litre,72.0,829.44,Recipe:ING002
Menu Item,MENU0009,Cappuccino - Regular,,,,64.0,pcs,0.32,20.48,Recipe:ING040
Menu Item,MENU0009,Cappuccino - Regular,,,,0.96,litre,90.0,86.4,Recipe:ING019
Menu Item,MENU0010,Cappuccino - Medium,,,,1.3869,kg,980.0,1359.16,Recipe:ING001
Menu Item,MENU0010,Cappuccino - Medium,,,,67.0,pcs,2.8,187.6,Recipe:ING037
Menu Item,MENU0010,Cappuccino - Medium,,,,67.0,pcs,1.1,73.7,Recipe:ING038
Menu Item,MENU0010,Cappuccino - Medium,,,,13.869,litre,72.0,998.57,Recipe:ING002
Menu Item,MENU0010,Cappuccino - Medium,,,,67.0,pcs,0.32,21.44,Recipe:ING040
Menu Item,MENU0010,Cappuccino - Medium,,,,1.1524,litre,90.0,103.72,Recipe:ING019
Menu Item,MENU0011,Cappuccino - Large,,,,0.6552,kg,980.0,642.1,Recipe:ING001
Menu Item,MENU0011,Cappuccino - Large,,,,28.0,pcs,2.8,78.4,Recipe:ING037
Menu Item,MENU0011,Cappuccino - Large,,,,28.0,pcs,1.1,30.8,Recipe:ING038
Menu Item,MENU0011,Cappuccino - Large,,,,6.552,litre,72.0,471.74,Recipe:ING002
Menu Item,MENU0011,Cappuccino - Large,,,,28.0,pcs,0.32,8.96,Recipe:ING040
Menu Item,MENU0011,Cappuccino - Large,,,,0.546,litre,90.0,49.14,Recipe:ING019
Menu Item,MENU0012,Flat White - Regular,,,,0.9,kg,980.0,882.0,Recipe:ING001
Menu Item,MENU0012,Flat White - Regular,,,,50.0,pcs,2.8,140.0,Recipe:ING037
Menu Item,MENU0012,Flat White - Regular,,,,50.0,pcs,1.1,55.0,Recipe:ING038
Menu Item,MENU0012,Flat White - Regular,,,,9.0,litre,72.0,648.0,Recipe:ING002
Menu Item,MENU0012,Flat White - Regular,,,,50.0,pcs,0.32,16.0,Recipe:ING040
Menu Item,MENU0012,Flat White - Regular,,,,0.75,litre,90.0,67.5,Recipe:ING019
Menu Item,MENU0013,Flat White - Medium,,,,0.8901,kg,980.0,872.3,Recipe:ING001
Menu Item,MENU0013,Flat White - Medium,,,,43.0,pcs,2.8,120.4,Recipe:ING037
Menu Item,MENU0013,Flat White - Medium,,,,43.0,pcs,1.1,47.3,Recipe:ING038
Menu Item,MENU0013,Flat White - Medium,,,,8.901,litre,72.0,640.87,Recipe:ING002
Menu Item,MENU0013,Flat White - Medium,,,,43.0,pcs,0.32,13.76,Recipe:ING040
Menu Item,MENU0013,Flat White - Medium,,,,0.7396,litre,90.0,66.56,Recipe:ING019
Menu Item,MENU0014,Flat White - Large,,,,0.7254,kg,980.0,710.89,Recipe:ING001
Menu Item,MENU0014,Flat White - Large,,,,31.0,pcs,2.8,86.8,Recipe:ING037
Menu Item,MENU0014,Flat White - Large,,,,31.0,pcs,1.1,34.1,Recipe:ING038
Menu Item,MENU0014,Flat White - Large,,,,7.254,litre,72.0,522.29,Recipe:ING002
Menu Item,MENU0014,Flat White - Large,,,,31.0,pcs,0.32,9.92,Recipe:ING040
Menu Item,MENU0014,Flat White - Large,,,,0.6045,litre,90.0,54.41,Recipe:ING019
Menu Item,MENU0015,Mocha - Regular,,,,1.05,litre,260.0,273.0,Recipe:ING016
Menu Item,MENU0015,Mocha - Regular,,,,0.756,kg,980.0,740.88,Recipe:ING001
Menu Item,MENU0015,Mocha - Regular,,,,42.0,pcs,2.8,117.6,Recipe:ING037
Menu Item,MENU0015,Mocha - Regular,,,,42.0,pcs,1.1,46.2,Recipe:ING038
Menu Item,MENU0015,Mocha - Regular,,,,7.56,litre,72.0,544.32,Recipe:ING002
Menu Item,MENU0015,Mocha - Regular,,,,42.0,pcs,0.32,13.44,Recipe:ING040
Menu Item,MENU0015,Mocha - Regular,,,,0.63,litre,90.0,56.7,Recipe:ING019
Menu Item,MENU0016,Mocha - Medium,,,,1.7507,litre,260.0,455.18,Recipe:ING016
Menu Item,MENU0016,Mocha - Medium,,,,1.2627,kg,980.0,1237.45,Recipe:ING001
Menu Item,MENU0016,Mocha - Medium,,,,61.0,pcs,2.8,170.8,Recipe:ING037
Menu Item,MENU0016,Mocha - Medium,,,,61.0,pcs,1.1,67.1,Recipe:ING038
Menu Item,MENU0016,Mocha - Medium,,,,12.627,litre,72.0,909.14,Recipe:ING002
Menu Item,MENU0016,Mocha - Medium,,,,61.0,pcs,0.32,19.52,Recipe:ING040
Menu Item,MENU0016,Mocha - Medium,,,,1.0492,litre,90.0,94.43,Recipe:ING019
Menu Item,MENU0017,Mocha - Large,,,,1.105,litre,260.0,287.3,Recipe:ING016
Menu Item,MENU0017,Mocha - Large,,,,0.7956,kg,980.0,779.69,Recipe:ING001
Menu Item,MENU0017,Mocha - Large,,,,34.0,pcs,2.8,95.2,Recipe:ING037
Menu Item,MENU0017,Mocha - Large,,,,34.0,pcs,1.1,37.4,Recipe:ING038
Menu Item,MENU0017,Mocha - Large,,,,7.956,litre,72.0,572.83,Recipe:ING002
Menu Item,MENU0017,Mocha - Large,,,,34.0,pcs,0.32,10.88,Recipe:ING040
Menu Item,MENU0017,Mocha - Large,,,,0.663,litre,90.0,59.67,Recipe:ING019
Menu Item,MENU0018,Sea Salt Mocha - Regular,,,,0.525,litre,260.0,136.5,Recipe:ING016
Menu Item,MENU0018,Sea Salt Mocha - Regular,,,,0.378,kg,980.0,370.44,Recipe:ING001
Menu Item,MENU0018,Sea Salt Mocha - Regular,,,,21.0,pcs,2.8,58.8,Recipe:ING037
Menu Item,MENU0018,Sea Salt Mocha - Regular,,,,21.0,pcs,1.1,23.1,Recipe:ING038
Menu Item,MENU0018,Sea Salt Mocha - Regular,,,,3.78,litre,72.0,272.16,Recipe:ING002
Menu Item,MENU0018,Sea Salt Mocha - Regular,,,,21.0,pcs,0.32,6.72,Recipe:ING040
Menu Item,MENU0018,Sea Salt Mocha - Regular,,,,0.315,litre,90.0,28.35,Recipe:ING019
Menu Item,MENU0019,Sea Salt Mocha - Medium,,,,0.6601,litre,260.0,171.63,Recipe:ING016
Menu Item,MENU0019,Sea Salt Mocha - Medium,,,,0.4761,kg,980.0,466.58,Recipe:ING001
Menu Item,MENU0019,Sea Salt Mocha - Medium,,,,23.0,pcs,2.8,64.4,Recipe:ING037
Menu Item,MENU0019,Sea Salt Mocha - Medium,,,,23.0,pcs,1.1,25.3,Recipe:ING038
Menu Item,MENU0019,Sea Salt Mocha - Medium,,,,4.761,litre,72.0,342.79,Recipe:ING002
Menu Item,MENU0019,Sea Salt Mocha - Medium,,,,23.0,pcs,0.32,7.36,Recipe:ING040
Menu Item,MENU0019,Sea Salt Mocha - Medium,,,,0.3956,litre,90.0,35.6,Recipe:ING019
Menu Item,MENU0020,Sea Salt Mocha - Large,,,,0.2925,litre,260.0,76.05,Recipe:ING016
Menu Item,MENU0020,Sea Salt Mocha - Large,,,,0.2106,kg,980.0,206.39,Recipe:ING001
Menu Item,MENU0020,Sea Salt Mocha - Large,,,,9.0,pcs,2.8,25.2,Recipe:ING037
Menu Item,MENU0020,Sea Salt Mocha - Large,,,,9.0,pcs,1.1,9.9,Recipe:ING038
Menu Item,MENU0020,Sea Salt Mocha - Large,,,,2.106,litre,72.0,151.63,Recipe:ING002
