Deployment Name,Store/Kitchen Name,User Name,Date,Transaction Number,Item Code,Item Name,Category Name,Super Category Name,Comment,Quantity,Unit,Unit Price,Sub Total,Source
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-01,OPEN-OUT001-01-ING001,ING001,Coffee Beans,Coffee Inputs,Raw Material,,31.1418,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-01,OPEN-OUT001-01-ING002,ING002,Milk,Dairy,Raw Material,,254.8053,litre,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-01,OPEN-OUT001-01-ING003,ING003,Oat Milk,Dairy Alternative,Raw Material,,30.8,litre,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-01,OPEN-OUT001-01-ING004,ING004,Cream,Dairy,Raw Material,,22.5,litre,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-01,OPEN-OUT001-01-ING005,ING005,Paneer,Dairy,Raw Material,,26.4,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-01,OPEN-OUT001-01-ING006,ING006,Cheese,Dairy,Raw Material,,22.0,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-01,OPEN-OUT001-01-ING007,ING007,Chicken,Protein,Raw Material,,33.75,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-01,OPEN-OUT001-01-ING008,ING008,Egg,Protein,Raw Material,,300.0,pcs,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-01,OPEN-OUT001-01-ING009,ING009,Bread,Bakery,Raw Material,,337.5,pcs,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-01,OPEN-OUT001-01-ING010,ING010,Bagel,Bakery,Raw Material,,135.0,pcs,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-01,OPEN-OUT001-01-ING011,ING011,Tortilla,Bakery,Raw Material,,225.0,pcs,0,0,
