row_id,outlet_name,date,super_category,category,item_number,item_name,qty,net_sale
SALE_20260301_OUT002_MENU0003,ABNAH Cafe Hauz Khas,2026-03-01,Beverage,Coffee Classics,MENU0003,Americano - Regular,3,533.85
SALE_20260301_OUT002_MENU0004,ABNAH Cafe Hauz Khas,2026-03-01,Beverage,Coffee Classics,MENU0004,Americano - Medium,2,395.11
SALE_20260301_OUT002_MENU0005,ABNAH Cafe Hauz Khas,2026-03-01,Beverage,Coffee Classics,MENU0005,Americano - Large,1,221.66
SALE_20260301_OUT002_MENU0006,ABNAH Cafe Hauz Khas,2026-03-01,Beverage,Coffee Classics,MENU0006,Latte - Regular,4,857.97
SALE_20260301_OUT002_MENU0007,ABNAH Cafe Hauz Khas,2026-03-01,Beverage,Coffee Classics,MENU0007,Latte - Medium,2,508.6
SALE_20260301_OUT002_MENU0008,ABNAH Cafe Hauz Khas,2026-03-01,Beverage,Coffee Classics,MENU0008,Latte - Large,1,266.93
SALE_20260301_OUT002_MENU0009,ABNAH Cafe Hauz Khas,2026-03-01,Beverage,Coffee Classics,MENU0009,Cappuccino - Regular,1,227.94
SALE_20260301_OUT002_MENU0010,ABNAH Cafe Hauz Khas,2026-03-01,Beverage,Coffee Classics,MENU0010,Cappuccino - Medium,2,501.2
SALE_20260301_OUT002_MENU0011,ABNAH Cafe Hauz Khas,2026-03-01,Beverage,Coffee Classics,MENU0011,Cappuccino - Large,1,264.19
SALE_20260301_OUT002_MENU0012,ABNAH Cafe Hauz Khas,2026-03-01,Beverage,Coffee Classics,MENU0012,Flat White - Regular,3,663.17
SALE_20260301_OUT002_MENU0013,ABNAH Cafe Hauz Khas,2026-03-01,Beverage,Coffee Classics,MENU0013,Flat White - Medium,2,523.2
SALE_20260301_OUT002_MENU0014,ABNAH Cafe Hauz Khas,2026-03-01,Beverage,Coffee Classics,MENU0014,Flat White - Large,1,282.7
SALE_20260301_OUT002_MENU0015,ABNAH Cafe Hauz Khas,2026-03-01,Beverage,Coffee Classics,MENU0015,Mocha - Regular,2,477.74
SALE_20260301_OUT002_MENU0016,ABNAH Cafe Hauz Khas,2026-03-01,Beverage,Coffee Classics,MENU0016,Mocha - Medium,1,268.66
SALE_20260301_OUT002_MENU0018,ABNAH Cafe Hauz Khas,2026-03-01,Beverage,Signature Coffee,MENU0018,Sea Salt Mocha - Regular,3,816.32
SALE_20260301_OUT002_MENU0019,ABNAH Cafe Hauz Khas,2026-03-01,Beverage,Signature Coffee,MENU0019,Sea Salt Mocha - Medium,1,290.88
