row_id,deployment,date,generation_date,generation_time,item_code,item_name,super_category_code,super_category_name,category_code,category_name,unit_name,average_price,store_stock_qty,total_qty,total_amt
INV_20260201_OUT002_ING001,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-01,23:55:00,ING001,Coffee Beans,SUP001,Raw Material,CAT001,Coffee Inputs,kg,1015.53,11.4992,11.4992,11677.78
INV_20260201_OUT002_ING002,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-01,23:55:00,ING002,Milk,SUP001,Raw Material,CAT002,Dairy,litre,74.51,108.0751,108.0751,8052.68
INV_20260201_OUT002_ING003,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-01,23:55:00,ING003,Oat Milk,SUP001,Raw Material,CAT003,Dairy Alternative,litre,185.65,37.3356,37.3356,6931.35
INV_20260201_OUT002_ING004,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-01,23:55:00,ING004,Cream,SUP001,Raw Material,CAT002,Dairy,litre,207.75,75.6101,75.6101,15708.0
INV_20260201_OUT002_ING005,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-01,23:55:00,ING005,Paneer,SUP001,Raw Material,CAT002,Dairy,kg,359.58,119.6448,119.6448,43021.88
INV_20260201_OUT002_ING006,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-01,23:55:00,ING006,Cheese,SUP001,Raw Material,CAT002,Dairy,kg,496.16,22.9842,22.9842,11403.84
INV_20260201_OUT002_ING007,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-01,23:55:00,ING007,Chicken,SUP001,Raw Material,CAT004,Protein,kg,341.15,210.6631,210.6631,71867.72
INV_20260201_OUT002_ING008,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-01,23:55:00,ING008,Egg,SUP001,Raw Material,CAT004,Protein,pcs,7.14,1073.2126,1073.2126,7662.74
INV_20260201_OUT002_ING009,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-01,23:55:00,ING009,Bread,SUP001,Raw Material,CAT005,Bakery,pcs,12.16,1497.5928,1497.5928,18210.73
INV_20260201_OUT002_ING010,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-01,23:55:00,ING010,Bagel,,Raw Material,CAT005,Bakery,pcs,27.3,942.7166,942.7166,25736.16
INV_20260201_OUT002_ING011,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-01,23:55:00,ING011,Tortilla,SUP001,Raw Material,CAT005,Bakery,pcs,14.92,1680.1254,1680.1254,25067.47
INV_20260201_OUT002_ING012,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-01,23:55:00,ING012,Croissant Base,SUP001,Raw Material,CAT005,Bakery,pcs,43.59,807.278,807.278,35189.25
INV_20260201_OUT002_ING013,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-01,23:55:00,ING013,Brownie Base,SUP001,Raw Material,CAT006,Dessert Inputs,pcs,34.12,459.9795,459.9795,15694.5
INV_20260201_OUT002_ING014,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-01,23:55:00,ING014,Cake Base,SUP001,Raw Material,CAT006,Dessert Inputs,pcs,44.82,270.0374,270.0374,12103.08
INV_20260201_OUT002_ING015,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-01,23:55:00,ING015,Cheesecake Base,SUP001,Raw Material,CAT006,Dessert Inputs,pcs,74.09,168.5223,168.5223,12485.82
INV_20260201_OUT002_ING016,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-01,23:55:00,ING016,Chocolate Sauce,SUP001,Raw Material,CAT007,Syrups & Sauces,litre,270.17,90.8437,90.8437,24543.24
INV_20260201_OUT002_ING017,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-01,23:55:00,ING017,Caramel Syrup,SUP001,Raw Material,CAT007,Syrups & Sauces,litre,245.47,36.2046,36.2046,8887.14
INV_20260201_OUT002_ING018,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-01,23:55:00,ING018,Vanilla Syrup,SUP001,Raw Material,CAT007,Syrups & Sauces,litre,245.55,82.6621,82.6621,20297.68
INV_20260201_OUT002_ING019,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-01,23:55:00,ING019,Sugar Syrup,SUP001,Raw Material,CAT007,Syrups & Sauces,litre,91.16,82.7366,82.7366,7542.27
INV_20260201_OUT002_ING020,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-01,23:55:00,ING020,Tea Leaves,SUP001,Raw Material,CAT008,Tea Inputs,kg,630.06,17.7026,17.7026,11153.7
INV_20260201_OUT002_ING021,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-01,23:55:00,ING021,Matcha Powder,SUP001,Raw Material,CAT008,Tea Inputs,kg,2193.79,29.0833,29.0833,63802.65
INV_20260201_OUT002_ING022,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-01,23:55:00,ING022,Ice,SUP001,Raw Material,CAT009,Beverage Inputs,kg,12.07,1272.023,1272.023,15353.32
