Deployment Name,Store/Kitchen Name,User Name,Date,Transaction Number,Item Code,Item Name,Category Name,Super Category Name,Comment,Quantity,Unit,Unit Price,Sub Total,Source
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING001,ING001,Coffee Beans,Coffee Inputs,Raw Material,,0.6035,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING002,ING002,Milk,Dairy,Raw Material,,288.8924,litre,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING003,ING003,Oat Milk,Dairy Alternative,Raw Material,,96.8686,litre,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING004,ING004,Cream,Dairy,Raw Material,,84.3683,litre,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING005,ING005,Paneer,Dairy,Raw Material,,40.9915,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING006,ING006,Cheese,Dairy,Raw Material,,15.4808,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING007,ING007,Chicken,Protein,Raw Material,,161.3648,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING008,ING008,Egg,Protein,Raw Material,,1003.412,pcs,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING009,ING009,Bread,Bakery,Raw Material,,978.22,pcs,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING010,ING010,Bagel,Bakery,Raw Material,,666.99,pcs,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING011,ING011,Tortilla,Bakery,Raw Material,,667.096,pcs,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING012,ING012,Croissant Base,Bakery,Raw Material,,37.818,pcs,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING013,ING013,Brownie Base,Dessert Inputs,Raw Material,,640.836,pcs,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING014,ING014,Cake Base,Dessert Inputs,Raw Material,,324.5111,pcs,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING015,ING015,Cheesecake Base,Dessert Inputs,Raw Material,,316.622,pcs,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING016,ING016,Chocolate Sauce,Syrups & Sauces,Raw Material,,13.7673,litre,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING017,ING017,Caramel Syrup,Syrups & Sauces,Raw Material,,100.4079,litre,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING018,ING018,Vanilla Syrup,Syrups & Sauces,Raw Material,,21.4272,litre,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING019,ING019,Sugar Syrup,Syrups & Sauces,Raw Material,,42.0548,litre,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING020,ING020,Tea Leaves,Tea Inputs,Raw Material,,25.2787,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING021,ING021,Matcha Powder,Tea Inputs,Raw Material,,13.288,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING022,ING022,Ice,Beverage Inputs,Raw Material,,217.3175,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING023,ING023,Lemon,Produce,Raw Material,,71.6012,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING024,ING024,Hibiscus Concentrate,Beverage Inputs,Raw Material,,46.8809,litre,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING025,ING025,Mixed Berry Pulp,Fruit Inputs,Raw Material,,18.7977,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING026,ING026,Banana,Produce,Raw Material,,42.069,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING027,ING027,Butter,Dairy,Raw Material,,42.2055,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING028,ING028,Lettuce,Produce,Raw Material,,14.9599,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING029,ING029,Onion,Produce,Raw Material,,260.7343,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING030,ING030,Capsicum,Produce,Raw Material,,57.8796,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING031,ING031,Tomato,Produce,Raw Material,,140.5751,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING032,ING032,Pesto Sauce,Syrups & Sauces,Raw Material,,32.5732,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING033,ING033,Chipotle Sauce,Syrups & Sauces,Raw Material,,15.6122,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING034,ING034,Salsa,Syrups & Sauces,Raw Material,,36.0619,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING035,ING035,Aioli,Syrups & Sauces,Raw Material,,17.3959,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING036,ING036,Cold Cup,Packaging,Consumable,,5027.714,pcs,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING037,ING037,Hot Cup,Packaging,Consumable,,2551.6,pcs,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING038,ING038,Lid,Packaging,Consumable,,67.756,pcs,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING039,ING039,Straw,Packaging,Consumable,,1654.676,pcs,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING040,ING040,Napkin,Packaging,Consumable,,2530.193,pcs,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING041,ING041,Dessert Box,Packaging,Consumable,,1880.809,pcs,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING042,ING042,Sandwich Box,Packaging,Consumable,,626.38,pcs,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-01,OPEN-OUT001-02-ING043,ING043,Wrap Packaging,Packaging,Consumable,,1024.304,pcs,0,0,
