Deployment Name,Store/Kitchen Name,User Name,Date,Transaction Number,Item Code,Item Name,Category Name,Super Category Name,Comment,Quantity,Unit,Unit Price,Sub Total,Source
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-02-01,OPEN-OUT003-02-ING001,ING001,Coffee Beans,Coffee Inputs,Raw Material,,1.3676,kg,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-02-01,OPEN-OUT003-02-ING002,ING002,Milk,Dairy,Raw Material,,52.5999,litre,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-02-01,OPEN-OUT003-02-ING003,ING003,Oat Milk,Dairy Alternative,Raw Material,,7.629,litre,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-02-01,OPEN-OUT003-02-ING004,ING004,Cream,Dairy,Raw Material,,84.6619,litre,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-02-01,OPEN-OUT003-02-ING005,ING005,Paneer,Dairy,Raw Material,,58.214,kg,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-02-01,OPEN-OUT003-02-ING006,ING006,Cheese,Dairy,Raw Material,,87.4409,kg,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-02-01,OPEN-OUT003-02-ING007,ING007,Chicken,Protein,Raw Material,,22.6677,kg,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-02-01,OPEN-OUT003-02-ING008,ING008,Egg,Protein,Raw Material,,262.512,pcs,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-02-01,OPEN-OUT003-02-ING009,ING009,Bread,Bakery,Raw Material,,93.26,pcs,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-02-01,OPEN-OUT003-02-ING010,ING010,Bagel,Bakery,Raw Material,,108.87,pcs,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-02-01,OPEN-OUT003-02-ING011,ING011,Tortilla,Bakery,Raw Material,,524.893,pcs,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-02-01,OPEN-OUT003-02-ING012,ING012,Croissant Base,Bakery,Raw Material,,468.214,pcs,0,0,
ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-02-01,OPEN-OUT003-02-ING013,ING013,Brownie Base,Dessert Inputs,Raw Material,,223.352,pcs,0,0,
