Item Code,Item Name,Company,Deployment,Date,Invoice Date,PO Date,Po Number,Transaction Number,Vendor Code,Vendor Name,Invoice Number,Batch Number,Category Code,Category Name,Super Category Code,Super Category Name,PO Qty,PO Unit,PO Unit Price,PO Amount,PO Comment,Purchase Quantity,Purchase Unit,Purchase Unit Price,Purchase Amount,Discount,CGST Tax,SGST Tax,IGST Tax,Other Taxes,Total
ING002,Milk,,ABNAH Cafe Connaught Place,2026-01-02,2026-01-02,2026-01-01,PO-20260101-OUT001-0001,GRN-OUT001-260102-00001,VEND002,FreshDairy Foods NCR,INV-2601-00001,,CAT-DAI,Dairy,SUP-RAW,Raw Material,161.22,litre,73.78,11894.81,,161.22,litre,73.78,11894.81,0.0,297.37,297.37,0,0,12489.55
ING003,Oat Milk,,ABNAH Cafe Connaught Place,2026-01-04,2026-01-04,2026-01-01,PO-20260101-OUT001-0001,GRN-OUT001-260104-00002,VEND002,FreshDairy Foods NCR,INV-2601-00002,,CAT-DAI,Dairy Alternative,SUP-RAW,Raw Material,47.14,litre,180.58,8512.54,,37.73,litre,180.58,6813.28,0.0,170.33,170.33,0,0,7153.94
ING004,Cream,,ABNAH Cafe Connaught Place,2026-01-02,2026-01-02,2026-01-01,PO-20260101-OUT001-0001,GRN-OUT001-260102-00003,VEND002,FreshDairy Foods NCR,INV-2601-00003,,CAT-DAI,Dairy,SUP-RAW,Raw Material,29.23,litre,211.0,6167.53,,21.24,litre,211.0,4481.64,0.0,112.04,112.04,0,0,4705.72
ING008,Egg,,ABNAH Cafe Connaught Place,2026-01-03,2026-01-03,2026-01-01,PO-20260101-OUT001-0001,GRN-OUT001-260103-00004,VEND007,NorthStar Poultry,INV-2601-00004,,CAT-PRO,Protein,SUP-RAW,Raw Material,390.0,pcs,6.84,2667.6,,390.0,pcs,6.84,2667.6,0.0,66.69,66.69,0,0,2800.98
ING009,Bread,,ABNAH Cafe Connaught Place,2026-01-05,2026-01-05,2026-01-01,PO-20260101-OUT001-0001,GRN-OUT001-260105-00005,VEND003,Delhi Bakery Supply Co,INV-2601-00005,,CAT-BAK,Bakery,SUP-RAW,Raw Material,435.0,pcs,11.66,5072.1,,435.0,pcs,11.66,5072.1,50.72,125.53,125.54,0,0,5272.45
ING017,Caramel Syrup,,ABNAH Cafe Connaught Place,2026-01-04,2026-01-04,2026-01-01,PO-20260101-OUT001-0001,GRN-OUT001-260104-00006,VEND012,SweetBase Foods,INV-2601-00006,,CAT-SYR,Syrups & Sauces,SUP-RAW,Raw Material,42.61,litre,242.26,10322.7,,42.61,litre,242.26,10322.7,0.0,929.04,929.05,0,0,12180.79
ING041,Dessert Box,,ABNAH Cafe Connaught Place,2026-01-04,2026-01-04,2026-01-01,PO-20260101-OUT001-0001,GRN-OUT001-260104-00007,VEND004,PackPro Disposables,INV-2601-00007,,CAT-PAC,Packaging,SUP-CON,Consumable,435.0,pcs,5.03,2188.05,,435.0,pcs,5.03,2188.05,0.0,196.93,196.92,0,0,2581.9
ING001,Coffee Beans,,ABNAH Cafe Connaught Place,2026-01-05,2026-01-05,2026-01-04,PO-20260104-OUT001-0004,GRN-OUT001-260105-00022,VEND001,BeanCraft Roasters Delhi,INV-2601-00022,,CAT-COF,Coffee Inputs,SUP-RAW,Raw Material,8.03,kg,956.95,7607.47,,8.03,kg,956.95,7684.31,76.84,190.19,190.18,0,0,7987.84
ING002,Milk,,ABNAH Cafe Connaught Place,2026-01-06,2026-01-06,2026-01-04,PO-20260104-OUT001-0004,GRN-OUT001-260106-00023,VEND002,FreshDairy Foods NCR,INV-2601-00023,,CAT-DAI,Dairy,SUP-RAW,Raw Material,152.82,litre,75.17,11487.48,,117.44,litre,75.17,8827.96,0.0,220.7,220.7,0,0,9269.36
ING008,Egg,,ABNAH Cafe Connaught Place,2026-01-08,2026-01-08,2026-01-04,PO-20260104-OUT001-0004,GRN-OUT001-260108-00024,VEND007,NorthStar Poultry,INV-2601-00024,,CAT-PRO,Protein,SUP-RAW,Raw Material,335.0,pcs,7.32,2452.2,,335.0,pcs,7.32,2452.2,0.0,61.3,61.31,0,0,2574.81
ING024,Hibiscus Concentrate,,ABNAH Cafe Connaught Place,2026-01-06,2026-01-06,2026-01-04,PO-20260104-OUT001-0004,GRN-OUT001-260106-00025,VEND012,SweetBase Foods,INV-2601-00025,,CAT-BEV,Beverage Inputs,SUP-RAW,Raw Material,17.71,litre,381.18,6750.7,,17.71,litre,381.18,6750.7,0.0,607.57,607.56,0,0,7965.83
ING036,Cold Cup,,ABNAH Cafe Connaught Place,2026-01-06,2026-01-06,2026-01-04,PO-20260104-OUT001-0004,GRN-OUT001-260106-00026,VEND004,PackPro Disposables,INV-2601-00026,,CAT-PAC,Packaging,SUP-CON,Consumable,1555.0,pcs,3.2,4976.0,,1555.0,pcs,3.2,4976.0,0.0,447.84,447.84,0,0,5871.68
ING004,Cream,,ABNAH Cafe Connaught Place,2026-01-11,2026-01-11,2026-01-07,PO-20260107-OUT001-0007,GRN-OUT001-260111-00037,VEND002,FreshDairy Foods NCR,INV-2601-00037,,CAT-DAI,Dairy,SUP-RAW,Raw Material,21.44,litre,219.86,4690.23,,21.44,litre,219.86,4713.8,0.0,117.84,117.85,0,0,4949.49
ING010,Bagel,,ABNAH Cafe Connaught Place,2026-01-08,2026-01-08,2026-01-07,PO-20260107-OUT001-0007,GRN-OUT001-260108-00038,VEND003,Delhi Bakery Supply Co,INV-2601-00038,,CAT-BAK,Bakery,SUP-RAW,Raw Material,100.0,pcs,29.55,2955.0,,100.0,pcs,29.55,2955.0,0.0,73.88,73.87,0,0,3102.75
ING019,Sugar Syrup,,ABNAH Cafe Connaught Place,2026-01-10,2026-01-10,2026-01-07,PO-20260107-OUT001-0007,GRN-OUT001-260110-00039,VEND012,SweetBase Foods,INV-2601-00039,,CAT-SYR,Syrups & Sauces,SUP-RAW,Raw Material,56.62,litre,89.51,5068.06,,35.63,litre,89.51,3189.24,0.0,287.03,287.03,0,0,3763.3
ING027,Butter,,ABNAH Cafe Connaught Place,2026-01-10,2026-01-10,2026-01-07,PO-20260107-OUT001-0007,GRN-OUT001-260110-00040,VEND002,FreshDairy Foods NCR,INV-2601-00040,,CAT-DAI,Dairy,SUP-RAW,Raw Material,26.76,kg,537.38,14380.29,,26.76,kg,537.38,14380.29,0.0,862.82,862.81,0,0,16105.92
