Item Code,Item Name,Company,Deployment,Date,Invoice Date,PO Date,Po Number,Transaction Number,Vendor Code,Vendor Name,Invoice Number,Batch Number,Category Code,Category Name,Super Category Code,Super Category Name,PO Qty,PO Unit,PO Unit Price,PO Amount,PO Comment,Purchase Quantity,Purchase Unit,Purchase Unit Price,Purchase Amount,Discount,CGST Tax,SGST Tax,IGST Tax,Other Taxes,Total
ING010,Bagel,,ABNAH Cafe Hauz Khas,2026-01-05,2026-01-05,2026-01-01,PO-20260101-OUT002-0002,GRN-OUT002-260105-00008,VEND003,Delhi Bakery Supply Co,INV-2601-00008,,CAT-BAK,Bakery,SUP-RAW,Raw Material,110.0,pcs,28.29,3111.9,,110.0,pcs,28.29,3111.9,0.0,77.8,77.79,0,0,3267.49
ING011,Tortilla,,ABNAH Cafe Hauz Khas,2026-01-02,2026-01-02,2026-01-01,PO-20260101-OUT002-0002,GRN-OUT002-260102-00009,VEND003,Delhi Bakery Supply Co,INV-2601-00009,,CAT-BAK,Bakery,SUP-RAW,Raw Material,305.0,pcs,15.89,4846.45,,305.0,pcs,15.89,4846.45,0.0,121.16,121.16,0,0,5088.77
ING018,Vanilla Syrup,,ABNAH Cafe Hauz Khas,2026-01-04,2026-01-04,2026-01-01,PO-20260101-OUT002-0002,GRN-OUT002-260104-00010,VEND012,SweetBase Foods,INV-2601-00010,,CAT-SYR,Syrups & Sauces,SUP-RAW,Raw Material,27.62,litre,235.21,6464.02,,27.62,litre,235.21,6496.5,0.0,584.68,584.69,0,0,7665.87
ING025,Mixed Berry Pulp,,ABNAH Cafe Hauz Khas,2026-01-05,2026-01-05,2026-01-01,PO-20260101-OUT002-0002,GRN-OUT002-260105-00011,VEND009,FrozenBerry Traders,INV-2601-00011,,CAT-FRU,Fruit Inputs,SUP-RAW,Raw Material,37.39,kg,431.12,16119.58,,37.39,kg,431.12,16119.58,0.0,1450.76,1450.76,0,0,19021.1
ING027,Butter,,ABNAH Cafe Hauz Khas,2026-01-03,2026-01-03,2026-01-01,PO-20260101-OUT002-0002,GRN-OUT002-260103-00012,VEND002,FreshDairy Foods NCR,INV-2601-00012,,CAT-DAI,Dairy,SUP-RAW,Raw Material,17.27,kg,517.08,8929.97,,12.43,kg,517.08,6427.3,0.0,385.64,385.64,0,0,7198.58
ING038,Lid,,ABNAH Cafe Hauz Khas,2026-01-03,2026-01-03,2026-01-01,PO-20260101-OUT002-0002,GRN-OUT002-260103-00013,VEND004,PackPro Disposables,INV-2601-00013,,CAT-PAC,Packaging,SUP-CON,Consumable,1445.0,pcs,1.16,1676.2,,1445.0,pcs,1.16,1676.2,16.76,149.35,149.35,0,0,1958.14
ING005,Paneer,,ABNAH Cafe Hauz Khas,2026-01-07,2026-01-07,2026-01-04,PO-20260104-OUT002-0005,GRN-OUT002-260107-00027,VEND002,FreshDairy Foods NCR,INV-2601-00027,,CAT-DAI,Dairy,SUP-RAW,Raw Material,30.98,kg,371.83,11519.29,,30.98,kg,371.83,11519.29,0.0,287.98,287.98,0,0,12095.25
ING014,Cake Base,,ABNAH Cafe Hauz Khas,2026-01-06,2026-01-06,2026-01-04,PO-20260104-OUT002-0005,GRN-OUT002-260106-00028,VEND003,Delhi Bakery Supply Co,INV-2601-00028,,CAT-DES,Dessert Inputs,SUP-RAW,Raw Material,215.0,pcs,45.71,9729.37,,215.0,pcs,45.71,9827.65,0.0,884.49,884.49,0,0,11596.63
ING018,Vanilla Syrup,,ABNAH Cafe Hauz Khas,2026-01-07,2026-01-07,2026-01-04,PO-20260104-OUT002-0005,GRN-OUT002-260107-00029,VEND012,SweetBase Foods,INV-2601-00029,,CAT-SYR,Syrups & Sauces,SUP-RAW,Raw Material,23.77,litre,254.12,6040.43,,23.77,litre,254.12,6040.43,0.0,543.64,543.64,0,0,7127.71
ING021,Matcha Powder,,ABNAH Cafe Hauz Khas,2026-01-07,2026-01-07,2026-01-04,PO-20260104-OUT002-0005,GRN-OUT002-260107-00030,VEND011,TeaLeaf Traders NCR,INV-2601-00030,,CAT-TEA,Tea Inputs,SUP-RAW,Raw Material,8.69,kg,2082.5,18096.92,,8.69,kg,2082.5,18096.92,0.0,1628.72,1628.73,0,0,21354.37
