Item Code,Item Name,Company,Deployment,Date,Invoice Date,PO Date,Po Number,Transaction Number,Vendor Code,Vendor Name,Invoice Number,Batch Number,Category Code,Category Name,Super Category Code,Super Category Name,PO Qty,PO Unit,PO Unit Price,PO Amount,PO Comment,Purchase Quantity,Purchase Unit,Purchase Unit Price,Purchase Amount,Discount,CGST Tax,SGST Tax,IGST Tax,Other Taxes,Total
ING027,Butter,,ABNAH Cafe Hauz Khas,2026-02-02,2026-02-02,2026-01-28,PO-20260128-OUT002-0029,GRN-OUT002-260202-00170,VEND002,FreshDairy Foods NCR,INV-2602-00170,,CAT-DAI,Dairy,SUP-RAW,Raw Material,23.37,kg,548.17,12810.73,,23.37,kg,548.17,12810.73,0.0,768.64,768.65,0,0,14348.02
ING001,Coffee Beans,,ABNAH Cafe Hauz Khas,2026-02-03,2026-02-03,2026-01-31,PO-20260131-OUT002-0032,GRN-OUT002-260203-00189,VEND001,BeanCraft Roasters Delhi,INV-2602-00189,,CAT-COF,Coffee Inputs,SUP-RAW,Raw Material,11.64,kg,1018.69,11857.55,,11.64,kg,1018.69,11857.55,0.0,296.44,296.44,0,0,12450.43
ING002,Milk,,ABNAH Cafe Hauz Khas,2026-02-05,2026-02-05,2026-01-31,PO-20260131-OUT002-0032,GRN-OUT002-260205-00190,VEND002,FreshDairy Foods NCR,INV-2602-00190,,CAT-DAI,Dairy,SUP-RAW,Raw Material,154.07,litre,71.95,11085.34,,112.52,litre,71.95,8095.81,80.96,200.37,200.37,0,0,8415.59
ING004,Cream,,ABNAH Cafe Hauz Khas,2026-02-04,2026-02-04,2026-01-31,PO-20260131-OUT002-0032,GRN-OUT002-260204-00191,VEND002,FreshDairy Foods NCR,INV-2602-00191,,CAT-DAI,Dairy,SUP-RAW,Raw Material,29.66,litre,211.4,6270.12,,29.66,litre,211.4,6270.12,0.0,156.75,156.76,0,0,6583.63
ING005,Paneer,,ABNAH Cafe Hauz Khas,2026-02-02,2026-02-02,2026-01-31,PO-20260131-OUT002-0032,GRN-OUT002-260202-00192,VEND002,FreshDairy Foods NCR,INV-2602-00192,,CAT-DAI,Dairy,SUP-RAW,Raw Material,39.05,kg,371.18,14494.58,,18.39,kg,371.18,6826.0,0.0,170.65,170.65,0,0,7167.3
ING018,Vanilla Syrup,,ABNAH Cafe Hauz Khas,2026-02-04,2026-02-04,2026-01-31,PO-20260131-OUT002-0032,GRN-OUT002-260204-00193,VEND012,SweetBase Foods,INV-2602-00193,,CAT-SYR,Syrups & Sauces,SUP-RAW,Raw Material,31.13,litre,237.99,7408.63,,31.13,litre,237.99,7408.63,0.0,666.77,666.78,0,0,8742.18
ING030,Capsicum,,ABNAH Cafe Hauz Khas,2026-02-03,2026-02-03,2026-01-31,PO-20260131-OUT002-0032,GRN-OUT002-260203-00194,VEND005,GreenLeaf Produce Delhi,INV-2602-00194,,CAT-PRO,Produce,SUP-RAW,Raw Material,47.72,kg,88.64,4229.9,,34.42,kg,88.64,3050.99,0.0,76.28,76.27,0,0,3203.54
ING010,Bagel,,ABNAH Cafe Hauz Khas,2026-02-04,2026-02-04,2026-02-01,PO-20260201-OUT002-0035,GRN-OUT002-260204-00209,VEND003,Delhi Bakery Supply Co,INV-2602-00209,,CAT-BAK,Bakery,SUP-RAW,Raw Material,145.0,pcs,27.75,3983.51,,145.0,pcs,27.75,4023.75,0.0,100.59,100.6,0,0,4224.94
ING018,Vanilla Syrup,,ABNAH Cafe Hauz Khas,2026-02-05,2026-02-05,2026-02-01,PO-20260201-OUT002-0035,GRN-OUT002-260205-00210,VEND012,SweetBase Foods,INV-2602-00210,,CAT-SYR,Syrups & Sauces,SUP-RAW,Raw Material,38.26,litre,251.88,9636.93,,38.26,litre,251.88,9636.93,0.0,867.33,867.32,0,0,11371.58
ING019,Sugar Syrup,,ABNAH Cafe Hauz Khas,2026-02-03,2026-02-03,2026-02-01,PO-20260201-OUT002-0035,GRN-OUT002-260203-00211,VEND012,SweetBase Foods,INV-2602-00211,,CAT-SYR,Syrups & Sauces,SUP-RAW,Raw Material,48.04,litre,88.93,4272.2,,23.78,litre,88.93,2114.76,0.0,190.33,190.33,0,0,2495.42
