Item Code,Item Name,Company,Deployment,Date,Invoice Date,PO Date,Po Number,Transaction Number,Vendor Code,Vendor Name,Invoice Number,Batch Number,Category Code,Category Name,Super Category Code,Super Category Name,PO Qty,PO Unit,PO Unit Price,PO Amount,PO Comment,Purchase Quantity,Purchase Unit,Purchase Unit Price,Purchase Amount,Discount,CGST Tax,SGST Tax,IGST Tax,Other Taxes,Total
ING013,Brownie Base,,ABNAH Cafe Connaught Place,2026-02-01,2026-02-01,2026-01-28,PO-20260128-OUT001-0028,GRN-OUT001-260201-00167,VEND008,ChocoCraft Ingredients,INV-2602-00167,,CAT-DES,Dessert Inputs,SUP-RAW,Raw Material,175.0,pcs,33.43,5850.25,,175.0,pcs,33.43,5850.25,0.0,526.52,526.53,0,0,6903.3
ING002,Milk,,ABNAH Cafe Connaught Place,2026-02-01,2026-02-01,2026-01-31,PO-20260131-OUT001-0031,GRN-OUT001-260201-00181,VEND002,FreshDairy Foods NCR,INV-2602-00181,,CAT-DAI,Dairy,SUP-RAW,Raw Material,75.57,litre,71.79,5425.17,,56.8,litre,71.79,4077.67,0.0,101.94,101.94,0,0,4281.55
ING016,Chocolate Sauce,,ABNAH Cafe Connaught Place,2026-02-03,2026-02-03,2026-01-31,PO-20260131-OUT001-0031,GRN-OUT001-260203-00182,VEND008,ChocoCraft Ingredients,INV-2602-00182,,CAT-SYR,Syrups & Sauces,SUP-RAW,Raw Material,26.88,litre,254.25,6834.24,,26.88,litre,254.25,6834.24,0.0,615.08,615.08,0,0,8064.4
ING027,Butter,,ABNAH Cafe Connaught Place,2026-02-01,2026-02-01,2026-01-31,PO-20260131-OUT001-0031,GRN-OUT001-260201-00183,VEND002,FreshDairy Foods NCR,INV-2602-00183,,CAT-DAI,Dairy,SUP-RAW,Raw Material,21.58,kg,510.89,11025.01,,21.58,kg,510.89,11025.01,0.0,661.5,661.5,0,0,12348.01
ING029,Onion,,ABNAH Cafe Connaught Place,2026-02-03,2026-02-03,2026-01-31,PO-20260131-OUT001-0031,GRN-OUT001-260203-00184,VEND005,GreenLeaf Produce Delhi,INV-2602-00184,,CAT-PRO,Produce,SUP-RAW,Raw Material,39.36,kg,43.24,1701.93,,39.36,kg,43.24,1701.93,0.0,42.55,42.55,0,0,1787.03
ING033,Chipotle Sauce,,ABNAH Cafe Connaught Place,2026-02-03,2026-02-03,2026-01-31,PO-20260131-OUT001-0031,GRN-OUT001-260203-00185,VEND006,SpiceRoot Foods,INV-2602-00185,,CAT-SYR,Syrups & Sauces,SUP-RAW,Raw Material,18.68,kg,280.19,5207.78,,18.68,kg,280.19,5233.95,0.0,471.06,471.05,0,0,6176.06
ING036,Cold Cup,,ABNAH Cafe Connaught Place,2026-02-03,2026-02-03,2026-01-31,PO-20260131-OUT001-0031,GRN-OUT001-260203-00186,VEND004,PackPro Disposables,INV-2602-00186,,CAT-PAC,Packaging,SUP-CON,Consumable,1665.0,pcs,3.21,5344.65,,1665.0,pcs,3.21,5344.65,0.0,481.02,481.02,0,0,6306.69
ING037,Hot Cup,,ABNAH Cafe Connaught Place,2026-02-01,2026-02-01,2026-01-31,PO-20260131-OUT001-0031,GRN-OUT001-260201-00187,VEND004,PackPro Disposables,INV-2602-00187,,CAT-PAC,Packaging,SUP-CON,Consumable,1685.0,pcs,2.79,4701.15,,1685.0,pcs,2.79,4701.15,47.01,418.88,418.87,0,0,5491.89
ING043,Wrap Packaging,,ABNAH Cafe Connaught Place,2026-02-02,2026-02-02,2026-01-31,PO-20260131-OUT001-0031,GRN-OUT001-260202-00188,VEND004,PackPro Disposables,INV-2602-00188,,CAT-PAC,Packaging,SUP-CON,Consumable,385.0,pcs,5.78,2225.3,,385.0,pcs,5.78,2225.3,0.0,200.28,200.27,0,0,2625.85
ING010,Bagel,,ABNAH Cafe Connaught Place,2026-02-01,2026-02-01,2026-02-01,PO-20260201-OUT001-0034,GRN-OUT001-260201-00202,VEND003,Delhi Bakery Supply Co,INV-2602-00202,,CAT-BAK,Bakery,SUP-RAW,Raw Material,140.0,pcs,29.24,4093.6,,140.0,pcs,29.24,4093.6,0.0,102.34,102.34,0,0,4298.28
ING013,Brownie Base,,ABNAH Cafe Connaught Place,2026-02-03,2026-02-03,2026-02-01,PO-20260201-OUT001-0034,GRN-OUT001-260203-00203,VEND008,ChocoCraft Ingredients,INV-2602-00203,,CAT-DES,Dessert Inputs,SUP-RAW,Raw Material,150.0,pcs,35.43,5287.93,,150.0,pcs,35.43,5314.5,0.0,478.31,478.3,0,0,6271.11
ING018,Vanilla Syrup,,ABNAH Cafe Connaught Place,2026-02-04,2026-02-04,2026-02-01,PO-20260201-OUT001-0034,GRN-OUT001-260204-00204,VEND012,SweetBase Foods,INV-2602-00204,,CAT-SYR,Syrups & Sauces,SUP-RAW,Raw Material,35.74,litre,233.63,8266.44,,35.74,litre,233.63,8349.94,0.0,751.5,751.49,0,0,9852.93
ING024,Hibiscus Concentrate,,ABNAH Cafe Connaught Place,2026-02-04,2026-02-04,2026-02-01,PO-20260201-OUT001-0034,GRN-OUT001-260204-00205,VEND012,SweetBase Foods,INV-2602-00205,,CAT-BEV,Beverage Inputs,SUP-RAW,Raw Material,9.94,litre,397.19,3948.07,,9.94,litre,397.19,3948.07,0.0,355.32,355.33,0,0,4658.72
ING030,Capsicum,,ABNAH Cafe Connaught Place,2026-02-03,2026-02-03,2026-02-01,PO-20260201-OUT001-0034,GRN-OUT001-260203-00206,VEND005,GreenLeaf Produce Delhi,INV-2602-00206,,CAT-PRO,Produce,SUP-RAW,Raw Material,47.56,kg,85.12,4048.31,,47.56,kg,85.12,4048.31,0.0,101.21,101.21,0,0,4250.73
ING031,Tomato,,ABNAH Cafe Connaught Place,2026-02-07,2026-02-07,2026-02-01,PO-20260201-OUT001-0034,GRN-OUT001-260207-00207,VEND005,GreenLeaf Produce Delhi,INV-2602-00207,,CAT-PRO,Produce,SUP-RAW,Raw Material,40.19,kg,51.15,2055.72,,40.19,kg,51.15,2055.72,0.0,51.4,51.39,0,0,2158.51
ING039,Straw,,ABNAH Cafe Connaught Place,2026-02-05,2026-02-05,2026-02-01,PO-20260201-OUT001-0034,GRN-OUT001-260205-00208,VEND004,PackPro Disposables,INV-2602-00208,,CAT-PAC,Packaging,SUP-CON,Consumable,1140.0,pcs,0.57,649.8,,1140.0,pcs,0.57,649.8,0.0,58.48,58.48,0,0,766.76
ING012,Croissant Base,,ABNAH Cafe Connaught Place,2026-02-06,2026-02-06,2026-02-04,PO-20260204-OUT001-0037,GRN-OUT001-260206-00221,VEND003,Delhi Bakery Supply Co,INV-2602-00221,,CAT-BAK,Bakery,SUP-RAW,Raw Material,255.0,pcs,41.37,10549.35,,255.0,pcs,41.37,10549.35,0.0,263.74,263.73,0,0,11076.82
ING013,Brownie Base,,ABNAH Cafe Connaught Place,2026-02-06,2026-02-06,2026-02-04,PO-20260204-OUT001-0037,GRN-OUT001-260206-00222,VEND008,ChocoCraft Ingredients,INV-2602-00222,,CAT-DES,Dessert Inputs,SUP-RAW,Raw Material,155.0,pcs,33.04,5121.2,,155.0,pcs,33.04,5121.2,0.0,460.91,460.91,0,0,6043.02
