Type,Item Code,Item Name,Parent Item Quantity,Parent Price Per Unit,Parent Subtotal,Consumed Quantity,Unit,Price Per Unit,Subtotal,Consumption Source
Menu Item,MENU0001,Espresso Shot - Solo,,,,0.0096,kg,980.0,9.41,Recipe:ING001
Menu Item,MENU0001,Espresso Shot - Solo,,,,1.0,pcs,2.8,2.8,Recipe:ING037
Menu Item,MENU0001,Espresso Shot - Solo,,,,1.0,pcs,1.1,1.1,Recipe:ING038
Menu Item,MENU0001,Espresso Shot - Solo,,,,1.0,pcs,0.32,0.32,Recipe:ING040
Menu Item,MENU0002,Espresso Shot - Doppio,,,,0.0696,kg,980.0,68.21,Recipe:ING001
Menu Item,MENU0002,Espresso Shot - Doppio,,,,4.0,pcs,2.8,11.2,Recipe:ING037
Menu Item,MENU0002,Espresso Shot - Doppio,,,,4.0,pcs,1.1,4.4,Recipe:ING038
Menu Item,MENU0002,Espresso Shot - Doppio,,,,4.0,pcs,0.32,1.28,Recipe:ING040
Menu Item,MENU0003,Americano - Regular,,,,0.828,kg,980.0,811.44,Recipe:ING001
Menu Item,MENU0003,Americano - Regular,,,,46.0,pcs,2.8,128.8,Recipe:ING037
Menu Item,MENU0003,Americano - Regular,,,,46.0,pcs,1.1,50.6,Recipe:ING038
Menu Item,MENU0003,Americano - Regular,,,,46.0,pcs,0.32,14.72,Recipe:ING040
Menu Item,MENU0003,Americano - Regular,,,,0.69,litre,90.0,62.1,Recipe:ING019
Menu Item,MENU0004,Americano - Medium,,,,0.9936,kg,980.0,973.73,Recipe:ING001
Menu Item,MENU0004,Americano - Medium,,,,48.0,pcs,2.8,134.4,Recipe:ING037
Menu Item,MENU0004,Americano - Medium,,,,48.0,pcs,1.1,52.8,Recipe:ING038
Menu Item,MENU0004,Americano - Medium,,,,48.0,pcs,0.32,15.36,Recipe:ING040
Menu Item,MENU0004,Americano - Medium,,,,0.8256,litre,90.0,74.3,Recipe:ING019
Menu Item,MENU0005,Americano - Large,,,,0.7722,kg,980.0,756.76,Recipe:ING001
Menu Item,MENU0005,Americano - Large,,,,33.0,pcs,2.8,92.4,Recipe:ING037
Menu Item,MENU0005,Americano - Large,,,,33.0,pcs,1.1,36.3,Recipe:ING038
Menu Item,MENU0005,Americano - Large,,,,33.0,pcs,0.32,10.56,Recipe:ING040
Menu Item,MENU0005,Americano - Large,,,,0.6435,litre,90.0,57.91,Recipe:ING019
Menu Item,MENU0006,Latte - Regular,,,,1.116,kg,980.0,1093.68,Recipe:ING001
Menu Item,MENU0006,Latte - Regular,,,,62.0,pcs,2.8,173.6,Recipe:ING037
Menu Item,MENU0006,Latte - Regular,,,,62.0,pcs,1.1,68.2,Recipe:ING038
Menu Item,MENU0006,Latte - Regular,,,,11.16,litre,72.0,803.52,Recipe:ING002
Menu Item,MENU0006,Latte - Regular,,,,62.0,pcs,0.32,19.84,Recipe:ING040
Menu Item,MENU0006,Latte - Regular,,,,0.93,litre,90.0,83.7,Recipe:ING019
Menu Item,MENU0007,Latte - Medium,,,,1.0557,kg,980.0,1034.59,Recipe:ING001
Menu Item,MENU0007,Latte - Medium,,,,51.0,pcs,2.8,142.8,Recipe:ING037
Menu Item,MENU0007,Latte - Medium,,,,51.0,pcs,1.1,56.1,Recipe:ING038
Menu Item,MENU0007,Latte - Medium,,,,10.557,litre,72.0,760.1,Recipe:ING002
Menu Item,MENU0007,Latte - Medium,,,,51.0,pcs,0.32,16.32,Recipe:ING040
Menu Item,MENU0007,Latte - Medium,,,,0.8772,litre,90.0,78.95,Recipe:ING019
