Type,Item Code,Item Name,Parent Item Quantity,Parent Price Per Unit,Parent Subtotal,Consumed Quantity,Unit,Price Per Unit,Subtotal,Consumption Source
Menu Item,MENU0001,Espresso Shot - Solo,,,,0.0576,kg,980.0,56.45,Recipe:ING001
Menu Item,MENU0001,Espresso Shot - Solo,,,,6.0,pcs,2.8,16.8,Recipe:ING037
Menu Item,MENU0001,Espresso Shot - Solo,,,,6.0,pcs,1.1,6.6,Recipe:ING038
Menu Item,MENU0001,Espresso Shot - Solo,,,,6.0,pcs,0.32,1.92,Recipe:ING040
Menu Item,MENU0002,Espresso Shot - Doppio,,,,0.1218,kg,980.0,119.36,Recipe:ING001
Menu Item,MENU0002,Espresso Shot - Doppio,,,,7.0,pcs,2.8,19.6,Recipe:ING037
Menu Item,MENU0002,Espresso Shot - Doppio,,,,7.0,pcs,1.1,7.7,Recipe:ING038
Menu Item,MENU0002,Espresso Shot - Doppio,,,,7.0,pcs,0.32,2.24,Recipe:ING040
Menu Item,MENU0003,Americano - Regular,,,,1.008,kg,980.0,987.84,Recipe:ING001
Menu Item,MENU0003,Americano - Regular,,,,56.0,pcs,2.8,156.8,Recipe:ING037
Menu Item,MENU0003,Americano - Regular,,,,56.0,pcs,1.1,61.6,Recipe:ING038
Menu Item,MENU0003,Americano - Regular,,,,56.0,pcs,0.32,17.92,Recipe:ING040
Menu Item,MENU0003,Americano - Regular,,,,0.84,litre,90.0,75.6,Recipe:ING019
Menu Item,MENU0004,Americano - Medium,,,,1.4283,kg,980.0,1399.73,Recipe:ING001
Menu Item,MENU0004,Americano - Medium,,,,69.0,pcs,2.8,193.2,Recipe:ING037
Menu Item,MENU0004,Americano - Medium,,,,69.0,pcs,1.1,75.9,Recipe:ING038
Menu Item,MENU0004,Americano - Medium,,,,69.0,pcs,0.32,22.08,Recipe:ING040
Menu Item,MENU0004,Americano - Medium,,,,1.1868,litre,90.0,106.81,Recipe:ING019
Menu Item,MENU0005,Americano - Large,,,,0.936,kg,980.0,917.28,Recipe:ING001
Menu Item,MENU0005,Americano - Large,,,,40.0,pcs,2.8,112.0,Recipe:ING037
